NME        L17-45     Tb5stv
9.6832     7.6134     8.396      R-ALV
9.5879     7.3549     8.3598
9.5068     7.1599     8.28
9.4036     6.9468     8.1913
9.2492     6.712      8.0814
9.1166     6.3205     7.9698
8.8266     5.9345     7.8024
8.6299     5.7161     7.7522
8.4858     5.5088     7.5971
8.2474     5.2747     7.5283
8.0609     5.1585     7.5773
7.8873     5.0309     7.5684
7.7075     4.8518     7.4798
7.6421     4.7437     7.4499
7.4395     4.5419     7.4133
7.1791     4.3416     7.2999
6.9492     4.2148     7.2594
6.817      4.0553     7.1732
6.6492     3.8094     7.0688
6.5427     3.664      7.0151
6.4205     3.4897     6.9741
6.3183     3.335      6.8604
6.0094     2.9753     6.4308

















































































































































































5.2411     11.0662    7.4244     L-ALV
4.9841     10.911     7.3473
4.842      10.8026    7.2608
4.7135     10.6703    7.2031
4.4408     10.4062    7.032
4.3112     10.2192    7.0069
4.2038     10.1217    6.9116
4.1232     10.0394    6.8676
3.8936     9.8893     6.7174
3.7092     9.6292     6.6674
3.5851     9.494      6.6063
3.4533     9.2603     6.4638
3.3328     9.0188     6.4582
3.2385     8.8132     6.3899
3.2155     8.6917     6.3447
3.0501     8.41       6.2899
2.901      8.2024     6.2188
2.7794     7.8874     6.1611
2.7157     7.6609     6.1857
2.6337     7.4365     6.1156
2.4952     7.252      6.0414
2.3285     7.007      5.8497
2.1752     6.824      5.8407
2.0458     6.636      5.811
1.9793     6.5381     5.76
1.9024     6.4185     5.6481
1.8319     6.2998     5.6087
