AMNH       163082     Sep1stv
-1.9414    11.092     11.3197    R_PG
-2.6901    13.2564    10.798     R_ZTI
-0.0874    13.9812    11.1366    R_M3D
-0.4505    15.4702    10.9351    R_M12
0.119      17.0202    10.4614    R_MP3
0.6909     17.3376    10.489     R_PMI
4.137      10.6954    11.2367    L_PG
5.257      12.504     10.7184    L_ZTI
2.8101     13.8429    11.2421    L_M3D
3.384      15.1774    10.9713    L_M12
2.9245     16.8611    10.5112    L_MP3
2.4477     17.2006    10.5204    L_PMI
1.3897     17.9092    10.2749    O1
4.0248     13.424     7.4352     O2
-2.9095    12.3015    10.6513    O3
1.2544     7.6903     9.5161     O4




















































































































































































-1.2896    15.191     10.5405    RZYGINF
-1.4321    15.1455    10.5743
-1.632     15.0478    10.5442
-1.7481    14.9546    10.5937
-1.9535    14.858     10.6433
-2.1806    14.6587    10.7015
-2.2919    14.4711    10.8131
-2.333     14.2249    10.8874
-2.3594    14.0277    10.9597
-2.3704    13.8433    10.9883
-2.4812    13.7403    10.9251
-2.5376    13.6336    10.904
-2.5741    13.5457    10.8816
-2.6114    13.4457    10.859
-2.6249    13.3395    10.8495
-2.6225    13.2986    10.8293
























































































































































































9999       9999       9999       LZYGINF







































































































































































































-0.1108    13.9864    11.2525    R-ALV
-0.2678    14.3041    11.065
-0.3702    14.5416    11.0242
-0.4301    14.7596    10.9467
-0.4756    15.003     10.8761
-0.5062    15.276     10.8498
-0.4789    15.542     10.7907
-0.4187    15.7247    10.8137
-0.3307    15.9562    10.7397
-0.2339    16.0741    10.7076
-0.1743    16.3216    10.7202
-0.089     16.5413    10.591
-0.0243    16.7671    10.5568
0.0435     16.902     10.5285
0.1298     17.0545    10.4527

























































































































































































2.816      13.8305    11.1369    L-ALV
2.9244     13.9666    11.093
3.015      14.1586    11.1102
3.1086     14.3437    11.1036
3.2202     14.5386    11.0508
3.2828     14.757     11.0126
3.357      14.9892    10.9512
3.3683     15.2806    10.9009
3.3627     15.4741    10.8441
3.2977     15.7618    10.7811
3.1713     16.0246    10.7535
3.1364     16.3332    10.6335
3.0738     16.5897    10.5778
2.9772     16.8395    10.5319
