KNM        ER 1485    Rht2stv
14.2167    18.067     6.0837
14.3532    18.2613    5.9838
14.3446    18.2242    5.8654
14.3653    18.2139    5.7703






















































































































































































14.0866    12.6511    7.1457     L-ALV
14.5031    12.761     7.0479
14.7858    12.951     7.063
14.9635    13.0183    7.0217
15.1391    13.2095    6.9734
15.3712    13.3641    6.997
15.5451    13.5433    6.959
15.7012    13.6943    6.9393
15.8456    13.757     6.9243
16.1016    14.0397    6.8444
16.2644    14.2462    6.7575
16.4371    14.4557    6.7196
16.5649    14.6584    6.6758
16.6823    14.8717    6.5341
16.781     15.0156    6.3978
16.8767    15.2757    6.2507
16.9963    15.4168    6.0628
17.0843    15.5201    5.909
17.128     15.6969    5.7373
