MNHN       1972.361   Tg32stv
-3.0799    7.6309     10.7259    R_PG
-4.3691    9.3484     9.7514     R_ZTI
-1.4156    11.7794    11.1129    R_M3D
-1.6638    14.249     10.8234    R_M12
-1.0387    16.3896    10.4705    R_MP3
-0.5724    16.9151    10.3067    R_PMI
3.7742     7.7887     10.4583    L_PG
4.9827     9.5583     9.4734     L_ZTI
2.2259     11.7712    11.0353    L_M3D
2.3287     14.1592    10.7629    L_M12
1.8261     16.2397    10.3432    L_MP3
1.3707     16.757     10.198     L_PMI
0.0492     17.8201    9.8132     O1
2.9475     10.4886    5.1353     O2
-4.449     9.2425     9.4502     O3
1.3694     3.6308     8.4615     O4




















































































































































































-3.1239    12.3578    9.7092     RZYGINF
-3.2796    12.2281    9.6396
-3.4605    12.1483    9.6262
-3.6277    12.0219    9.7089
-3.871     11.7438    9.7757
-3.9749    11.5691    9.7928
-4.0902    11.3782    9.7757
-4.1763    11.2125    9.7581
-4.2497    10.9535    9.7535
-4.2864    10.7292    9.7091
-4.2547    10.5662    9.7297
-4.2725    10.3867    9.6806
-4.2847    10.2201    9.6853
-4.3272    9.9584     9.6931
-4.3592    9.7483     9.7334
-4.3882    9.5123     9.7497
-4.3565    9.3779     9.7679
-4.3606    9.3608     9.749






















































































































































































3.722      12.5007    9.4355     LZYGINF
3.8146     12.4004    9.3601
4.0526     12.322     9.2934
4.241      12.1787    9.37
4.3793     11.9957    9.4282
4.5621     11.7932    9.4314
4.6973     11.4874    9.4785
4.7349     11.3604    9.4663
4.7693     11.1787    9.4911
4.7869     11.0571    9.5046
4.8218     10.9582    9.4993
4.8764     10.8301    9.4845
4.859      10.6128    9.4889
4.8564     10.4338    9.5066
4.8659     10.2976    9.4697
4.9156     10.1112    9.4563
4.9441     9.954      9.456
4.9801     9.8        9.4633
4.9887     9.7076     9.4434
5.0009     9.5843     9.4336
5.0143     9.5509     9.4275



















































































































































































-1.347     11.7513    11.1352    R-ALV
-1.5298    12.0812    11.1266
-1.6754    12.3791    11.036
-1.743     12.6147    10.9957
-1.7936    12.9363    10.9412
-1.8028    13.1728    10.9398
-1.7981    13.5174    10.8808
-1.7533    13.8746    10.843
-1.6981    14.1948    10.718
-1.6149    14.4518    10.6901
-1.5475    14.7151    10.6731
-1.463     15.0489    10.6926
