MNHN       1962.1467  Tg30stv
3.1302     9.4656     13.6599
2.878      9.234      13.7783
2.72       9.0501     13.8371
2.5445     8.873      13.8862
2.3024     8.7913     13.8472
2.097      8.7813     13.7685
1.822      8.691      13.8384
1.6215     8.6711     13.8689
1.3025     8.7372     13.8324
1.0888     8.8289     13.6558
0.9674     8.9073     13.3685
0.8876     8.803      13.2255
0.7999     8.7475     13.063
0.7319     8.716      12.8908
0.7713     8.7227     12.684











































































































































































-3.2886    9.9369     12.9755    RTEMFOS
-3.3532    9.8912     12.815
-3.4291    9.8252     12.5789
-3.5289    9.7769     12.4161
-3.6369    9.7455     12.1542
-3.7527    9.6817     11.8674
-3.8364    9.6192     11.6068
-3.8996    9.5749     11.306
-3.9991    9.4904     10.9609
-4.1212    9.4065     10.6787
-4.2305    9.394      10.4766
-4.2969    9.4186     10.3249
-4.3931    9.4465     10.1784
-4.4611    9.5151     10.0559
-4.5634    9.6355     9.926
-4.7273    9.8891     9.773
-4.8329    10.0348    9.7376
-4.9071    10.1551    9.7371
-4.9515    10.3212    9.7314





















































































































































































3.6342     10.6433    13.099     LTEMFOS
3.7283     10.5791    12.8562
3.7988     10.6062    12.6132
3.9427     10.4555    12.3805
4.0535     10.3942    12.1427
4.084      10.4345    12.015
4.1617     10.3987    11.7387
4.2331     10.2091    11.5318
4.2484     10.1546    11.3849
4.2784     10.1315    11.2716
4.2995     10.081     11.181
4.3361     10.0427    11.0308
4.3543     10.0324    10.807
4.4167     9.9876     10.7117
4.4784     9.9461     10.5857
4.5416     9.9856     10.3602
4.6593     10.024     10.1628
4.766      10.1708    10.0745
4.8581     10.2694    9.9706
4.9514     10.4078    9.8818
5.0264     10.5648    9.8421
5.0861     10.7023    9.8524
5.0994     10.8197    9.8545
5.1677     10.9253    9.8313
















































































































































































0.3376     4.7699     11.3818    OP
0.3923     6.9819     11.6823    BA
0.6026     11.8429    11.3062    ST
0.7742     17.2535    11.2388    IV
-3.4645    7.3016     11.9337    R_PG
-5.0011    9.4359     10.6115    R_ZTI
-1.2609    12.4629    12.6429    R_M3D
-1.6832    15.0503    12.5179    R_M12
-1.3898    17.6249    12.01      R_MP3
-0.4835    19.097     11.625     R_PMI
4.2715     7.0625     11.5046    L_PG
5.7869     8.9672     10.2174    L_ZTI
2.4336     12.1782    12.499     L_M3D
3.0755     14.9912    12.2398    L_M12
3.0363     17.4014    11.8038    L_MP3
2.0739     19.0845    11.3302    L_PMI
0.3882     20.3304    11.4438    O1
3.1304     10.192     4.9491     O2
-5.1278    8.6872     9.964      O3
1.7353     3.4041     8.5555     O4




















































































































































































-3.5373    12.9775    10.2767    RZYGINF
-3.6579    12.7099    10.2743
-3.8591    12.458     10.2276
-4.0136    12.3355    10.2373
-4.1985    12.1171    10.3191
-4.3736    11.8646    10.3861
-4.4992    11.5779    10.4738
-4.6378    11.3339    10.4985
-4.7524    11.116     10.5356
-4.8254    10.9225    10.5183
-4.8396    10.7304    10.544
-4.8709    10.45      10.548
-4.8023    10.2059    10.5556
-4.8038    9.9709     10.561
-4.8905    9.8332     10.5599
-4.9185    9.7237     10.5637
-4.9763    9.6399     10.5757
-5.0111    9.5818     10.5848
-5.0414    9.4577     10.5846





















































































































































































4.621      12.5204    10.0593    LZYGINF
4.7147     12.3212    10.0011
4.8347     12.1963    9.9469
5.0147     12.0518    9.9109
5.1535     11.8744    9.9102
5.2045     11.7149    9.9426
5.3359     11.558     9.9629
5.3872     11.3687    10.0198
5.4528     11.1867    10.0549
5.4798     11.0068    10.1004
5.5089     10.7815    10.119
5.5777     10.5911    10.1233
5.6562     10.4263    10.1238
5.689      10.3296    10.1307
5.7305     10.1606    10.1308
5.7589     10.0126    10.1234
5.7458     9.8749     10.1239
5.7422     9.6611     10.1216
5.7991     9.4335     10.1342
5.8014     9.2728     10.1694
5.8378     9.1862     10.1772
5.8539     9.0518     10.1646


















































































































































































-1.2126    12.44      12.6403    R-ALV
-1.4052    12.7168    12.6869
-1.5033    13.0178    12.7088
-1.6428    13.3729    12.6711
-1.6681    13.7021    12.6249
-1.6994    13.9003    12.6423
-1.7213    14.169     12.6179
-1.7546    14.4084    12.5552
-1.767     14.673     12.5019
-1.6544    15.0556    12.5144
-1.6473    15.2444    12.5033
-1.6504    15.488     12.4911
-1.6461    15.6607    12.4204
-1.67      15.8117    12.4029
-1.653     15.9983    12.365
-1.5745    16.2372    12.3296
-1.5466    16.4283    12.2732
-1.5462    16.5761    12.245
-1.5365    16.7791    12.1942
-1.4899    16.9793    12.1682
-1.502     17.2567    12.1087
-1.4587    17.4809    12.0455
-1.408     17.5791    11.9964

















































































































































































2.3869     12.2349    12.4961    L-ALV
2.6573     12.4587    12.43
2.781      12.7262    12.3788
2.8861     12.9528    12.4519
3.0127     13.4389    12.4079
3.0598     13.6936    12.3813
3.122      14.0209    12.2923
3.1493     14.2217    12.2734
3.1742     14.4112    12.2848
3.1654     14.6524    12.2772
3.0988     14.9275    12.1892
3.0846     15.2591    12.1593
3.0846     15.4325    12.1521
3.1023     15.6599    12.1313
3.1094     15.8611    12.1192
3.0451     16.0226    12.1144
3.0301     16.2087    12.0479
3.0114     16.3456    12.0558
3.0102     16.5476    12.0683
2.994      16.7543    12.0399
3.0132     16.9609    12.0095
2.9979     17.2933    11.9603
