UCB LHES   108        Tg5stv
6.78275    6.44378    14.31881
6.63819    6.51918    14.35009
6.70101    6.72934    14.20534
6.65813    6.85782    14.13625
6.66549    6.98805    14.02879
6.63734    7.08365    13.84528
6.6209     7.12746    13.71887
6.61168    7.1753     13.60976
6.62007    7.2076     13.46622
6.61797    7.25409    13.31777



























































































































































4.71087    10.80962   13.85533   RTEMFOS
4.73841    10.93341   13.65761
4.73243    11.00614   13.47408
4.71685    11.05502   13.33303
4.65455    11.10761   13.13434
4.62956    11.14548   12.9926
4.59739    11.17572   12.84376
4.56236    11.20194   12.69747
4.52616    11.20759   12.53936
4.5087     11.22006   12.41002
4.45989    11.20873   12.274
4.49321    11.23561   12.08656
4.43564    11.23183   11.87858
4.33906    11.20067   11.67673
4.36112    11.25232   11.53882
4.3413     11.25054   11.40959
4.30798    11.27545   11.26499
4.27797    11.32685   11.08849
4.24581    11.38318   10.94281
4.19447    11.50595   10.7256
4.18763    11.58905   10.59861
4.18524    11.73296   10.4796
4.15574    11.89435   10.42182
4.23881    12.15822   10.36814
4.28353    12.34712   10.36951
4.35502    12.52009   10.41102














































































































































































9.72147    6.29982    14.11702   LTEMFOS
9.81702    6.32254    14.00188
9.89894    6.25269    13.89621
9.96209    6.24775    13.7642
9.99514    6.23132    13.68946
10.04209   6.20021    13.54482
10.07465   6.10245    13.40137
10.14499   6.02126    13.19572
10.18186   6.0074     13.02066
10.21616   5.9956     12.92424
10.23751   6.02653    12.82791
10.2506    5.94058    12.70945
10.26126   5.90196    12.58736
10.30359   5.95754    12.42318
10.31288   5.92524    12.30594
10.318     5.8302     12.18693
10.33865   5.78355    12.02978
10.35383   5.73186    11.89199
10.36798   5.71464    11.78895
10.41699   5.75006    11.62138
10.4592    5.69332    11.4844
10.49428   5.65402    11.35821
10.53309   5.58153    11.28112
10.6014    5.60414    11.15154
10.72505   5.5757     11.02774
10.81796   5.56358    10.93701
10.93076   5.56088    10.86236
11.04481   5.57571    10.82791
11.20107   5.61538    10.77311
11.33725   5.67687    10.76841
11.52221   5.75356    10.77809
11.65124   5.83069    10.79543
11.76979   5.92533    10.82688







































































































































































5.82784    5.10977    11.80834   OP
7.1202     6.39497    12.10479   BA
10.47434   10.05903   12.65292   ST
14.26068   14.31639   13.07065   IV
4.56389    9.28591    12.51918   R_PG
4.71358    11.84264   11.65648   R_ZTI
9.16879    11.72321   14.18358   R_M3D
10.69152   13.72849   14.3354    R_M12
12.41284   15.10789   14.17362   R_MP3
14.03063   15.59628   13.75497   R_PMI
10.3319    3.95097    12.18163   L_PG
12.58542   4.41799    11.38069   L_ZTI
12.2758    8.89254    14.03977   L_M3D
14.18295   10.57512   14.17113   L_M12
15.44633   12.52437   13.95392   L_MP3
15.84449   14.15026   13.41014   L_PMI
15.37611   16.06621   14.00073   O1
11.9397    7.95027    6.56917    O2
4.37313    11.71194   10.99885   O3
6.09066    2.7707     9.30002    O4




















































































































































































8.22019    13.27174   12.05105   RZYGINF
8.12748    13.14933   12.05861
7.94071    13.12652   11.95103
7.73998    13.09277   11.81461
7.56391    13.10768   11.75646
7.41289    13.10479   11.74586
7.2418     13.13198   11.77851
7.06845    13.22209   11.81371
6.88109    13.26848   11.84206
6.70474    13.24775   11.85833
6.51188    13.16243   11.86935
6.38852    13.11663   11.88276
6.25357    13.05052   11.87878
6.07064    13.00397   11.8506
6.00534    12.87473   11.87869
5.90356    12.76127   11.86406
5.81749    12.63411   11.84955
5.7147     12.47409   11.83484
5.61339    12.35576   11.8342
5.52616    12.26196   11.82108
5.41239    12.13345   11.83249
5.28752    12.04248   11.81349
5.18402    11.9711    11.82004
5.09835    11.98628   11.79735
4.93714    11.92766   11.77015
4.87365    11.8835    11.7564
4.77541    11.81987   11.74344
4.68569    11.72978   11.71383












































































































































































13.89555   8.31932    11.96998   LZYGINF
13.94157   8.15003    11.88239
13.96522   8.00234    11.81565
13.99096   7.81039    11.69356
14.0405    7.69595    11.63385
14.10546   7.52664    11.53866
14.16572   7.38116    11.50183
14.2332    7.30153    11.53794
14.24718   7.22615    11.5316
14.22691   7.06909    11.54314
14.21271   7.01817    11.53932
14.19268   6.87454    11.55582
14.12133   6.65655    11.56632
14.07574   6.49839    11.5697
14.03558   6.36238    11.58151
13.95342   6.23915    11.61039
13.90009   6.11519    11.63192
13.85417   5.94484    11.61353
13.72456   5.84254    11.59854
13.64394   5.66565    11.54883
13.52603   5.52751    11.54826
13.40988   5.38477    11.52135
13.26367   5.23823    11.51581
13.16044   5.13117    11.53102
13.06202   4.9832     11.51179
12.97567   4.9095     11.52157
12.8723    4.79392    11.49982
12.76516   4.63486    11.47086
12.6914    4.55148    11.48032
12.58223   4.46738    11.43432










































































































































































9.13638    11.65487   14.17036   R-ALV
9.17529    11.90124   14.22121
9.27347    12.07057   14.2762
9.34486    12.27733   14.25517
9.45643    12.46427   14.24868
9.58817    12.62119   14.27117
9.70286    12.7548    14.28003
9.81282    12.91495   14.27048
9.89141    13.03971   14.24912
9.99947    13.14972   14.29551
10.10402   13.27841   14.31008
10.25103   13.47746   14.25135
10.43238   13.59288   14.31658
10.62875   13.72099   14.31798
10.81078   13.90904   14.27374
10.96796   14.07743   14.26505
11.09368   14.2102    14.22401
11.18406   14.29875   14.23535
11.40274   14.41078   14.14307
11.5446    14.49877   14.18664
11.73072   14.65019   14.18104
11.86199   14.77088   14.14978
12.01781   14.89314   14.1666
12.13346   14.99493   14.16136
12.23718   15.09715   14.11869
12.41399   15.1737    14.12976














































































































































































12.30303   8.91949    14.02806   L-ALV
12.66697   9.00103    14.08977
12.83338   9.09298    14.08175
13.23276   9.36739    14.07878
13.42912   9.60527    14.10156
13.58784   9.74661    14.10441
13.69747   9.86895    14.11578
13.82015   9.96447    14.07417
13.93842   10.11353   14.08646
14.09238   10.33196   14.13814
14.19694   10.51157   14.07162
14.24834   10.6156    14.09222
14.33717   10.69887   14.05345
14.4282    10.81268   14.03859
14.51306   10.9435    14.06273
14.60412   11.04559   14.06463
14.69632   11.17887   14.04136
14.79364   11.36581   14.01188
14.87002   11.54337   14.0497
14.94227   11.69729   14.09074
15.04164   11.81897   14.06711
15.10453   11.92607   14.00808
15.19174   12.05205   14.00246
15.27467   12.14195   13.94637
15.35793   12.25803   13.95224
15.43685   12.3622    13.91079
15.49241   12.53634   13.9108
