NMNH       357628     Pyn3stv
1.6138     4.5084     7.3763     OP
1.7149     6.2395     7.4555     BA
1.659      10.2216    6.1579     ST
1.6376     12.6897    5.6267     IV
-1.1447    6.9052     6.9713     R_PG
-2.3838    9.0668     6.2573     R_ZTI
0.1438     10.1466    6.835      R_M3D
-0.2293    11.6098    6.6812     R_M12
0.0689     13.1415    6.1249     R_MP3
0.5895     13.7424    5.6501     R_PMI
9999       9999       9999       L_PG
5.6682     8.8929     5.8089     L_ZTI
3.2589     10.1192    6.7248     L_M3D
3.5015     12.1887    6.3206     L_M12
3.2772     13.1844    5.8017     L_MP3
2.6052     13.5822    5.6566     L_PMI
1.3607     14.2355    5.4163     O1
4.6293     9.3728     2.5886     O2
-2.1392    7.4021     6.267      O3
2.1593     2.9596     4.751      O4




















































































































































































-0.9576    11.3729    5.9678     RZYGINF
-1.1238    11.2386    6.054
-1.2835    11.1864    6.0817
-1.3832    11.0709    6.1597
-1.483     10.9564    6.2147
-1.5598    10.7927    6.2953
-1.7026    10.6599    6.3253
-1.8127    10.5131    6.3324
-1.8538    10.3651    6.3945
-1.8983    10.172     6.4628
-1.953     10.0681    6.5123
-2.074     9.9952     6.4572
-2.1498    9.8554     6.4457
-2.1895    9.7429     6.4157
-2.2489    9.6564     6.3875
-2.2743    9.5448     6.3842
-2.3062    9.4262     6.3453
-2.3468    9.279      6.3307
-2.3699    9.0785     6.2937





















































































































































































4.296      11.3078    5.6036     LZYGINF
4.4366     11.2306    5.6805
4.6856     11.1055    5.7209
4.7948     11.0004    5.7715
4.8789     10.8035    5.8526
4.9833     10.5879    5.9067
5.075      10.4299    5.9378
5.1669     10.2739    5.9563
5.2525     10.0801    5.9948
5.3333     9.9143     5.9744
5.4284     9.7888     5.9196
5.4934     9.6275     5.9098
5.5385     9.4591     5.9522
5.5915     9.3298     5.9338
5.578      9.1226     5.9299
5.6031     9.0466     5.8942
5.6234     8.9098     5.8404























