TMP        SK 561     Too30stv
16.9027    5.747      6.424
16.7943    5.6101     6.4174













































































































































































12.0733    10.3163    10.0213    L-ALV
11.9039    10.0531    9.7523
11.891     9.7867     9.5492
11.9008    9.4303     9.263
11.9899    9.2513     9.117
12.0574    9.0619     8.9341
12.0633    8.8847     8.8046
12.137     8.6958     8.652
12.2061    8.5323     8.5222
12.2294    8.3718     8.3077
12.2207    8.2003     8.2054
12.2696    8.065      8.1028
12.3604    8.007      8.0252
12.4536    7.7409     7.9209
12.4836    7.5951     7.851
12.5201    7.3521     7.7654
12.5939    7.2076     7.6656
12.6255    7.0897     7.5337
12.6924    6.9454     7.2923
12.8106    6.7901     7.1207
12.8392    6.59       7.0617
12.9081    6.3916     6.9442
12.9695    6.3012     6.8148
13.0496    6.0863     6.6174
13.1707    5.9676     6.413
