AMNH       103372     scc14ms.xls



























































9.0338     12.3988    7.0486     R-ALV
9.0072     12.4955    6.9751
8.9965     12.6288    6.9344
9.0338     12.6826    6.9479
9.0463     12.8047    6.9328
9.078      12.8622    6.9319
9.1045     12.9291    6.9312
9.1054     12.992     6.9399
9.1476     13.0554    6.9333
9.1996     13.1459    6.9357
9.2289     13.2186    6.9112
9.2597     13.2594    6.9074
9.3012     13.3534    6.9061
9.3426     13.4474    6.905
9.377      13.4864    6.8913
9.4015     13.6017    6.8732
9.4213     13.6607    6.8715
9.4935     13.7346    6.8355
9.515      13.8013    6.832
9.5733     13.8353    6.8039
9.5837     13.9006    6.7876
9.6145     13.9567    6.7658
9.6569     14.0275    6.7485
9.6972     14.0882    6.7408
9.7424     14.1634    6.6813
9.821      14.2072    6.6731
9.8959     14.2696    6.634
9.9721     14.3038    6.6355
9.9999     14.3581    6.5926
10.0266    14.3958    6.5265
10.0851    14.4672    6.5108
10.1295    14.5341    6.4908
10.1873    14.5725    6.493
10.2597    14.6588    6.4456
10.3093    14.7201    6.4202
10.3556    14.7698    6.3752
10.3931    14.8432    6.3339
10.5066    14.9072    6.2843
10.6012    14.9169    6.2646

































































































































































11.0934    10.8185    7.0755     L-ALV
11.2002    10.8716    7.0274
11.2988    10.9278    7.0039
11.3677    10.9908    6.9813
11.4811    11.0595    6.9876
11.5507    11.1199    6.9962
11.6516    11.2041    7.007
11.7307    11.2705    7.0002
11.8264    11.3618    6.9916
11.8844    11.4331    6.9888
11.9279    11.5008    7.0094
11.9939    11.5615    6.9895
12.0848    11.6324    6.9797
12.1538    11.7182    6.958
12.191     11.7882    6.9472
12.2462    11.873     6.9179
12.3132    11.9411    6.8801
12.3873    12.035     6.8607
12.4392    12.127     6.8311
12.5005    12.1844    6.8088
12.5338    12.2774    6.7932
12.5632    12.4166    6.7402
12.5885    12.5113    6.6993
12.6388    12.5909    6.6654
12.7007    12.687     6.6472
12.762     12.7998    6.6309
12.8136    12.9018    6.6059
12.8478    12.938     6.5305
12.9203    13.0416    6.5214
12.9753    13.1744    6.4014
12.9626    13.2495    6.4075
