AMNH       103354     scc1cs.xls
-2.9679    29.7051    7.5172































































































































































































1.2343     31.5127    7.9091     R-ALV
1.5528     31.3442    7.9255
1.8601     31.1216    7.9171
2.1392     30.8659    8.0355
2.3078     30.6032    8.002
2.5267     30.3115    7.9156
2.5522     30.0117    7.9233
2.6248     29.7867    7.8684
2.6328     29.5817    7.851
2.6834     29.264     7.7062






























































































































































































-0.7445    30.0248    7.9647     L-ALV
-0.6675    29.6788    8.0006
-0.5329    29.3101    8.068
-0.3102    28.9641    8.152
0.0713     28.5227    8.0647
0.3479     28.3908    8.0092
0.6722     28.1983    7.9115
0.9005     28.0698    7.8063
1.024      28.0864    7.8045
