MNHN       AC A-1439  Tg36stv























































































































































-0.0166    2.6686     11.6471    OP
-0.3612    4.5563     11.5181    BA
-0.7829    8.6025     10.5246    ST
-1.4095    12.4605    10.2478    IV
-3.4767    4.1855     11.2256    R_PG
-5.0574    5.5652     10.7171    R_ZTI
-2.4876    8.2455     11.388     R_M3D
-3.1927    10.4744    11.4794    R_M12
-2.8943    12.6001    10.9163    R_MP3
-2.5084    13.4064    10.6173    R_PMI
2.9425     5.0559     10.8569    L_PG
3.8576     6.6907     10.2008    L_ZTI
0.8519     8.6348     11.2016    L_M3D
1.0052     10.8506    11.0975    L_M12
-0.007     12.9686    10.8731    L_MP3
-0.3498    13.574     10.3962    L_PMI
-1.9636    14.4439    10.4405    O1
1.1373     7.6953     5.8486     O2
-5.0981    5.2031     10.0946    O3
0.8325     0.4951     9.3036     O4




















































































































































































-4.2055    8.6708     10.3792    RZYGINF
-4.2931    8.5416     10.297
-4.43      8.3896     10.2372
-4.5742    8.2766     10.2555
-4.7049    8.1893     10.2855
-4.824     8.0425     10.3613
-4.9265    7.8724     10.4298
-5.029     7.5913     10.474
-5.1006    7.3988     10.4908
-5.1315    7.1864     10.4735
-5.1276    6.9975     10.4709
-5.1478    6.8885     10.4483
-5.1093    6.6825     10.4969
-5.082     6.4409     10.577
-5.0037    6.2391     10.6573
-4.9519    5.9467     10.7338
-4.9705    5.8294     10.7481
-4.9673    5.6458     10.7773
-4.9678    5.5563     10.7681
-4.9826    5.5146     10.7566




















































































































































































2.2018     9.545      10.0582    LZYGINF
2.4315     9.5315     9.9194
2.618      9.4198     9.8451
2.8787     9.366      9.8098
3.0781     9.2407     9.8519
3.2827     9.0395     9.9164
3.4071     8.8097     9.9546
3.4968     8.6837     9.947
3.5626     8.5069     9.9481
3.5928     8.3647     9.924
3.629      8.2186     9.9111
3.7262     8.0329     9.9296
3.8161     7.7504     9.97
3.7391     7.5393     10.1096
3.7827     7.3544     10.1426
3.7744     7.2        10.1569
3.7939     7.0054     10.1753
3.8326     6.8405     10.1864
3.854      6.7251     10.1629
3.8341     6.6783     10.1799


























































