FMNH        27189     Tg18stv
7.8344      13.189      10.5062
7.8859      13.4479     10.3824
8.0108      13.6642     10.2917
8.0662      13.8127     10.244
8.2119      14.0054     10.2182
8.2774      14.1063     10.2107
8.3138      14.184      10.2516




















































































































































































12.5883     7.7283      13.3494     LTEMFOS
12.6431     7.6613      13.1637
12.731      7.6373      12.968
12.7352     7.6068      12.828
12.7478     7.5518      12.721
12.846      7.5575      12.5345
12.9066     7.5352      12.3623
12.9455     7.4987      12.1369
13.0021     7.498       12.0231
13.0647     7.4872      11.8468
13.0974     7.4854      11.6713
13.1497     7.4574      11.4985
13.1805     7.4298      11.2996
13.3057     7.4286      11.0826
13.5458     7.4423      10.932
13.6857     7.4667      10.8412
13.8158     7.5652      10.839
14.0217     7.5675      10.7793
14.1864     7.6459      10.7859
14.3128     7.7381      10.8282
14.4323     7.768       10.8443
14.5546     7.8547      10.9417


















































































































































































7.8906      7.4035      11.2586     OP
9.3137      8.6379      11.759      BA
12.4769     11.9116     11.8734     ST
15.4937     15.2231     12.3049     IV
9999        9999        9999        R_PG
7.7165      13.9221     10.7073     R_ZTI
11.3821     13.5874     13.0711     R_M3D
12.8327     15.3406     12.947      R_M12
14.5747     16.7753     12.7754     R_MP3
15.4591     16.7779     12.6012     R_PMI
11.8814     6.3259      11.9773     L_PG
14.4256     6.8296      11.0925     L_ZTI
14.0039     11.1906     13.3185     L_M3D
15.8286     12.6891     13.2535     L_M12
16.9454     14.7375     12.9907     L_MP3
17.0751     15.445      12.8895     L_PMI
