NMNH       122634     See7stv
3.5652     6.5686     5.0574     L_ZTI
1.5447     7.3637     5.7973     L_M3D
1.9906     8.6754     5.4864     L_M12
1.6508     10.1324    4.9435     L_MP3
1.1651     10.6797    4.8386     L_PMI
0.0739     11.5181    4.653      O1
2.9157     7.187      2.1242     O2
-4.1922    5.8645     4.6217     O3
0.1915     1.0565     3.7989     O4




















































































































































































-2.4272    8.7384     4.6181     RZYGINF
-2.5622    8.6828     4.5725
-2.7646    8.676      4.6226
-2.9655    8.6198     4.6461
-3.128     8.4987     4.6932
-3.2189    8.396      4.7476
-3.3509    8.2378     4.7982
-3.4674    8.0605     4.8354
-3.5353    7.9157     4.8671
-3.689     7.7397     4.8586
-3.7627    7.6657     4.84
-3.838     7.4893     4.7972
-3.887     7.307      4.7316



























































































































































































2.8618     8.2507     4.8746     LZYGINF
3.09       8.1863     4.9287
3.2606     8.1093     4.944
3.3465     7.9876     4.9898
3.3917     7.8924     5.0387
3.4451     7.7036     5.1042
3.4788     7.5053     5.1539
3.5162     7.2943     5.1683
3.5542     7.1273     5.2024
3.6071     6.9192     5.1866
3.5614     6.7074     5.1516
3.5738     6.5823     5.1086
3.5882     6.407      5.024



























































































































































































-1.5602    7.5532     5.6967     R-ALV
-1.6459    7.8232     5.5787
-1.703     8.0609     5.6132
-1.768     8.2327     5.5347
