FMNH       27039      Tg12stv






















































9.6398     8.0138     12.0206    LORBIT
9.7856     7.8355     12.0798
9.9339     7.7254     12.1202
10.0943    7.6166     12.1889
10.2473    7.5318     12.2641
10.3926    7.4739     12.3561
10.5946    7.3705     12.4561
10.6517    7.3934     12.5806
10.7478    7.3505     12.6997
10.8067    7.384      12.8545
10.8526    7.3692     12.9821
10.8852    7.3855     13.1601
10.8879    7.4031     13.2612
10.8708    7.3541     13.443
10.8115    7.3749     13.6164
10.7814    7.3109     13.7228
10.7446    7.2637     13.8373
10.7063    7.1268     13.9895
10.5197    7.085      14.02
10.3151    7.0324     14.0449
10.0622    7.0354     14.0162
9.8386     7.0235     13.9745
9.6447     7.064      13.9326
9.4623     7.1165     13.904
9.3266     7.1469     13.8989
9.2087     7.1936     13.8737
9.0935     7.2668     13.8566
8.9509     7.3336     13.8307
8.7875     7.4776     13.8121
8.5584     7.6117     13.9074
8.3731     7.8958     13.8689
8.2635     8.1343     13.839
8.2565     8.2818     13.7998
8.1749     8.3579     13.777
8.172      8.4813     13.7171
8.2277     8.5769     13.5652
8.2712     8.6186     13.4863
8.3601     8.6552     13.339
8.3777     8.7161     13.2233
8.4778     8.7667     13.1331
8.5448     8.7853     13.0701































































































































































6.8634     12.2181    13.685     RTEMFOS
6.7986     12.2899    13.4512
6.8147     12.4348    13.2367
6.7927     12.5174    13.0033
6.7472     12.5872    12.7451
6.7519     12.6642    12.571
6.758      12.7417    12.3938
6.7404     12.7651    12.2486
6.6841     12.7992    12.0663
6.666      12.8463    11.8721
6.675      12.9002    11.6666
6.6471     12.9443    11.5044
6.6054     13.0049    11.2777
6.5809     13.1727    11.0604
6.6158     13.3599    10.9017
6.6524     13.5245    10.8249
6.6206     13.5874    10.7674
6.6541     13.7066    10.7423
6.6975     13.931     10.7023
6.757      14.1343    10.7146
6.866      14.2865    10.7587
6.9165     14.4472    10.8041
6.9926     14.5643    10.8368

















































































































































































11.339     7.2793     14.1653    LTEMFOS
11.5208    7.2428     13.9497
11.7189    7.1441     13.6333
11.8289    7.0942     13.4173
11.9233    7.0459     13.2348
11.9958    6.9962     13.0174
12.0525    6.9225     12.8312
12.0993    6.8801     12.6742
12.172     6.848      12.4682
12.2054    6.7967     12.3095
12.2413    6.744      12.2122
12.3364    6.6873     12.0066
12.4597    6.6483     11.884
12.5793    6.6114     11.7509
12.6787    6.5716     11.6476
12.8477    6.5393     11.5564
