BM(NH)     M32102     Too31stv


























































































































































9999       9999       9999       OP
9999       9999       9999       BA
9.8463     9.3499     10.6793    ST
14.2574    14.5369    11.9022    IV
9999       9999       9999       R_PG
3.0809     11.2693    9.7663     R_ZTI
8.3655     11.2556    12.2581    R_M3D
10.3309    14.3086    12.9879    R_M12
12.6867    16.021     12.5095    R_MP3
14.2425    16.6651    12.1246    R_PMI
9999       9999       9999       L_PG
13.1013    2.9345     9.6365     L_ZTI
12.0507    8.0954     12.4359    L_M3D
14.6559    10.4498    12.639     L_M12
16.1558    13.1851    12.4706    L_MP3
16.4726    15.0104    12.1298    L_PMI
17.1265    14.5026    13.5404    O1
11.5687    6.229      4.7052     O2
2.7551     10.8841    8.7813     O3
4.6033     -0.1942    7.8481     O4




















































































































































































8.0656     13.3748    10.6088    RZYGINF
7.8666     13.3005    10.6398
7.6448     13.3642    10.5542
7.4497     13.4252    10.5498
7.3521     13.5137    10.5202
7.2413     13.6018    10.5134
7.13       13.7713    10.5225
7.0166     13.8033    10.4662
6.8848     13.7518    10.3965
6.7442     13.7548    10.3336
6.6084     13.7335    10.2653
6.4338     13.7045    10.239
6.2682     13.6873    10.2118
6.1242     13.702     10.1588
5.9378     13.6879    10.1422
5.7717     13.6416    10.1223
5.5164     13.566     10.1056
5.2976     13.4988    10.0484
5.016      13.2947    10.0376
4.8007     13.0846    10.0082
4.6791     12.87      9.972
4.5327     12.6992    9.9531
4.4233     12.5334    9.9455
4.3281     12.3807    9.9439
4.1214     12.2748    9.9182
4.0585     12.147     9.9279
3.9294     12.0676    9.9197
3.7896     11.9551    9.9246
3.6285     11.8525    9.903
3.4604     11.7369    9.899
3.3778     11.6085    9.8889
3.2194     11.5147    9.8146
3.1569     11.403     9.8408
3.1011     11.2187    9.8303






































































































































































14.434     7.8783     10.6627    LZYGINF
14.5831    7.715      10.4903
14.7178    7.4971     10.4172
14.7519    7.4006     10.3898
14.8767    7.3122     10.3369
14.989     7.1003     10.2684
15.136     6.9633     10.2675
15.2475    6.8091     10.2644
15.3253    6.5533     10.1933
15.2605    6.2412     10.0899
15.1313    5.9081     10.0157
15.0218    5.6287     9.9871
14.9999    5.3457     9.8883
14.9196    5.235      9.8959
