AMNH       110456     Rprf012z
15.2957    21.0327    7.9902
15.2826    20.9884    8.0966
15.2599    20.9953    8.2438
15.2583    20.9685    8.3362
15.324     20.9195    8.467
15.348     20.9148    8.6316
15.4349    20.8858    8.8228
15.5485    20.8045    8.9129
15.7064    20.7548    9.0759
15.8177    20.7156    9.1594
15.9137    20.6635    9.1653
16.019     20.6337    9.2092
16.1052    20.5859    9.2457
16.2144    20.5525    9.2685
16.3036    20.4805    9.2277
16.4422    20.4412    9.2146
16.5875    20.3469    9.2153
16.6835    20.3122    9.2192
16.8274    20.2227    9.1664
16.9772    20.1568    9.1361
17.0898    20.0773    9.1042
17.2073    20.0343    9.0722
17.3616    19.9667    9.0266
17.4652    19.8663    8.9246
17.552     19.796     8.8157
17.6065    19.7518    8.7122
17.5613    19.7225    8.5773
17.1963    19.361     8.3818

































































































































































19.27      16.079     8.0717     RTEMFOS
19.3531    16.0588    7.8969
19.3742    16.0589    7.7804
19.3508    16.0743    7.6065
19.3306    16.084     7.468
19.331     16.0875    7.3092
19.3559    16.1438    7.203
19.3681    16.1721    7.0803
19.373     16.1742    6.976
19.3314    16.1961    6.8506
19.3015    16.1869    6.7232
19.3283    16.1636    6.5978
19.2291    16.0541    6.4745
19.1898    15.9739    6.3856
19.1016    15.831     6.3323
19.041     15.7228    6.3215
18.9623    15.6024    6.3217
18.887     15.4924    6.3133
18.8187    15.4822    6.3273





















































































































































































14.8495    20.8567    8.3566     LTEMFOS
14.7716    20.8711    8.2487
14.7706    20.9072    8.1158
14.783     20.9705    7.9255
14.7935    20.993     7.794
14.8145    20.9648    7.5995
14.8613    21.0108    7.4796
14.8734    21.0014    7.3672
14.8996    21.0193    7.205
14.8794    20.9892    7.1063
14.8753    20.989     6.9765
14.8059    20.8979    6.8122
14.672     20.8926    6.7327
14.5568    20.8017    6.6363
14.3891    20.6981    6.6167
14.2541    20.6269    6.6262
14.117     20.6239    6.606























































































































































































17.7215    19.4573    8.9294     OP
16.6718    18.2452    9.0345     BA
14.3282    15.8038    8.8385     ST
12.6939    14.1252    8.7718     IV
18.4373    15.7663    8.8781     R_PG
17.5129    14.017     8.5554     R_ZTI
15.9298    15.496     8.7238     R_M3D
15.2439    14.1512    9.1554     R_M12
13.6572    13.1628    9.1309     R_MP3
12.5081    13.1399    8.8532     R_PMI
14.2624    19.9343    8.9581     L_PG
12.5366    19.1019    8.6482     L_ZTI
13.8771    17.2787    8.9429     L_M3D
12.5834    16.6747    9.1932     L_M12
11.6747    15.0312    9.2439     L_MP3
11.5988    14.5349    9.0016     L_PMI
18.6511    20.7458    6.1156     O1
19.2773    16.2536    6.7655     O2
13.4828    13.3145    8.1974     O3
12.4446    17.8779    5.9327     O4




















































































































































































15.473     13.2053    8.6297     RZYGINF
15.7446    13.1242    8.6261
15.9228    13.0748    8.5864
16.0619    13.1398    8.6195
16.2185    13.1662    8.6014
16.509     13.3206    8.6074
16.6445    13.3492    8.6383
16.7883    13.4837    8.6349
16.9317    13.5681    8.6612
17.1172    13.6896    8.6809
17.2151    13.7682    8.7174
17.3531    13.8468    8.6662
17.4907    13.9331    8.6459
17.5588    13.9926    8.5694


























































































































































































11.7097    16.9904    8.7233     LZYGINF
11.6739    17.1509    8.7633
11.6361    17.4645    8.7672
11.6993    17.7916    8.7616
11.7752    17.9896    8.7931
11.8728    18.2299    8.7136
12.0408    18.4176    8.7379
12.1306    18.6471    8.7081
12.2328    18.7858    8.7342
12.3024    18.9671    8.7186
12.344     19.078     8.6689
12.4744    19.1019    8.6335




























































































































































































15.9475    15.4643    8.7466     R-ALV
15.9115    15.3429    8.8434
15.8805    15.2346    8.8824
15.8252    15.0942    8.9486
15.7472    14.8779    9.0125
15.7037    14.727     9.0304
15.638     14.5997    9.0675
15.4966    14.3965    9.075
15.4393    14.2814    9.0826
15.204     14.0491    9.1108
14.9215    13.7928    9.1233
14.6501    13.5937    9.0841
14.462     13.4877    9.1477
14.296     13.3738    9.1286
14.0455    13.2883    9.0385
13.9117    13.2145    9.0282
13.748     13.1629    8.9716
13.596     13.0831    9.016






















































































































































































13.9058    17.2727    8.91       L-ALV
13.5816    17.2266    8.9555
13.4607    17.1657    9.0217
13.1485    17.0862    9.0842
12.9721    16.9869    9.0874
12.6466    16.733     9.1942
12.5263    16.625     9.1896
12.2762    16.3422    9.2085
12.0608    16.0995    9.0316
11.9679    15.8831    9.0926
11.8662    15.7076    9.0734
11.7779    15.5175    9.0592
11.7408    15.3964    9.105
11.671     15.2751    9.0986
11.6445    15.1567    9.1381
11.6007    15.0551    9.1827
