FSM        1011       Tg40stv
3.5925     10.3186    13.78
3.6745     10.2698    13.6035
3.7406     10.2396    13.4708
3.8787     10.2271    13.2352
3.9332     10.1572    13.1057
4.0065     10.144     12.9431
4.0784     10.0847    12.6762
4.1888     10.0252    12.4241
4.2446     10.0091    12.1988
4.2912     9.9507     11.9909
4.3565     9.866      11.7376
4.4096     9.7659     11.5127
4.4802     9.753      11.2943
4.5925     9.7696     11.0559
4.7076     9.8107     10.8763
4.9601     9.8894     10.5753
5.116      10.0343    10.4354
5.2476     10.1696    10.3794
5.281      10.3861    10.3656
5.3453     10.5225    10.3715
5.4086     10.7214    10.382
5.4416     10.8282    10.4057
5.4185     11.0019    10.3824
















































































































































































1.2367     5.4379     12.2256    OP
1.1941     7.4843     12.4746    BA
0.8854     12.093     11.7056    ST
0.6533     16.8335    11.649     IV
-2.7495    7.0693     12.1191    R_PG
-4.4879    9.1927     11.1426    R_ZTI
-0.97      12.3184    13.1004    R_M3D
-1.498     14.7714    12.8775    R_M12
-1.3157    17.0558    12.4559    R_MP3
-0.7301    18.3954    11.9273    R_PMI
4.805      7.4398     12.0195    L_PG
6.5262     9.9062     10.7425    L_ZTI
2.7887     12.4708    13.1219    L_M3D
3.1244     14.8818    12.7386    L_M12
2.5858     17.2618    12.2535    L_MP3
1.9077     18.6171    11.9093    L_PMI
3.065      18.6605    13.6932    O1
-1.889     10.6882    6.1421     O2
6.5123     9.1971     10.2986    O3
0.5432     3.4241     9.429      O4




















































































































































































-2.9718    12.6723    11.1068    RZYGINF
-3.1271    12.4788    10.976
-3.2374    12.2726    10.9069
-3.4203    12.0582    10.8529
-3.6215    11.7042    10.8908
-3.7437    11.5044    10.9232
-3.8163    11.2747    10.9195
-3.9157    11.0391    10.9185
-4.0113    10.8248    10.9183
-4.0742    10.6355    10.922
-4.0877    10.5564    10.9218
-4.0872    10.3568    10.9204
-4.1932    10.1178    10.9651
-4.2787    9.8549     11.0389
-4.2656    9.6282     11.1218
-4.2813    9.4811     11.1544
-4.3708    9.4046     11.1599
-4.4928    9.2907     11.1649
-4.5016    9.2144     11.1305





















































































































































































4.642      13.0689    10.8659    LZYGINF
4.7654     12.8794    10.7772
4.9579     12.7874    10.6935
5.124      12.6599    10.6604
5.2486     12.5342    10.6687
5.3967     12.4116    10.7111
5.4648     12.1949    10.7403
5.5575     12.0775    10.7582
5.6232     11.8316    10.754
5.7429     11.674     10.7406
5.884      11.431     10.7151
5.9494     11.2018    10.7023
5.9912     10.9969    10.712
5.9985     10.7464    10.7414
6.0391     10.5628    10.7896
6.0233     10.376     10.8218
6.1039     10.2001    10.8576
6.1483     10.0245    10.8781
6.3044     9.9517     10.8763
6.4474     9.8738     10.8052




















































































































































































-0.9342    12.2761    13.1079    R-ALV
-1.1448    12.5978    13.0363
-1.2346    12.8016    12.974
-1.3914    13.1552    12.9985
-1.4697    13.4927    12.9901
-1.5071    13.8478    12.9956
-1.5263    14.2089    12.9028
-1.5426    14.4222    12.8404
-1.5205    14.6701    12.8295
-1.4947    14.8849    12.8314
-1.5047    15.1737    12.7802
-1.5021    15.4082    12.7066
-1.4864    15.5885    12.6592
-1.4298    15.8318    12.6334
-1.381     16.1037    12.6183
-1.3666    16.3426    12.5767
-1.3524    16.5115    12.6067
-1.3466    16.7358    12.5766
-1.3368    16.844     12.5584
-1.3094    17.0001    12.4932




















































































































































































2.769      12.4701    13.0411    L-ALV
2.9101     12.7395    12.9911
2.9802     12.9702    12.9742
3.0737     13.3119    12.8671
3.1062     13.6093    12.8428
3.1302     13.8619    12.8507
3.1527     14.109     12.838
3.1641     14.378     12.7049
3.1418     14.6753    12.6943
3.1044     14.9559    12.6378
3.0917     15.1773    12.5909
3.0728     15.4319    12.5512
3.0527     15.5938    12.4648
3.0146     15.8249    12.4393
2.9318     15.9907    12.4512
2.8752     16.1496    12.385
2.8304     16.3483    12.3304
2.7892     16.5833    12.3048
2.7866     16.7997    12.2657
2.7502     17.0142    12.2745
2.6981     17.1305    12.2639
