AMNH       119648     Rpr11stv














































3.5072     8.2079     6.3573     LTEMFOS
3.5493     8.1989     6.1527
3.572      8.1521     5.9928
3.5841     8.1398     5.8477
3.5652     8.1106     5.6981
3.5571     8.0764     5.5198
3.5401     8.037      5.3427
3.5158     8.0311     5.1913
3.4903     7.9808     5.0699
3.4484     7.9991     4.8696
3.4558     8.0454     4.7251
3.4393     8.0671     4.5732
3.4568     8.1505     4.4316
3.4654     8.2653     4.3214
3.473      8.402      4.2578
3.5286     8.5545     4.1673
3.5264     8.6723     4.1704
3.5419     8.8826     4.1826






















































































































































































-0.3467    6.4946     9.0528     OP
-0.2505    8.2608     8.6852     BA
-0.0103    11.5546    7.8578     ST
0.134      14.1626    7.3658     IV
-3.4072    8.9577     8.6089     R_PG
-3.9959    11.2608    7.9026     R_ZTI
-1.5445    11.3247    8.1966     R_M3D
-1.8843    12.9857    8.1896     R_M12
-1.1728    14.2749    7.7339     R_MP3
-0.7852    14.9341    7.3645     R_PMI
3.153      8.5504     8.4868     L_PG
3.9838     10.6691    7.5847     L_ZTI
1.561      11.1892    8.0549     L_M3D
2.0436     12.8627    8.0271     L_M12
1.5735     14.0981    7.688      L_MP3
1.2236     14.8466    7.3448     L_PMI
-0.2524    15.6444    7.1834     O1
3.0982     11.118     4.1242     O2
-3.9667    7.9319     6.9213     O3
0.3686     4.6099     7.769      O4




















































































































































































-2.8442    13.2941    7.7377     RZYGINF
-3.0033    13.1526    7.8591
-3.1474    12.9938    7.8921
-3.278     12.8261    7.897
-3.367     12.7268    7.8568
-3.5177    12.5291    7.8525
-3.6005    12.3097    7.8745
-3.6645    12.1489    7.9182
-3.7583    11.9044    7.9237
-3.8738    11.5458    7.8945
-4.0018    11.2299    7.8854
-4.0078    11.1762    7.9052




























































































































































































3.0538     12.67      7.4632     LZYGINF
3.1956     12.5297    7.4932
3.3475     12.2842    7.547
3.4786     11.9804    7.5747
3.5943     11.7905    7.5645
3.6962     11.5002    7.5963
3.8142     11.3211    7.6264
3.833      11.2078    7.6331
