NMNH       63470      See8stv













































































































































































4.0843     7.074      6.5952     LTEMFOS
4.3124     7.0648     6.2386
4.3695     6.9794     5.9961
4.4543     6.9002     5.819
4.4588     6.7585     5.7022
4.5076     6.6861     5.5448
4.5307     6.6155     5.2928
4.5297     6.5432     5.0862
4.5433     6.4256     4.8836
4.5683     6.3951     4.6818
4.615      6.3593     4.4477
4.6533     6.4137     4.238
4.7851     6.3808     3.9442
4.9079     6.4815     3.7654
5.0469     6.6609     3.619
5.1024     6.8487     3.62
5.2148     6.9908     3.5532
5.2177     7.1355     3.5945
5.2402     7.2481     3.6175
5.2813     7.4126     3.6536




















































































































































































0.9972     4.7263     6.3169     OP
1.0713     6.4617     6.7145     BA
1.2366     10.4254    6.3524     ST
1.4935     13.945     6.7566     IV
-2.6035    6.6408     6.5319     R_PG
-3.4704    9.1851     6.151      R_ZTI
-0.6644    10.5136    7.2095     R_M3D
-0.9714    12.2978    7.425      R_M12
-0.3066    14.3122    7.1592     R_MP3
0.3545     14.861     7.1484     R_PMI
4.8418     6.3448     6.712      L_PG
6.0982     8.669      6.2813     L_ZTI
3.2101     10.3631    7.3117     L_M3D
3.722      12.2061    7.2629     L_M12
3.2869     14.2029    7.2522     L_MP3
2.6381     14.7456    7.2197     L_PMI
2.1524     15.2963    6.6525     O1
4.6007     10.645     3.0093     O2
-3.7436    8.3318     5.6762     O3
-0.6113    3.6695     3.8921     O4




















































































































































































-2.2523    11.9545    6.3104     RZYGINF
-2.3137    11.6582    6.4752
-2.5337    11.4844    6.4905
-2.7075    11.2711    6.5291
-2.8125    11.1182    6.5512
-2.909     10.934     6.6112
-2.9739    10.76      6.6253
-3.0174    10.5405    6.6785
-3.0988    10.2843    6.6668
-3.1512    10.0482    6.6158
-3.1956    9.8744     6.5497
-3.2609    9.7678     6.4704
-3.3686    9.593      6.3919
-3.4108    9.4833     6.2808
-3.4971    9.3422     6.2308
-3.5153    9.2287     6.1978
-3.5412    9.1689     6.1021































































































