KNM        ER 1531    Too20stv
13.1727    11.0296    9.4075
13.403     10.9795    9.4968
13.6501    11.0429    9.6519
13.8396    11.0924    9.7707
14.0078    11.1151    9.9247
14.2102    11.1313    10.1453
14.3148    11.2009    10.3467
14.4138    11.2427    10.575
14.4501    11.2902    10.6702
14.485     11.307     11.0883
14.4008    11.3084    11.354
14.2672    11.2918    11.6414
14.1386    11.3158    11.774
13.8884    11.3945    11.862
13.665     11.4183    12.0546
13.4412    11.5244    12.1966
13.2376    11.6174    12.1587
12.9766    11.6943    12.17
12.8123    11.6095    12.1835
12.6408    11.6381    12.1673
12.4374    11.7169    12.0282
12.0902    11.8911    12.0474
11.7491    12.1235    11.9413
11.519     12.2262    11.8146
11.5365    12.3197    11.5202
11.4879    12.3966    11.2044
11.4158    12.5573    11.0114
11.3002    12.4896    10.7418
11.2714    12.361     10.4381
11.2635    12.231     10.2757






































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































8.1125     8.4745     10.3173    OP
9.5442     10.0655    10.1988    BA
13.0737    14.8325    9.4129     ST
17.1361    20.154     9.4747     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
11.7852    17.3003    10.7515    R_M3D
13.5784    20.5042    10.1854    R_M12
15.4252    22.791     9.7021     R_MP3
17.291     22.7776    9.4501     R_PMI
13.7232    8.3121     11.1188    L_PG
9999       9999       9999       L_ZTI
16.0237    14.4299    10.7711    L_M3D
18.3041    16.9552    10.3123    L_M12
20.1409    19.4419    9.5725     L_MP3
19.5525    21.0653    9.2447     L_PMI
21.0229    20.7979    9.6606     O1
8.5012     14.9807    3.1044     O2
14.7019    8.3013     8.6572     O3
7.0643     5.5977     8.1462     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF








































































































































































