BMNH       69.556     Phk3stv






































































6.0661     3.0717     11.7447    OP
7.445      4.6014     11.6207    BA
10.0991    8.0575     9.9866     ST
13.1083    11.695     9.0726     IV
4.7556     7.1308     10.6644    R_PG
5.0571     9.178      9.6945     R_ZTI
8.7974     9.2415     10.7537    R_M3D
9.7152     11.3515    10.2999    R_M12
11.1977    12.7654    9.6071     R_MP3
12.2842    13.1214    9.3211     R_PMI
10.3205    2.5516     10.8732    L_PG
12.5232    3.3252     10.0873    L_ZTI
11.6833    7.1326     10.8695    L_M3D
13.3943    8.6237     10.4149    L_M12
14.6236    10.4103    9.7799     L_MP3
14.6503    11.5005    9.4105     L_PMI
13.1851    13.9661    9.248      O1
11.3605    4.1412     5.5579     O2
4.8324     9.0859     9.2255     O3
7.9568     0.6008     10.4278    O4




















































































































































































7.9047     10.2557    9.3875     RZYGINF
7.7062     10.2401    9.3107
7.4453     10.2235    9.2311
7.2518     10.194     9.2394
7.0124     10.1549    9.3037
6.8833     10.0907    9.3676
6.6632     10.02      9.4431
6.5169     9.9479     9.5046
6.3874     9.8397     9.5688
6.2109     9.7969     9.6311
6.0441     9.7484     9.6641
5.89       9.6848     9.7094
5.7664     9.5875     9.7249
5.659      9.4845     9.7183
5.5669     9.3962     9.7399
5.443      9.347      9.7307
5.3327     9.252      9.7362
5.2595     9.2142     9.7288
5.0643     9.0644     9.703





















































































































































































12.9377    6.1961     9.5115     LZYGINF
12.951     5.9191     9.482
12.9286    5.6924     9.5143
12.9272    5.538      9.584
12.9497    5.3903     9.6671
12.9584    5.2103     9.7388
12.8999    5.0878     9.7955
12.878     4.9099     9.8709
12.8089    4.748      9.9415
12.7659    4.6254     9.9751
12.7741    4.4899     10.0489
12.7612    4.3845     10.072
12.8792    4.2868     10.0738
12.8511    4.1385     10.0756
12.8689    4.0125     10.0877
12.7932    3.883      10.1394
12.7397    3.7139     10.1131
12.693     3.5999     10.1238
12.6694    3.4636     10.1084
12.5568    3.2973     10.1238




















































































































































































