AMNH       169432     Phu1cms3
23.4464    -8.9399    15.6574
23.5606    -9.1122    15.8255
23.6588    -9.3543    15.945
23.8144    -9.5615    16.0729
23.9968    -9.7914    16.1351
24.1083    -9.9292    16.2054
24.1518    -10.2198   16.1768
24.1824    -10.4795   16.161
24.1548    -10.7344   16.1377
24.0896    -10.9155   16.1601
24.1573    -11.8742   16.0627
24.1956    -11.9386   15.8428
24.2024    -11.997    15.6629
24.1843    -12.0452   15.3846
24.243     -12.0493   15.2152
24.3167    -12.0535   15.001










































































































































































23.3777    -17.6303   15.1312    RTEMFOS
23.4945    -17.628    14.9107
23.5996    -17.6545   14.747
23.6397    -17.6798   14.6516
23.7093    -17.6905   14.5055
23.8069    -17.6622   14.2506
23.8723    -17.6687   14.0742
23.9494    -17.684    13.867
23.9901    -17.682    13.6341
24.0756    -17.698    13.5011
24.1264    -17.7305   13.2809
24.2104    -17.7756   12.9979
24.3071    -17.8047   12.7693
24.3098    -17.8859   12.5408
24.3289    -17.9343   12.3389
24.2783    -18.0561   12.0028
24.1915    -18.1638   11.8154
24.0396    -18.3047   11.6506
23.8405    -18.5029   11.6095
23.5491    -18.6768   11.5848
23.3995    -18.6839   11.6206
23.2151    -18.73     11.6416
23.0469    -18.6981   11.7046
22.9137    -18.7774   11.715
22.784     -18.7428   11.8281















































































































































































22.4379    -8.0239    14.56      LTEMFOS
22.4628    -7.9756    14.2808
22.5526    -7.9567    14.0724
22.7084    -7.9559    13.8258
22.7894    -7.9644    13.5683
22.8803    -7.9584    13.3332
22.9916    -7.9724    13.1041
23.1457    -8.0146    12.7881
23.1964    -8.0104    12.5607
23.2583    -7.9978    12.2151
23.2959    -7.9574    11.9405
23.3252    -7.8699    11.6257
23.2764    -7.845     11.4422
23.2077    -7.8033    11.2775
23.149     -7.7292    11.1308
22.9669    -7.6562    11.013
22.7041    -7.55      11.0118
22.4095    -7.4546    11.0403
22.1796    -7.453     11.1058
22.0469    -7.4526    11.1406
21.9604    -7.4407    11.1687



















































































































































































31.5707    -12.4751   11.0751    OP
29.4417    -12.7121   11.3937    BA
22.9567    -13.0005   10.891     ST
16.241     -13.3197   11.7634    IV
9999       9999       9999       R_PG
26.7206    -18.5841   9.491      R_ZTI
22.5639    -15.551    12.5475    R_M3D
19.7574    -16.0214   12.5716    R_M12
17.0933    -15.7782   12.7021    R_MP3
15.1246    -15.1125   12.428     R_PMI
29.1493    -8.3866    11.0872    L_PG
26.2694    -7.0249    9.9845     L_ZTI
22.4375    -10.5762   12.794     L_M3D
19.5849    -10.2569   12.7869    L_M12
16.9263    -10.8204   12.8129    L_MP3
15.1269    -11.7752   12.4399    L_PMI
16.0605    -10.6112   11.5972    O1
22.8254    -8.2967    8.7034     O2
30.0691    -8.5494    8.2594     O3
33.6591    -10.7504   8.8834     O4




















































































































































































22.8382    -16.9474   10.0641    RZYGINF
22.9573    -17.103    9.9698
23.1162    -17.2631   9.8238
23.2581    -17.4077   9.6859
23.3729    -17.6174   9.6084
23.6495    -17.7927   9.5945
23.9157    -17.929    9.6326
24.181     -18.0135   9.7128
24.346     -18.0869   9.7879
24.5967    -18.1101   9.8885
24.8233    -18.1825   9.9458
25.2555    -18.2474   9.9386
25.5994    -18.2792   9.8928
25.9748    -18.4217   9.8519
26.1779    -18.5268   9.7827
26.4248    -18.5684   9.6901
26.6276    -18.5694   9.5945
26.7398    -18.5996   9.499






















































































































































































22.6956    -8.9513    10.2532    LZYGINF
22.8296    -8.7607    10.0832
22.9783    -8.5423    9.9081
23.1612    -8.2353    9.8758
23.4272    -8.0044    9.9411
23.6987    -7.8174    10.0352
24.1569    -7.786     10.2041
24.4644    -7.6547    10.265
24.8392    -7.5004    10.2983
25.0743    -7.4032    10.3201
25.3918    -7.3323    10.3194
25.5969    -7.1886    10.2627
25.7411    -7.1452    10.2046
25.9824    -7.1278    10.1453
26.2547    -6.9925    10.0363

























































































































































































22.62      -15.6071   12.4477    R-ALV
22.4757    -15.7312   12.4821
22.2363    -15.8345   12.5599
21.9815    -15.9431   12.5374
21.7478    -16.0045   12.5149
21.4106    -16.0159   12.5844
20.9589    -16.1393   12.5721
20.654     -16.111    12.583
20.304     -16.1389   12.5294
19.9774    -16.0979   12.5147
19.5624    -16.0786   12.5607
19.2272    -16.0712   12.4567
18.9032    -16.0655   12.521
18.6599    -15.977    12.5616
18.4464    -15.8842   12.6344
18.1417    -15.8673   12.6337
17.89      -15.8567   12.6715
17.5556    -15.8876   12.6831
17.3204    -15.8843   12.6908
17.076     -15.8698   12.6615




















































































































































































22.4738    -10.6134   12.8173    L-ALV
22.3978    -10.5043   12.7972
22.106     -10.3744   12.8108
21.7992    -10.2512   12.7748
21.5283    -10.1994   12.7936
21.2205    -10.2114   12.7756
20.8847    -10.234    12.8538
20.5209    -10.1555   12.8007
20.2823    -10.1339   12.7967
19.95      -10.1745   12.7591
19.6557    -10.2522   12.7287
19.3934    -10.2566   12.7617
19.0825    -10.3065   12.7827
18.7928    -10.3029   12.7563
18.4856    -10.4544   12.7752
18.2667    -10.547    12.823
17.8513    -10.6087   12.7871
17.5656    -10.6336   12.7282
17.3024    -10.6275   12.6974
17.0942    -10.6687   12.7277
16.9087    -10.7132   12.7231
