UWMA       ZA 201     Phu78stv
16.4906    20.1132    11.869
16.6518    20.2302    11.8681
16.7908    20.317     11.8077
16.9487    20.3583    11.8109
17.1187    20.4035    11.8391
17.315     20.5287    11.7554
17.5138    20.701     11.7588
17.7106    20.866     11.7611
17.8834    21.0065    11.725
18.0063    21.0807    11.7427
18.1923    21.1789    11.746
18.3768    21.2067    11.8205
















































































































































































16.8183    14.7711    12.8734    L-ALV
17.0996    14.7906    12.8458
17.4073    14.8743    12.8285
17.7468    14.9593    12.708
17.965     15.12      12.7007
18.1785    15.3205    12.6492
18.4558    15.473     12.5788
18.6785    15.5908    12.4864
18.9363    15.7741    12.4771
19.1155    16.0623    12.3557
19.3472    16.25      12.384
19.5236    16.3864    12.3204
19.7911    16.5964    12.4589
19.9455    16.8507    12.3577
20.1868    17.064     12.2878
20.4686    17.3266    12.3417
20.674     17.5009    12.331
20.8583    17.6547    12.3129
21.0867    17.9258    12.2944
