TMP        SK 560     Phr3stv









































































































































18.6651    19.5679    9.8283     L-ALV
18.8851    20.0843    9.5452
18.9226    20.243     9.5131
18.9319    20.3719    9.5049
18.9468    20.8385    9.3694
18.9752    21.013     9.4003
19.0149    21.2435    9.3871
19.0098    21.5847    9.2238
19.0369    21.7721    9.144
19.0551    22.0139    9.0876
18.9805    22.2157    8.9232
18.9377    22.4073    8.8602
18.8812    22.5771    8.7318
18.8894    22.7897    8.7518
18.8661    23.0219    8.6446
18.8172    23.1984    8.5233
18.8021    23.4084    8.3927
18.8071    23.5891    8.3339
18.8395    23.7653    8.1987
18.8197    24.1534    8.0525
18.7964    24.2364    8.0281
18.794     24.3778    7.8938
18.7755    24.5565    7.8145
18.7451    24.6803    7.7871
18.7564    24.8104    7.638
