UCB LHES   104        Phq































































































11.1075    5.2534     12.3181    LTEMFOS
11.112     5.2296     12.1697
11.0573    5.1155     11.9964
11.0162    5.0706     11.7758
10.9882    5.0281     11.5952
10.9314    4.983      11.4084
10.8927    4.9515     11.2356
10.8184    4.8748     11.0818
10.7476    4.8006     10.8264
10.7318    4.7953     10.6488
10.6991    4.7401     10.4839
10.6897    4.7385     10.3168
10.705     4.7198     10.1703
10.7147    4.7073     10.0455
10.7663    4.6821     9.8669
10.8355    4.6978     9.7324
10.9317    4.733      9.6128
11.0257    4.7661     9.5288
11.1347    4.7888     9.4514
11.2327    4.9033     9.4641
11.3427    4.9527     9.4573
11.4291    5.0049     9.4896
11.5254    5.1137     9.5547
11.6132    5.2269     9.6271
11.7357    5.3464     9.7131















































































































































































4.9671     4.375      12.5493    OP
6.4505     6.0165     12.6745    BA
9.3852     9.5142     12.2945    ST
12.5943    13.3218    12.8644    IV
3.7862     8.8039     12.171     R_PG
4.3543     10.7791    11.6132    R_ZTI
8.2328     11.3351    13.4398    R_M3D
9.7037     13.4394    13.4893    R_M12
11.6227    15.0911    13.7631    R_MP3
12.5228    15.2738    13.7725    R_PMI
9.5084     3.795      12.3307    L_PG
11.5871    4.6077     11.7489    L_ZTI
11.3954    8.6235     13.5185    L_M3D
13.2918    10.2987    13.3862    L_M12
14.6982    12.4716    13.5062    L_MP3
14.7542    13.4935    13.5459    L_PMI
13.2086    15.9237    13.7938    O1
6.032      9.9094     6.9614     O2
10.8013    3.7856     11.3711    O3
2.279      6.2196     11.0638    O4




















































































































































































7.3032     12.0316    12.135     RZYGINF
7.0936     12.0807    12.0601
6.8939     12.2119    12.0149
6.697      12.2327    11.9724
6.4148     12.1863    11.9876
6.1465     12.0177    12.0094
6.0424     11.8699    12.0294
5.8252     11.6823    12.031
5.6958     11.5726    12.0413
5.5578     11.4736    12.0313
5.4088     11.3552    12.0246
5.1947     11.2458    11.9313
5.0114     11.0483    11.8279
4.8766     11.0132    11.7577
4.6479     10.9476    11.6706
4.5131     10.8408    11.6308
4.277      10.6935    11.5239


























































































































