AMNH-A     99.1/1668  Phq10bjw
0.519      14.287     15.3884
0.599      14.2638    15.0678
0.6533     14.1853    14.6196







































































































































































3.3427     13.9783    12.9131    LORBIT
3.534      13.9953    13.0222
3.7423     14.0295    13.0665
3.9134     14.1133    13.1245
4.1049     14.2039    13.1929
4.2849     14.3033    13.2533
4.402      14.3613    13.3178
4.5001     14.4653    13.4155
4.6138     14.5685    13.5142
4.7383     14.6679    13.6341
4.8509     14.7537    13.7531
4.9531     14.8768    13.9493
5.0175     14.9684    14.169
5.0931     15.0239    14.4027
5.0646     15.075     14.6955
4.935      14.9843    14.9989
4.6837     14.741     15.4631
4.4667     14.5944    15.6386
4.2914     14.4823    15.7442
4.1039     14.382     15.859
3.9404     14.2992    15.9247
3.7314     14.2684    15.8867
3.4289     14.2715    15.8592
3.1647     14.2333    15.8394
2.8249     14.3146    15.7679
2.5955     14.3492    15.7886
2.3807     14.3172    15.8928
2.1583     14.3079    15.935
1.9369     14.2587    15.7821
1.9026     14.3052    15.4677
1.7988     14.2738    15.1823
1.7023     14.234     14.9134
1.6749     14.1949    14.6938
1.6551     14.1067    14.4332






































































































































































9999       9999       9999       RTEMFOS







































































































































































































5.6968     15.8363    14.9944    LTEMFOS
5.7837     15.8405    14.8143
5.8697     15.7958    14.6534
5.9201     15.7433    14.472
5.9647     15.6729    14.3482
5.991      15.6628    14.2136
6.0115     15.6402    14.075
6.05       15.5851    13.9198
6.073      15.5492    13.7981
6.1108     15.4446    13.6946
6.1218     15.4084    13.5917
6.1328     15.3572    13.4271
6.13       15.351     13.2682
6.1156     15.2806    13.1138
6.1294     15.207     13.0291
6.1153     15.1635    12.9132
6.1269     15.1037    12.8372
6.1401     15.0411    12.7193
6.1135     15.0305    12.5673
6.146      14.9257    12.4375
6.1406     14.8342    12.2879
6.1541     14.7476    12.2025
6.137      14.709     12.0643
6.151      14.6221    11.9588
6.1632     14.5906    11.8639
6.1724     14.518     11.7132
6.1793     14.4437    11.6513
6.1917     14.4033    11.5274
6.1866     14.38      11.397
6.2202     14.3283    11.3152
6.2764     14.3024    11.1458
6.2811     14.3446    11.0016
6.3221     14.4027    10.839
6.4306     14.4838    10.698
6.4996     14.6028    10.6875
6.5879     14.7918    10.6253
6.622      14.9021    10.6291
6.7063     15.0797    10.622
6.7646     15.2382    10.6424
6.845      15.4639    10.6965
6.9091     15.7487    10.754































































































































































0.6223     9.0313     10.3683    OP
