AMNH       81811      Phu3mic
10.8026    12.5173    -19.1202
10.6637    12.6579    -19.2387
10.3906    13.1562    -19.3635
10.2284    13.4365    -19.3729
10.0253    13.5508    -19.3339
9.8874     13.7276    -19.2809
9.6873     14.0284    -19.2331
9.4064     14.2337    -19.1447
9.2977     14.4532    -19.0493
9.2266     14.7061    -18.9845
8.9949     15.0055    -18.8687
8.8231     15.2298    -18.6956
8.6145     15.3345    -18.5898
8.49       15.4739    -18.3663
8.359      15.5668    -18.1523
8.2034     15.6437    -17.9435
8.047      15.7479    -17.6016
7.9278     15.778     -17.457
7.842      15.7421    -17.2422
7.817      15.805     -17.0842
7.838      15.8278    -16.9055
7.8446     15.8142    -16.7922
7.756      15.826     -16.6288
7.7435     15.8121    -16.5725



















































































































































11.3879    11.6568    -16.38     RORBIT
11.4313    11.7081    -16.665
11.4854    11.6498    -17.029
11.5422    11.5507    -17.3945
11.6792    11.507     -17.674
11.9246    11.4222    -17.8345
12.0732    11.1934    -17.8659
12.3997    10.9934    -17.8992
12.6949    10.8561    -17.9356
12.8832    10.755     -17.9983
13.176     10.6701    -18.0177
13.4056    10.5602    -18.0776
13.5824    10.4722    -18.0269
13.9186    10.5047    -17.9315
14.2124    10.5125    -17.7785
14.4579    10.5491    -17.5652
14.5352    10.5926    -17.4308
14.7227    10.6317    -17.1341
14.7231    10.717     -16.6984
14.6297    10.728     -16.466
14.4367    10.6993    -16.2235
14.1173    10.6248    -15.9393
13.7581    10.6547    -15.7445
13.4807    10.6888    -15.5893
13.1699    10.753     -15.466
12.9385    10.8304    -15.41














































































































































































10.5199    12.1746    -16.5591   LORBIT
10.5139    12.1692    -16.5627
10.5135    12.2145    -16.745
10.5       12.2741    -16.9321
10.4498    12.3274    -17.2519
10.3665    12.3606    -17.4017
10.2892    12.3589    -17.5853
10.1614    12.3648    -17.767
9.9038     12.2926    -17.9397
9.6568     12.4622    -17.9306
9.3852     12.6637    -17.8272
9.1327     13.0268    -17.8814
8.8861     13.1322    -17.9721
8.6815     13.3309    -17.9995
8.4711     13.3822    -18.0979
8.2077     14.081     -17.8391
8.1553     14.3297    -17.5916
8.2132     14.6036    -17.2344
8.1728     14.7032    -16.9687
8.164      14.6773    -16.6804
8.3172     14.4526    -16.2407
8.3613     14.2401    -16.0436
8.4131     13.9734    -15.864
8.5048     13.687     -15.7064
8.6268     13.4574    -15.5786
8.728      13.2655    -15.5045
8.8626     13.1491    -15.4724
8.9609     13.0716    -15.4212








































































6.9967     15.2302    -14.0361
6.9422     15.2588    -13.866
6.8658     15.3224    -13.5541
6.8808     15.4968    -13.3488
6.9262     15.7816    -13.165
6.9586     15.9848    -13.1077
7.0282     16.2504    -13.107
7.0223     16.4638    -13.1052
7.0149     16.7539    -13.1126
7.0908     16.8193    -13.2055


























































































15.91      10.8533    -16.8816   RTEMFOS
15.9187    10.8266    -16.7878
16.0011    10.8164    -16.5079
16.0811    10.818     -16.2998
16.0943    10.7669    -16.0443
16.0493    10.6537    -15.4532
16.0022    10.5756    -15.1443
15.9188    10.4544    -14.6822
15.8606    10.3487    -14.3946
15.8971    10.2002    -13.8361
15.9097    10.0403    -13.6224
16.0335    10.0609    -13.4099
16.2708    10.175     -13.2541
16.6244    10.4289    -13.1358
16.9416    10.6333    -13.0986
17.0194    10.8801    -13.1134
























































































































































































7.6833     15.7791    -16.5773   LTEMFOS
7.6033     15.7317    -16.4901
7.5818     15.782     -16.238
7.5569     15.6733    -16.1442
7.5228     15.7005    -16.0639
7.4953     15.7255    -15.8372
7.4525     15.6568    -15.6269
7.3997     15.6318    -15.3588
7.3737     15.5755    -15.2443
7.2994     15.472     -14.9057
7.2749     15.4384    -14.5736
7.1073     15.2748    -14.2628
7.0021     15.2572    -13.9632
6.899      15.289     -13.6167
6.845      15.52      -13.31
6.9158     15.9732    -13.1128
7.0118     16.251     -13.0981
7.1191     16.5497    -13.1318
7.1282     16.778     -13.18
7.2204     17.1049    -13.2793




















































































































































































7.1671     5.5324     -14.4047   OP
8.4793     7.7074     -14.7537   BA
11.8211    12.8223    -14.4405   ST
16.3781    19.6887    -15.6573   IV
12.7535    5.6221     -14.5704   R_PG
15.387     7.0488     -13.3987   R_ZTI
15.063     12.8745    -16.0826   R_M3D
16.789     15.2785    -16.4607   R_M12
18.1121    17.673     -16.5807   R_MP3
18.9212    19.1695    -16.604    R_PMI
4.9554     10.5485    -14.8929   L_PG
4.8891     13.717     -13.6392   L_ZTI
10.6748    15.6616    -16.3172   L_M3D
12.1829    18.1741    -16.5586   L_M12
14.0441    20.3946    -16.7684   L_MP3
15.2115    21.6716    -16.575    L_PMI
19.1355    22.0166    -16.607    O1
16.6488    10.2731    -12.0485   O2
7.5201     12.8074    -7.2421    O3
7.2002     2.7556     -12.0467   O4




















































































































































































16.1161    11.5796    -13.3797   RZYGINF
16.0897    11.4332    -13.277
16.1134    11.2195    -13.1103
16.1792    10.8392    -12.9254
16.1868    10.646     -12.9158
16.1973    10.378     -12.9782
16.1736    9.9403     -13.1069
16.075     9.6165     -13.2184
15.8782    9.0632     -13.3864
15.7854    8.7465     -13.4866
15.6339    8.3305     -13.5283
15.5929    8.2184     -13.5689
15.6107    8.0188     -13.5414
15.6301    7.8042     -13.5942
15.6598    7.5753     -13.5965
15.7169    7.3868     -13.518
























































































































































































8.8548     16.0922    -13.6553   LZYGINF
8.7187     16.0616    -13.5409
8.5792     16.0421    -13.419
8.2882     15.8751    -13.2947
7.8021     15.7225    -13.3646
7.4424     15.4001    -13.5169
6.6148     14.8424    -13.8572
6.9725     15.14      -13.7367
6.8226     14.9551    -13.8169
6.522      14.7595    -13.8708
6.2418     14.5468    -13.9429
5.8879     14.4886    -13.9144
5.6572     14.3153    -13.8645
5.7336     14.3478    -13.9447
5.5658     14.1915    -13.9113
5.38       14.0915    -13.8722
5.1877     13.9055    -13.8147
5.0411     13.7762    -13.7368
4.9649     13.6596    -13.6855





















































































































































































15.0726    12.8618    -16.1326   R-ALV
15.2445    12.9254    -16.0945
15.5127    13.1012    -16.1325
15.5845    13.1967    -16.1219
15.724     13.2598    -16.1113
15.9067    13.3946    -16.0952
16.0175    13.5496    -16.131
16.1152    13.8057    -16.1454
16.3559    14.0779    -16.1658
16.458     14.2707    -16.2466
16.6287    14.5171    -16.3004
16.7797    14.7228    -16.3589
16.8989    15.0293    -16.3537
16.9027    15.2753    -16.3966
17.0379    15.5241    -16.4335
16.9826    15.4517    -16.4251
17.0984    15.6824    -16.438
17.1906    15.8111    -16.5016
17.3517    16.1641    -16.4287
17.3117    16.2568    -16.5061
17.4818    16.5868    -16.5661
17.665     16.7196    -16.5297
17.7819    16.9363    -16.5573
17.8566    17.1201    -16.6246
17.9792    17.2501    -16.5842
18.0587    17.4774    -16.5642
18.0679    17.5243    -16.5635
18.2068    17.6963    -16.5255












































































































































































10.7087    15.4238    -16.2721   L-ALV
10.662     15.7449    -16.2713
10.643     15.9802    -16.2598
10.6883    16.3208    -16.2367
10.7436    16.5056    -16.2505
10.9889    16.9       -16.3088
11.1523    17.0243    -16.3554
11.3653    17.3096    -16.3866
11.5424    17.5686    -16.415
11.6796    17.7531    -16.4931
11.874     18.0164    -16.5308
12.08      18.1663    -16.5165
12.2368    18.237     -16.5367
12.4393    18.4837    -16.5851
12.6081    18.6678    -16.6256
12.7599    18.9203    -16.6071
13.2012    19.1815    -16.6865
13.2879    19.3722    -16.6699
13.3872    19.5576    -16.6709
13.5522    19.8341    -16.7455
13.7687    20.0088    -16.8133
13.9377    20.3222    -16.6792
14.1684    20.4508    -16.8021
