UCMVZ      81571      Phu48stv
12.6455    12.2346    18.0427
12.7786    12.1661    18.0638
12.8925    12.0451    18.1022
13.003     11.9395    18.1287
13.1055    11.8846    18.1366
13.2007    11.7602    18.1502
13.2678    11.5356    18.1374
13.2782    11.4119    18.1221
13.328     11.3104    18.0879
13.3176    11.1517    18.0731
13.3017    11.0172    18.0353
13.3014    10.8631    18.0187
13.254     10.7905    17.9842
13.215     10.6473    17.9456
13.1606    10.5615    17.8997
13.0829    10.4178    17.8387
13.0506    10.2863    17.803
13.0866    10.1394    17.8039
13.2323    10.1114    17.8477
13.3568    10.1089    17.8709
13.4695    10.1146    17.9158
13.6274    10.0995    17.9459
13.7493    10.0987    17.9724
13.8239    10.0644    18.0036
13.9511    10.041     18.0268
14.1321    10.0144    18.0443
14.3533    9.961      18.0468
14.5524    9.97       18.0247
14.667     9.8404     18.0262
14.7338    9.6838     18.0087
14.8618    9.492      17.9676
14.9058    9.3838     17.939
14.9756    9.2174     17.9063
15.1472    9.062      17.7842
15.3166    8.8384     17.6422
15.3093    8.6734     17.5827
15.4029    8.5453     17.473
15.4941    8.4218     17.395
15.5927    8.3728     17.33
15.7263    8.3144     17.258
15.8459    8.2746     17.1783
15.9774    8.2698     17.0977
16.0967    8.2257     17.0177
16.2105    8.1524     16.8872
16.2937    8.0981     16.7628
16.3644    8.0879     16.6795
16.4496    8.0451     16.5485
16.5014    7.9986     16.411
16.5656    8.012      16.3233
16.6211    7.9663     16.1447
16.6822    7.9424     15.9661
16.7045    7.9437     15.871
16.7289    7.9146     15.7046
16.714     7.9003     15.5843
16.7183    7.8607     15.4393





























































































































11.4891    11.8705    14.5124    RORBIT
11.3904    11.9629    14.5165
11.3597    12.1542    14.569
11.3126    12.1855    14.6002
11.284     12.299     14.6397
11.2333    12.5411    14.7457
11.2247    12.7129    14.8142
11.2183    12.8662    14.8945
11.2336    12.9933    14.9735
11.2649    13.0887    15.0436
11.2771    13.2203    15.1605
11.3124    13.3242    15.2785
11.3097    13.4456    15.4302
11.3398    13.4924    15.5554
11.3529    13.5508    15.6601
11.3561    13.5872    15.7757
11.3255    13.6367    15.9175
11.3298    13.5978    16.0744
11.3138    13.5306    16.2657
11.3125    13.4143    16.4756
11.3117    13.2605    16.6157
11.3133    13.0925    16.745
11.292     12.8981    16.8485
11.2475    12.6672    16.9491
11.2534    12.4202    17.0247
11.2571    12.1985    17.1152
11.3001    12.0829    17.0426
11.4202    11.8641    16.9795
11.549     11.7631    16.9255
11.6511    11.6272    16.9308
11.7377    11.4667    17.0586
11.939     11.3075    17.0229
12.0965    11.1275    16.9487
12.2485    10.9979    16.9682
12.2853    10.8459    16.9846
12.3699    10.7653    16.8547
12.424     10.655     16.6235
12.4339    10.5286    16.4092
12.4759    10.4988    16.1318
12.4872    10.4414    15.946
12.4764    10.4285    15.739
12.4474    10.3814    15.6349
12.4187    10.3896    15.5183
12.3749    10.2934    15.3822
12.2948    10.3251    15.2475



























































































































































13.825     8.6997     14.4018    LORBIT
13.9553    8.5177     14.4166
14.1032    8.4215     14.4381
14.282     8.2903     14.4732
14.4447    8.1579     14.5316
14.584     8.0959     14.5705
14.7427    8.0569     14.6418
14.9276    7.9439     14.7122
15.101     7.9318     14.8291
15.2197    7.8314     14.9155
15.41      7.852      15.0946
15.5087    7.8412     15.2242
15.5555    7.8487     15.4211
15.6181    7.836      15.6286
15.5886    7.8083     15.8303
15.5364    7.8003     16.0174
15.4218    7.7385     16.2387
15.238     7.8116     16.3631
15.1395    7.8356     16.453
14.97      7.8552     16.5729
14.8669    7.8563     16.67
14.7572    7.9056     16.7246
14.6422    7.9882     16.762
14.5066    8.0857     16.7469
14.3513    8.1467     16.781
14.2393    8.2979     16.7402
14.1128    8.4457     16.7224
13.994     8.657      16.699
13.7629    8.8856     16.9041
13.6952    9.0333     16.9453
13.6039    9.1798     16.8987
13.4916    9.4291     16.9532
13.3464    9.6096     16.8486
13.1938    9.6642     16.6869
13.1309    9.7181     16.5261
13.1075    9.7478     16.4114
13.0646    9.7728     16.2302
13.0338    9.8402     16.1134
13.006     9.8859     15.9216
12.9936    9.8914     15.7488
12.947     9.879      15.5618
12.8895    9.8202     15.404
12.8391    9.7399     15.2469
12.8312    9.6649     15.0983




























































































































































11.6115    14.5914    15.7081    RTEMFOS
11.4809    14.5805    15.5058
11.3816    14.5535    15.2822
11.3218    14.5224    15.0583
11.2781    14.4812    14.9571
11.1845    14.4321    14.8053
11.0873    14.3657    14.5967
11.0383    14.3235    14.3984
11.0026    14.2891    14.2127
10.897     14.2398    14.0267
10.8831    14.1847    13.8025
10.7712    14.1359    13.7229
10.7389    14.1156    13.4972
10.6388    14.0697    13.3727
10.5862    13.9906    13.1092
10.4378    14.0082    13.016
10.4533    13.9764    12.7967
10.3794    14.0599    12.7607
10.3167    14.0557    12.6224
10.2417    14.1204    12.4674
10.1834    14.2247    12.3162
10.181     14.4433    12.1613
10.2543    14.5874    12.0831
10.3089    14.7362    12.0244
10.3591    14.8068    12.0193
10.4527    15.0065    12.0123
10.5756    15.3486    12.0096
10.6563    15.4418    12.0199
10.7806    15.5719    12.0416
10.9522    15.7192    12.137










































































































































































16.7287    7.9072     15.518     LTEMFOS
16.6451    7.7463     15.27
16.5939    7.6817     15.0902
16.5635    7.6256     14.9286
16.4703    7.5601     14.7391
16.4201    7.535      14.5684
16.3729    7.5005     14.4118
16.2552    7.4504     14.1138
