MNHN       1962.1468  Tg29stv

























































































0.4345     4.8954     12.0039    OP
0.4469     7.0256     11.9082    BA
0.6002     11.5349    10.8203    ST
0.6713     16.4353    10.618     IV
-3.5019    7.0315     11.5854    R_PG
-4.9743    8.9389     10.4146    R_ZTI
-1.2867    11.9998    11.9945    R_M3D
-1.6651    14.6353    11.8589    R_M12
-1.3122    17.0032    11.3408    R_MP3
-0.6193    18.2409    10.8405    R_PMI
4.4487     6.9362     11.7285    L_PG
5.9029     8.776      10.5232    L_ZTI
2.4559     11.8888    12.03      L_M3D
2.8385     14.6146    11.8989    L_M12
2.7625     16.9672    11.3591    L_MP3
1.9241     18.2216    10.5502    L_PMI
0.3947     19.589     10.5982    O1
3.5384     9.6964     5.2303     O2
-4.9839    8.3193     9.6383     O3
2.0659     2.7282     9.7664     O4




















































































































































































-3.2151    12.528     9.789      RZYGINF
-3.3455    12.399     9.7185
-3.5004    12.2395    9.6436
-3.7193    12.0785    9.5947
-3.8757    11.9453    9.6437
-4.0469    11.8059    9.7007
-4.1855    11.6439    9.7915
-4.2978    11.5267    9.8391
-4.4338    11.3906    9.9002
-4.5458    11.2325    9.9673
-4.6341    11.0057    9.9784
-4.688     10.8938    10.0186
-4.7546    10.6975    10.0747
-4.764     10.4888    10.0793
-4.778     10.2853    10.0952
-4.7752    10.0917    10.1104
-4.784     9.9417     10.152
-4.802     9.7639     10.1824
-4.8244    9.6199     10.2358
-4.8664    9.4348     10.2892
-4.8392    9.261      10.3454
-4.8597    9.1687     10.3912
-4.8917    9.0865     10.4084
-4.9161    9.0161     10.4246
-4.933     8.8968     10.4359
-4.9359    8.8698     10.4352














































































































































































4.5722     12.394     9.8305     LZYGINF
4.6954     12.2502    9.7513
4.8994     12.1024    9.6834
5.1077     11.9143    9.7206
5.2161     11.8238    9.7563
5.3217     11.6099    9.8604
5.4562     11.4636    9.9275
5.5335     11.353     9.9631
5.6092     11.1625    10.0556
5.6653     10.9747    10.1279
5.7507     10.7425    10.1716
5.8543     10.3438    10.1666
5.8487     10.1637    10.1774
5.7984     9.9718     10.202
5.8647     9.8472     10.2053
5.8344     9.5645     10.2676
5.9498     9.3471     10.3018
5.9878     9.1423     10.3673
5.9907     8.9585     10.4439
5.9685     8.8328     10.4775
5.9384     8.7226     10.5083






















