BPI        M3079      Ppa2stv











5.9309     20.6779    7.4235     L-ALV
5.7799     20.5719    7.3828
5.6096     20.3977    7.3289
5.4249     20.1568    7.2409
5.2994     19.8234    7.0784
5.1855     19.4751    6.9453
5.1201     19.2875    6.7885
5.0532     19.0637    6.7032
5.0304     18.7807    6.491
5.0346     18.542     6.3115
5.0243     18.4112    6.2009
5.0972     18.0938    5.6825
5.1559     17.8892    5.5813
5.0929     17.6005    5.396
5.0986     17.2022    5.0219
5.1428     17.1371    4.8932
