UWMA       MP223      Ppw2stv
13.6865    26.2595    10.1871    L_MP3
13.096     27.299     10.1392    L_PMI
12.4949    28.74      9.3124     O1
9.4691     19.0127    2.484      O2
17.0763    16.4145    6.8649     O3
12.1152    11.3358    6.4017     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































15.3875    21.4835    8.1967     LZYGINF
15.4972    21.4151    8.1409
15.6457    21.3799    8.1044
15.7933    21.2951    8.0974
15.9702    21.1978    8.1606
16.0515    21.1111    8.214
16.1574    20.9248    8.281
16.1491    20.7341    8.3382
16.222     20.5369    8.3728
16.2413    20.3758    8.4117
16.2718    20.2103    8.3997
16.3089    20.0537    8.4209
16.3766    19.8499    8.4213
16.4382    19.7257    8.4157
16.4501    19.5744    8.4042
16.5687    19.3422    8.4266
16.6396    19.1541    8.3644
16.7874    19.0243    8.2684
16.9383    18.8727    8.1307
17.1001    18.662     8.1004
17.1143    18.4975    8.0134
17.1868    18.337     7.8956
17.2638    18.1221    7.792
17.3291    17.901     7.6782
17.272     17.764     7.526















































































































































































8.9773     21.8269    9.3393     R-ALV
8.7343     22.16      9.3238
8.6563     22.4047    9.4113
8.6414     22.6606    9.4648
