TMP        AZ784      Phu111sf
18.8937    11.4332    14.3046
19.0776    11.5643    14.3513
19.2123    11.7443    14.4249
19.3961    11.9394    14.5619
19.503     12.1338    14.7278
19.5249    12.2772    14.9055
19.6721    12.3779    15.2931
19.5735    12.3927    15.5556
19.4938    12.3461    15.7785
19.303     12.2894    16.0544
18.9903    12.2403    16.2667
18.7436    12.0603    16.4287
18.5122    11.9296    16.5541
18.1462    11.8172    16.6417
17.7212    11.876     16.5134
17.2581    11.923     16.6558
16.9587    12.0425    16.6622
16.6727    12.075     16.68
16.4984    12.065     16.5535
16.3636    11.937     16.4093
16.2761    11.7285    16.0744
16.2279    11.664     15.7545
16.2001    11.6111    15.675
16.2005    11.5715    15.595
16.249     11.4721    15.3587












































































































































































11.348     13.0528    14.2057    RTEMFOS
11.2916    12.9605    14.0154
11.2646    12.8767    13.8582
11.2311    12.8007    13.7199
11.2188    12.7434    13.595
11.195     12.6387    13.4489
11.1868    12.5229    13.32
11.1869    12.36      13.1053
11.1752    12.2844    12.9865
11.1806    12.1432    12.7454
11.1545    12.0058    12.62
11.1668    11.8845    12.4263
11.134     11.6703    12.2518
11.125     11.5863    12.0982
11.1147    11.4447    11.9887
11.1052    11.3399    11.8446
11.047     11.2005    11.6585
11.0068    11.2079    11.4967
10.8767    11.3213    11.3088
10.8244    11.5323    11.2257
10.746     11.7645    11.1474
10.6667    11.9923    11.1296


















































































































































































20.3152    13.0075    14.6882    LTEMFOS
20.4214    12.8749    14.4828
20.4531    12.7612    14.2877
20.4626    12.6165    14.0473
20.4086    12.433     13.8134
20.5953    12.3498    13.7277
20.6475    12.1609    13.5241
20.6767    12.0429    13.3411
20.7061    11.9236    13.2362
20.7497    11.7439    13.0564
20.7831    11.6217    12.8886
20.8154    11.5278    12.7774
20.7893    11.3876    12.5374
20.8406    11.2924    12.361
20.9286    11.1785    12.2151
20.979     11.1704    12.0978
21.124     11.2043    11.9734
21.2887    11.3824    11.8282
21.3684    11.5847    11.7797
21.3603    11.804     11.7406
21.4078    12.0298    11.7348



















































































































































































16.6575    6.6843     14.1919    OP
16.4143    9.1351     13.6601    BA
16.2983    14.6588    12.5176    ST
16.0887    22.9433    12.5027    IV
12.094     9.2727     13.3895    R_PG
10.5496    11.5951    12.1177    R_ZTI
13.6394    16.9916    14.0211    R_M3D
13.5023    19.6928    13.8846    R_M12
13.6722    22.3617    13.6817    R_MP3
14.2581    24.1993    13.2915    R_PMI
20.8227    9.6853     13.1957    L_PG
22.1995    12.0529    11.8645    L_ZTI
18.7112    17.1802    14.1613    L_M3D
18.7864    19.9439    13.8595    L_M12
18.3566    22.7077    13.6719    L_MP3
17.905     24.2704    13.2644    L_PMI
15.1081    26.415     13.186     O1
19.8281    11.3151    5.9929     O2
10.347     11.4967    11.2066    O3
17.5192    3.4089     12.1334    O4




















































































































































































12.2628    15.3507    11.4156    RZYGINF
12.1224    15.1303    11.2446
12.0311    15.007     11.1294
11.9192    14.8108    11.0627
11.7712    14.5737    11.0466
11.5966    14.4365    11.0375
11.4792    14.2515    11.1461
