TMP        AZ 1006    Phu126sf
11.9739    15.4222    11.1017
12.1145    15.6481    11.0853
12.1732    15.8975    10.9777
12.1413    16.2235    10.9053
12.1153    16.4897    10.8395
12.103     16.7519    10.8081
12.0967    16.8821    10.7567
12.1089    16.9672    10.7441





















































































































































































16.5462    12.434     12.1228    L-ALV
16.6374    12.6468    12.1301
16.7445    12.8322    12.0758
16.8148    13.1346    12.0357
16.834     13.4596    11.9511
16.8104    13.8178    11.8683
16.7633    14.1756    11.8318
16.7253    14.4422    11.7241
16.6815    14.6922    11.6473
16.5109    14.9928    11.7455
16.4998    15.2133    11.6172
16.4502    15.4326    11.5674
16.3594    15.7568    11.4364
16.3278    15.8905    11.3635
16.2719    16.0268    11.3341
16.2059    16.2426    11.2806
16.1509    16.4194    11.2622
16.1165    16.6126    11.2023
16.1088    16.7805    11.1676
16.0806    16.9333    11.1606
16.0642    17.1046    11.1014
16.0366    17.2331    11.1083
16.0189    17.3606    11.0846
15.9765    17.4477    11.1214
15.9094    17.5323    11.137
