NMNH       381435     Php10stv
19.4246    16.8359    12.4224    L_PMI
20.1656    17.6955    12.6781    O1
10.2131    13.2742    6.0266     O2
15.3781    7.1206     10.2803    O3
9.286      4.9675     10.085     O4




















































































































































































11.159     15.8938    10.7861    RZYGINF
10.9553    15.9056    10.7373
10.8511    15.8861    10.7271
10.6631    15.9082    10.735
10.3482    15.8541    10.7705
10.0364    15.793     10.8109
9.8263     15.7041    10.8334
9.6283     15.5007    10.8962
9.4315     15.3579    10.8907
9.2155     15.1711    10.8848
9.0556     15.0699    10.8716
8.8469     14.9322    10.8617
8.6999     14.8322    10.8238
8.4483     14.847     10.7525
8.2642     14.7762    10.6813
8.1369     14.7571    10.6212
8.0394     14.7293    10.5697
7.9835     14.5996    10.5072






















































































































































































16.6195    10.643     11.1382    LZYGINF
16.6578    10.4302    11.0805
16.6653    10.2363    11.0562
16.6694    10.0627    11.0618
16.6191    9.8042     11.0909
16.5239    9.6274     11.1169
16.4734    9.3733     11.1413
16.3541    9.2019     11.1922
16.2666    9.106      11.1918
16.1078    8.9144     11.1919
16.0594    8.7613     11.1733
15.9507    8.6234     11.1549
15.904     8.4431     11.1201
15.8699    8.3125     11.0813
15.8004    8.1305     11.0473
15.8317    7.9447     10.981
15.7868    7.8307     10.9285
15.718     7.7322     10.879
15.5954    7.6419     10.8592
15.5447    7.5724     10.8166




















































































































































































12.4413    15.1306    12.6673    R-ALV
12.501     15.3512    12.5899
12.631     15.5742    12.5639
12.7184    15.7014    12.6024
12.8574    15.887     12.6125
13.0223    16.0476    12.5829
13.1728    16.1944    12.6009
13.3652    16.4524    12.6052
13.5364    16.5943    12.5827
13.6947    16.8106    12.6597
13.992     16.935     12.6593
14.1403    17.1008    12.6614
14.3333    17.2192    12.5747
14.4612    17.3716    12.5945
14.6565    17.5439    12.5909
14.9119    17.7028    12.6629
15.0184    17.7913    12.7087
15.14      17.9046    12.7335
15.3481    18.079     12.7547
15.5582    18.1987    12.849
15.6652    18.3317    12.7709
15.7531    18.3982    12.7572
15.8591    18.5054    12.7829





























