BM(NH)     ZD.50a     Phh16a
-2.2164    16.343     12.4292    R_PMI
3.5509     4.775      11.1978    L_PG
5.1104     6.6277     10.4445    L_ZTI
1.6269     10.0337    12.1996    L_M3D
1.9451     12.5298    12.4718    L_M12
1.6613     15.1021    12.6405    L_MP3
1.0008     16.3464    12.442     L_PMI
0.6489     17.6162    12.2463    O1
2.6021     7.5957     5.1687     O2
-5.9811    6.0485     9.596      O3
0.3138     -0.7183    9.5021     O4




















































































































































































-4.0273    9.9426     10.5536    RZYGINF
-4.1538    9.8707     10.4426
-4.2849    9.7704     10.346
-4.4683    9.642      10.257
-4.7294    9.4727     10.2222
-5.0068    9.2938     10.2876
-5.2529    9.1588     10.4032
-5.3778    9.0211     10.4689
-5.4459    8.7751     10.5593
-5.4631    8.5582     10.5893
-5.4924    8.3228     10.6425
-5.5148    8.0379     10.6842
-5.3773    7.8148     10.6803
-5.4123    7.5464     10.5769
-5.4011    7.1609     10.5082
-5.499     6.9434     10.4738
-5.6047    6.8141     10.4312
-5.7044    6.6619     10.3622
-5.6744    6.4606     10.3429
-5.7127    6.3626     10.3052




















































































































































































3.1606     10.0982    10.6634    LZYGINF
3.327      9.9862     10.5416
3.5026     9.92       10.4331
3.8586     9.6891     10.3425
4.1083     9.5648     10.3766
4.3189     9.4587     10.4494
4.3668     9.3522     10.4963
4.5738     9.088      10.6341
4.686      8.8755     10.6957
4.7278     8.7269     10.7057
4.7776     8.5663     10.7394
4.8292     8.3467     10.7629
4.877      8.1279     10.7497
4.8039     7.897      10.7221
4.7397     7.5887     10.6742
4.7634     7.3667     10.6166
4.8843     7.1274     10.5706
5.0207     6.868      10.5284
5.0978     6.8334     10.492
5.1604     6.6811     10.4398




















































































































































































-2.5731    10.0288    12.0985    R-ALV
-2.7308    10.2288    12.1294
-2.8404    10.4279    12.1856
-2.9336    10.7384    12.2283
-2.9519    11.0296    12.2372
-2.9979    11.4173    12.2813
-2.9954    11.6509    12.3152
-3.0448    12.0133    12.3732
-3.0225    12.2616    12.3887
-3.0022    12.4955    12.4286
-2.9552    12.8126    12.4443
-2.947     13.0352    12.4828
-2.9334    13.3469    12.5199
-2.849     13.6289    12.5445
-2.8539    13.9007    12.6108
-2.7914    14.4442    12.7211
-2.7842    14.6032    12.7206
-2.7691    14.7986    12.712
-2.7224    14.9677    12.7002





















































































































































































1.7085     10.2033    12.1717    L-ALV
1.8802     10.4317    12.1935
1.9664     10.7281    12.2464
2.0452     11.0717    12.2268
1.9754     11.2853    12.3843
2.045      11.5894    12.324
2.0395     11.8546    12.3791
2.0486     12.0845    12.4232
2.0186     12.404     12.4427
2.0018     12.6886    12.3947
1.9766     12.9865    12.3864
1.9497     13.217     12.451
1.9638     13.5262    12.4877
1.8868     13.5996    12.4888
1.7889     13.822     12.5166
1.8186     14.0869    12.5104
1.8089     14.3353    12.5275
1.7534     14.5636    12.6193
1.7127     14.7477    12.6465
1.714      14.9388    12.6278
1.6797     15.1018    12.6137
1.6097     15.17      12.6798
