AMNH       103367     scc12cs.xls
























































































9.8842     11.3575    -7.7156    L-ALV
10.0683    11.6085    -7.6713
10.2737    11.8611    -7.5686
10.4481    12.0629    -7.4581
10.7162    12.3172    -7.3889
11.0046    12.5414    -7.2817
11.2562    12.6498    -7.2248
11.53      12.8203    -7.1083
11.6759    12.8962    -7.092
11.8477    12.981     -7.0691
12.0487    13.1082    -6.9756
12.1431    13.061     -7.0039
