TMP        CO 101     Phg4stv
10.003     10.7274    7.6827
9.9481     10.869     7.783
9.8463     11.0673    7.8502
9.8514     11.2442    7.897
9.8866     11.3943    8.0118
9.9237     11.5434    8.1084
9.8636     11.7275    8.1563
9.8811     11.8751    8.2033
9.8356     12.0353    8.2484
9.8701     12.2035    8.3053
9.9018     12.2787    8.3257






















































































































































































15.6201    10.5212    8.4493     R-ALV
15.8716    10.1018    8.264
16.004     9.8383     8.1535
16.1164    9.608      7.9628
16.1265    9.2292     7.8467
16.1315    9.0001     7.6388
16.0266    8.7147     7.5616
15.8864    8.3829     7.3243
15.8352    8.1351     7.2237
15.7719    7.8727     7.1523
15.7061    7.6433     6.9886
15.6459    7.4179     6.8512
15.5792    7.2281     6.6969
15.5179    6.9769     6.4527
15.4255    6.7502     6.3947
15.3528    6.6035     6.2377
























































































































































































12.2332    10.8462    8.147      L-ALV
11.8721    10.4197    7.953
11.6253    9.9453     7.988
11.5483    9.6352     7.8447
11.5355    9.4045     7.7481
11.6495    9.0822     7.6226
11.6757    8.8819     7.5507
11.7302    8.6379     7.4877
11.7428    8.4446     7.437
11.7361    8.194      7.3385
11.816     8.01       7.253
11.8507    7.8404     7.1172
11.8516    7.6163     7.0339
11.8869    7.4768     6.9409
11.8676    7.2906     6.8502
11.8708    7.1905     6.7476
11.9077    7.1026     6.6833
11.9434    6.9094     6.5347
11.9184    6.8073     6.48
