AMNH       169432     Phu1pwl
-0.2092    12.8806    15.5969
-0.2529    12.8539    15.3558
-0.226     12.8142    15.1339
-0.1633    12.8177    14.9252
















































































































































































-5.2296    14.8597    14.3161    RTEMFOS
-5.2889    14.6329    14.1058
-5.2892    14.461     13.8357
-5.2982    14.2921    13.5632
-5.3219    14.1206    13.3193
-5.2871    13.9445    12.9037
-5.3202    13.7906    12.6525
-5.3177    13.6958    12.291
-5.3983    13.5545    11.9792
-5.487     13.3816    11.5154
-5.5921    13.4611    11.1284
-5.7948    13.6174    10.8016
-5.8636    13.8034    10.7434
-5.9623    14.0628    10.6689
-5.9364    14.3434    10.658
-5.9833    14.6411    10.6685
-5.9397    14.9414    10.7307
-5.9522    14.9936    10.7841






















































































































































































4.1932     14.1594    15.0055    LTEMFOS
4.2231     14.1009    14.8067
4.2291     13.9824    14.7099
4.2322     13.8968    14.5546
4.3022     13.7025    14.4196
4.2967     13.6643    14.1397
4.3275     13.5403    14.0144
4.3153     13.4328    13.8294
4.3207     13.3434    13.6638
4.351      13.2254    13.4625
4.3076     13.1458    13.2527
4.2902     12.9808    12.9517
4.3024     12.8405    12.6487
4.3452     12.6509    12.4313
4.3995     12.6465    12.2206
4.5064     12.5804    11.9227
4.615      12.6099    11.6492
4.7562     12.7639    11.395
4.9612     12.9344    11.3451
5.0709     13.1984    11.3498
5.1042     13.4426    11.3994
5.1725     13.6876    11.4245


















































































































































































-1.3197    5.9552     12.9927    OP
-1.2875    8.0839     13.1196    BA
-0.5331    14.4817    12.0787    ST
-0.031     21.0088    12.3276    IV
9999       9999       9999       R_PG
-6.5434    11.3494    10.53      R_ZTI
-3.2231    15.4296    13.2094    R_M3D
-3.2444    18.2038    13.1663    R_M12
-2.7005    20.8259    13.047     R_MP3
-1.6646    22.5875    12.8118    R_PMI
3.1583     7.855      13.1059    L_PG
5.124      10.4848    11.9114    L_ZTI
1.958      15.0722    14.0489    L_M3D
2.4739     17.7448    13.7876    L_M12
2.4292     20.4843    13.4854    L_MP3
1.6847     22.2919    13.0811    L_PMI
-0.1644    24.612     13.1675    O1
3.6432     10.5446    6.2218     O2
