NMNH       257998     Pyg1stv
-2.3718    9.1649     7.069
-2.4005    9.4576     7.1209
-2.3899    9.7046     7.1864
-2.4012    9.9169     7.1974
-2.4006    10.1354    7.1703
-2.3295    10.3368    7.1824
-2.2987    10.5846    7.1071
-2.1932    10.7027    7.1585
-2.1407    10.89      7.0898
-2.0535    11.0769    7.0468



























































































































































































0.741      8.4794     6.8549     L-ALV
0.8865     8.725      6.879
0.9963     8.9532     6.9997
1.0393     9.1362     7.0129
1.0785     9.347      7.1022
1.1006     9.5246     7.1257
1.0951     9.8129     7.1619
1.0804     10.2363    7.1445
0.9776     10.4518    7.0994
0.9193     10.6491    7.1469
0.8267     10.8777    7.1401
0.7726     11.0615    7.0893
0.6455     11.307     6.9686
