BPI        M3073      Tod28stv




















































































14.7238    16.8335    8.5668     LZYGINF
14.9367    16.7765    8.5029
15.1143    16.6462    8.4818
15.2822    16.4977    8.482
15.4726    16.315     8.5132
15.6733    16.0564    8.5407
15.6449    15.8152    8.5911
15.6912    15.5213    8.5843
15.7275    15.3021    8.568
15.7695    15.0493    8.6039
15.7641    14.8476    8.6217
15.8306    14.6284    8.6021
15.8545    14.405     8.6617
15.9073    14.1156    8.6841
15.9817    13.9939    8.6681
16.0133    13.7589    8.7454
16.0579    13.5119    8.7186
16.1099    13.2525    8.7255
16.1037    13.0299    8.5923





















































































































































































8.8465     17.1347    9.2196     R-ALV
8.6712     17.5549    9.1585
8.6553     17.9645    9.1925
8.6832     18.3005    9.2929
8.6579     18.5363    9.3947
8.7056     18.8729    9.3687
8.7204     19.1343    9.3923
8.7631     19.4231    9.4011
8.7855     19.65      9.4209
8.8305     19.8789    9.3677
9.1084     20.2119    9.2581
9.2232     20.494     9.287
9.3558     20.7465    9.2681
9.4607     21.022     9.2076
9.4692     21.3702    9.1342
9.5748     21.5252    9.0448
























































































































































































13.3919    16.7124    9.7126     L-ALV
13.5863    16.9661    9.6664
13.7084    17.181     9.5305
13.751     17.4232    9.5296
13.7212    17.6724    9.5395
13.7568    17.794     9.5506
13.8428    17.9878    9.514
13.7755    18.2316    9.5787
13.7877    18.4563    9.4908
13.774     18.6571    9.5559
13.7585    18.9295    9.6598
13.7167    19.2363    9.5538
13.7066    19.4827    9.5227
13.5768    19.7236    9.3384
13.4693    19.9123    9.3002
13.4025    20.3625    9.2847
13.3401    20.5271    9.2538
13.2816    20.8706    9.2417
13.2299    21.0525    9.2008
