UWMA       GV4040     Phg1stv
9999       9999       9999       BA
9999       9999       9999       ST
23.0029    -8.0737    7.3717     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
9999       9999       9999       R_M3D
9999       9999       9999       R_M12
22.6593    -9.6387    8.627      R_MP3
21.906     -9.7013    8.1782     R_PMI
9999       9999       9999       L_PG
26.3874    -1.6789    5.7721     L_ZTI
25.0691    -4.3362    7.2911     L_M3D
23.041     -5.3232    6.9145     L_M12
21.6866    -6.8895    6.5522     L_MP3
21.3305    -7.649     6.6964     L_PMI
21.1468    -8.8496    6.3839     O1
30.0716    -9.0422    6.4462     O2
26.7043    -1.6191    5.3818     O3
33.632     -2.3996    6.1381     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































24.7488    -4.0295    6.0817     LZYGINF
24.7206    -3.8799    5.9478
24.6787    -3.6924    5.8592
24.6213    -3.5511    5.8776
24.623     -3.347     5.8667
24.7046    -3.2204    5.8475
24.7701    -3.1417    5.8255
24.895     -2.9033    5.8919
25.0898    -2.7537    5.9425
25.2355    -2.6225    5.9722
25.3592    -2.525     5.9705
25.5642    -2.3703    5.9955
25.6955    -2.2022    5.9818
25.8052    -2.1092    5.9381
25.9232    -2.0117    5.8854
26.1082    -1.8894    5.8824
26.2128    -1.7649    5.8374
26.316     -1.6841    5.7551
26.4013    -1.6788    5.7072





















































































































































































9999       9999       9999       R-ALV







































































































































































































24.8784    -4.198     7.5188     L-ALV
24.574     -4.2228    7.4364
24.3228    -4.2338    7.4055
24.0828    -4.3269    7.2676
23.7972    -4.5261    7.2135
23.6452    -4.6988    7.1681
23.4764    -4.8074    7.0454
23.3875    -4.9085    6.9899
23.1203    -5.1719    6.9938
22.9293    -5.2621    7.0769
22.769     -5.4779    7.0402
22.5654    -5.6295    6.9256
22.4384    -5.9677    6.8031
22.3142    -6.0992    6.7467
22.1892    -6.2037    6.7498
22.034     -6.3602    6.6584
21.9444    -6.4596    6.6737
21.8421    -6.6582    6.5979
21.7648    -6.7645    6.5526
21.6804    -6.9002    6.5903
