NMNH       354990     Tg10stv
16.5579    13.4625    13.6227
16.7738    13.603     13.5951
16.9293    13.8059    13.6541
17.1417    14.0385    13.6729
17.3224    14.1863    13.6283
17.5686    14.3908    13.5623
17.6826    14.5842    13.5634
17.7791    14.7285    13.5599
17.9338    14.9673    13.5458
18.0385    15.1491    13.5786
18.1421    15.3279    13.574
18.1899    15.6065    13.6219
18.2619    15.7421    13.6371
18.3771    15.9105    13.6437
18.5414    16.1145    13.6189
18.6645    16.2989    13.6085
18.7577    16.4953    13.5894
