UWMA       MP 224     Ppb5stv
6.5107     17.2865    4.3046
6.4211     17.3922    4.3247






















































































































































































13.6009    18.0575    6.7079     LTEMFOS
13.6608    17.9325    6.502
13.6864    17.85      6.2996
13.6727    17.7071    6.1576
13.7068    17.6571    6.0272
13.7377    17.6251    5.9316
13.721     17.5835    5.7104
13.734     17.5491    5.5762
13.752     17.4989    5.4457
13.7776    17.4596    5.2792
13.8533    17.4032    5.116
13.891     17.3484    4.9349
13.9586    17.252     4.7523
14.0774    17.2822    4.6294
14.1745    17.2758    4.3997
14.2877    17.439     4.2928
14.4148    17.5862    4.1974
14.4605    17.7536    4.1995
14.5335    17.9257    4.188





















































































































































































10.3422    11.8412    7.6588     OP
10.5594    13.8832    7.4536     BA
11.0735    18.1763    6.6926     ST
11.4536    21.0317    6.6344     IV
7.0779     14.4141    6.8582     R_PG
6.1962     16.1256    5.7944     R_ZTI
8.878      18.3413    7.2546     R_M3D
9.1507     20.5829    7.1837     R_M12
9.8212     21.7174    6.7967     R_MP3
10.364     22.3751    6.8578     R_PMI
14.0939    13.6109    6.9302     L_PG
15.5285    15.5538    6.4392     L_ZTI
13.1162    18.0951    7.4917     L_M3D
13.3361    20.1564    7.3951     L_M12
13.0145    21.2831    7.0992     L_MP3
12.6709    22.1252    6.9933     L_PMI
12.4586    22.0901    6.0119     O1
8.3526     17.0507    2.5516     O2
15.5451    14.8466    6.0975     O3
11.3173    9.496      5.8464     O4




















































































































































































7.9876     18.9244    6.2507     RZYGINF
7.7514     18.8266    6.1257
7.5817     18.6778    6.1378
7.4407     18.5694    6.1155
7.2604     18.4006    6.0869
7.1483     18.2099    6.1256
7.0476     18.0743    6.1239
6.9535     17.9131    6.1027
6.8746     17.797     6.1125
6.7502     17.636     6.1221
6.6705     17.5095    6.0621
6.5827     17.3714    6.0542
6.4427     17.0963    6.0004
6.3297     16.8801    5.9687
6.2778     16.6637    5.933
6.2801     16.4847    5.9049
6.2517     16.2174    5.8649
6.29       16.0428    5.8743
6.2912     15.8547    5.8581
6.2575     15.6658    5.8946


























































































