TMP        AZ 1033    Phu119stv























































































20.2624    9.1573     12.2824    LTEMFOS
20.2661    9.1079     12.1067
20.3169    8.9918     11.8784
20.3402    8.8525     11.7232
20.3106    8.7377     11.5405
20.2592    8.6795     11.4011
20.2998    8.5075     11.3088
20.2803    8.446      11.1453
20.2537    8.3311     10.984
20.2525    8.199      10.795
20.2824    8.1547     10.7473
20.3028    8.0496     10.476
20.3696    8.0968     10.2153
20.4417    8.2052     10.0865
20.572     8.4244     9.964
20.7442    8.5484     9.9062
20.8199    8.7118     9.8896
20.8456    8.8647     9.9176






















































































































































































16.6031    6.6069     14.4575    OP
16.5389    8.7922     13.488     BA
16.4032    12.2731    11.4082    ST
16.2568    16.2318    9.743      IV
13.1195    8.5901     13.1377    R_PG
11.9807    10.0593    11.8118    R_ZTI
14.7532    12.4668    11.9071    R_M3D
14.2839    14.6677    11.4753    R_M12
14.5188    16.8209    10.4536    R_MP3
14.9866    17.4591    10.1213    R_PMI
19.9808    8.6414     12.8356    L_PG
20.9442    10.1352    11.4643    L_ZTI
18.0795    12.4662    11.8013    L_M3D
18.4247    14.7147    11.3362    L_M12
18.0424    16.8674    10.2952    L_MP3
17.5796    17.4492    10.0369    L_PMI
15.5416    18.6399    9.6045     O1
19.227     8.4517     7.4609     O2
12.0475    9.1909     12.1995    O3
17.4062    3.557      13.3598    O4




















































































































































































13.2353    12.4521    10.6374    RZYGINF
13.1843    12.3422    10.6099
13.0785    12.1762    10.6096
12.9846    12.0006    10.6719
12.817     11.9142    10.765
12.6892    11.7692    10.9287
12.6041    11.6133    11.0672
12.5256    11.4461    11.1916
12.5112    11.2096    11.346
12.3865    11.0208    11.4468
12.3247    10.8086    11.5977
12.2708    10.638     11.6847
12.1303    10.499     11.7711
12.0671    10.3493    11.8157
12.0368    10.1665    11.8683
12.0441    10.0426    11.893
























































































































































































19.4968    12.6029    10.3346    LZYGINF
19.6251    12.3962    10.2874
19.8066    12.2446    10.2515
