AMNH       81811      phu3.ams1
0.4376     0.4364     -0.6668    LORBIT
0.4376     0.4368     -0.6689
0.4378     0.4412     -0.679
0.4367     0.4403     -0.6886
0.4356     0.4436     -0.6942
0.4332     0.4423     -0.6999
0.428      0.444      -0.712
0.4178     0.4444     -0.7172
0.4065     0.4519     -0.7167
0.3912     0.4583     -0.7213
0.381      0.4701     -0.7255
0.3703     0.483      -0.7277
0.3617     0.4903     -0.7299
0.3553     0.5023     -0.731
0.3534     0.5114     -0.7258
0.3543     0.5331     -0.7051
0.35       0.5384     -0.6997
0.3556     0.541      -0.6816
0.3537     0.539      -0.6708
0.3583     0.5291     -0.6584
0.3565     0.5192     -0.648
0.3614     0.5107     -0.6421
0.3689     0.497      -0.6335
0.3674     0.4947     -0.633
0.3711     0.4909     -0.6311
0.3752     0.4857     -0.6291
0.3811     0.4798     -0.6255













































































































































































0.6425     0.3649     -0.6686    RTEMFOS
0.6462     0.3631     -0.6574
0.6471     0.3625     -0.6486
0.6495     0.3568     -0.6415
0.6501     0.3571     -0.6319
0.6485     0.3554     -0.6298
0.6466     0.3538     -0.6205
0.6449     0.3518     -0.6127
0.6443     0.3499     -0.6042
0.6416     0.3479     -0.5905
0.6401     0.3467     -0.5828
0.6377     0.3421     -0.5725
0.6385     0.3415     -0.5606
0.6387     0.3402     -0.5546
0.644      0.3404     -0.5342
0.6496     0.3419     -0.5303
0.6593     0.347      -0.5254
0.6669     0.3506     -0.5243
0.6734     0.3512     -0.5247
0.6803     0.361      -0.5248
0.6873     0.3618     -0.5259
0.6928     0.3656     -0.5271


















































































































































































0.3426     0.5883     -0.6863    LTEMFOS
0.342      0.5903     -0.6782
0.3391     0.5918     -0.6695
0.337      0.5914     -0.6629
0.3356     0.5909     -0.6559
0.3328     0.5898     -0.6481
0.3314     0.5892     -0.6413
0.3311     0.5888     -0.6336
0.3271     0.5865     -0.6229
0.3254     0.5845     -0.6142
0.3215     0.5809     -0.6054
0.3229     0.5809     -0.5989
0.3182     0.5784     -0.5926
0.3181     0.578      -0.5855
0.3129     0.5768     -0.5794
0.3136     0.5783     -0.5699
0.3115     0.5798     -0.5656
0.3099     0.5854     -0.5537
0.3081     0.5871     -0.5524
0.3113     0.5981     -0.5456
0.3141     0.6067     -0.5446
0.3175     0.6183     -0.5445
0.3189     0.6277     -0.5462
0.3193     0.6366     -0.5481
















































































































































































0.6434     0.6534     -0.7083    OP
0.5955     0.5855     -0.6538    BA
0.492      0.4374     -0.4887    ST
0.3289     0.215      -0.3216    IV
0.4362     0.6732     -0.6399    R_PG
0.3547     0.6705     -0.54      R_ZTI
0.3511     0.4183     -0.4978    R_M3D
0.2888     0.3451     -0.4315    R_M12
0.2458     0.2674     -0.3667    R_MP3
0.2203     0.226      -0.3156    R_PMI
0.7336     0.4654     -0.6383    L_PG
0.7559     0.3886     -0.531     L_ZTI
0.5186     0.2991     -0.4927    L_M3D
0.4647     0.2155     -0.4243    L_M12
0.4029     0.1503     -0.3573    L_MP3
0.3695     0.1187     -0.3017    L_PMI
0.2327     0.1342     -0.2554    O1
0.3615     0.562      -0.3952    O2
0.825      0.5731     -0.6605    O3
0.6727     0.7802     -0.7039    O4




















































































































































































0.3454     0.518      -0.4314    RZYGINF
0.347      0.528      -0.4345
0.3498     0.5379     -0.432
0.3514     0.5491     -0.4331
0.3491     0.5627     -0.4368
0.3488     0.5749     -0.4484
0.3461     0.5837     -0.4601
0.3463     0.5922     -0.4735
0.3456     0.6004     -0.4831
0.3487     0.6075     -0.4936
0.3508     0.6123     -0.4994
0.3527     0.6146     -0.5046
0.3534     0.6197     -0.5102
0.3552     0.625      -0.5165
0.3555     0.6302     -0.5214
0.3524     0.6354     -0.5242
0.3482     0.638      -0.5231
0.348      0.6453     -0.5313
0.3497     0.6518     -0.5346
0.3518     0.6586     -0.5374
0.353      0.6664     -0.5394
0.3544     0.6692     -0.5391


















































































































































































0.62       0.3243     -0.4263    LZYGINF
0.6282     0.3317     -0.4281
0.6357     0.3359     -0.4277
0.6487     0.3404     -0.4285
0.6604     0.344      -0.4339
0.6701     0.3435     -0.4419
0.6795     0.3419     -0.4502
0.6851     0.3411     -0.4567
0.6928     0.3425     -0.4641
0.6984     0.3442     -0.4708
0.7051     0.3453     -0.4795
0.7092     0.349      -0.4853
0.7164     0.3527     -0.4934
0.721      0.3583     -0.5038
0.7277     0.3643     -0.5117
0.7394     0.3722     -0.5198
0.7479     0.3764     -0.5222
0.7554     0.3829     -0.5273
0.76       0.3874     -0.5293





















































































































































































0.3556     0.4165     -0.5001    R-ALV
0.3504     0.4144     -0.4968
0.344      0.4144     -0.4917
0.3343     0.4092     -0.4835
0.3259     0.4033     -0.4769
0.3202     0.3974     -0.4684
0.316      0.3887     -0.4632
0.3107     0.3817     -0.4582
0.3062     0.3751     -0.4538
0.3014     0.3685     -0.4475
0.2976     0.364      -0.4433
0.2932     0.3566     -0.4394
0.2923     0.3502     -0.4369
0.2911     0.3425     -0.431
0.2882     0.3375     -0.4267
0.2851     0.3309     -0.4225
0.2819     0.3264     -0.4183
0.2764     0.316      -0.409
0.2773     0.3107     -0.4063
0.2744     0.3058     -0.4017
0.2698     0.2992     -0.3978
0.2623     0.2888     -0.3909
0.2601     0.2845     -0.3879
0.2565     0.2782     -0.3827
0.2547     0.2784     -0.379
0.2534     0.273      -0.3738
0.2527     0.2702     -0.3712
0.2508     0.2637     -0.3691












































































































































































0.5244     0.2927     -0.4892    L-ALV
0.5246     0.2837     -0.4834
0.5241     0.2771     -0.4788
0.5208     0.2674     -0.4722
0.5169     0.2587     -0.465
0.5105     0.2533     -0.4589
0.5046     0.2469     -0.453
0.5005     0.242      -0.4482
0.4952     0.2348     -0.442
0.492      0.2302     -0.4373
0.4858     0.2216     -0.4316
0.4796     0.2167     -0.4278
0.4727     0.2153     -0.4242
0.4682     0.2109     -0.4201
0.4618     0.2048     -0.4126
0.4565     0.1996     -0.4073
0.4528     0.1936     -0.4024
0.4443     0.1898     -0.3959
0.4374     0.1835     -0.3896
0.4321     0.1738     -0.3824
0.4237     0.1634     -0.3727
0.4198     0.1581     -0.3683
0.4144     0.1534     -0.3618
0.4091     0.1504     -0.36
0.4058     0.147      -0.3574
