AMNH       238034     Tg7stv
9.566      4.9724     11.5228
9.6836     4.9964     11.78
9.7271     4.9899     11.9567
9.7538     4.9336     12.1764
9.6926     4.9384     12.3549
9.5619     4.7424     12.5258
9.436      4.6774     12.5759
9.1111     4.5953     12.6565
8.9084     4.586      12.6771
8.7328     4.4738     12.7173
8.5646     4.5844     12.7036
8.4056     4.59       12.7073
8.3098     4.5556     12.7339
8.1761     4.6033     12.6989
8.0698     4.6236     12.6795
7.9429     4.6505     12.6854
7.8016     4.6982     12.6684
7.6607     4.9011     12.5974
7.5108     4.904      12.6787
7.3356     5.0644     12.7449
7.2428     5.1563     12.7762
7.0893     5.3539     12.7396
7.0584     5.5143     12.7142
7.0921     5.6541     12.696
7.0956     5.821      12.5939
7.1534     5.92       12.4959
7.1018     5.956      12.3629
7.1246     6.0109     12.2279
7.1648     6.1036     12.0909


































































































































































5.8922     9.9065     12.7778    RTEMFOS
5.89       9.986      12.6467
5.8817     10.0435    12.5043
5.8521     10.08      12.398
5.7484     10.0982    12.2932
5.7359     10.1322    12.1621
5.6948     10.1463    12.0537
5.6733     10.1723    11.9285
5.6814     10.1756    11.8038
5.6554     10.2052    11.6901
5.591      10.2189    11.5383
5.6001     10.2236    11.3682
5.6222     10.247     11.2301
5.5861     10.3138    11.132
5.5366     10.3487    11.0043
5.492      10.3766    10.8783
5.4922     10.4077    10.7781
5.4474     10.4461    10.6667
5.3957     10.5139    10.5472
5.3837     10.5795    10.4394
5.3823     10.6786    10.364
5.3649     10.7569    10.303
5.3328     10.8726    10.2223
5.4362     10.9421    10.1687
5.4962     11.0804    10.1433















































































































































































10.2196    5.2986     12.6448    LTEMFOS
10.2474    5.2868     12.5524
10.3125    5.2677     12.3857
10.3194    5.2442     12.2686
10.3527    5.2606     12.1084
10.3565    5.2155     11.9689
10.3672    5.166      11.769
10.373     5.1307     11.5886
10.384     5.1435     11.3965
10.4275    5.1328     11.1982
10.4704    5.0625     10.9846
10.4951    5.0512     10.8569
10.5466    5.0504     10.6934
10.6088    5.0185     10.5608
10.6531    4.9643     10.4328
10.7128    5.0052     10.3061
10.8494    4.9586     10.1808
10.9435    4.9747     10.1255
11.0571    5.0605     10.083





















































































































































































6.146      4.4178     10.1646    OP
7.4057     5.9329     10.4244    BA
9.7571     9.1525     10.6299    ST
12.5926    12.7836    11.5386    IV
4.3971     8.2155     10.6789    R_PG
4.4981     10.3598    9.9032     R_ZTI
8.2239     10.4847    12.2013    R_M3D
9.7245     12.5368    12.1948    R_M12
11.4287    14.1778    12.3409    R_MP3
12.1349    14.3252    12.196     R_PMI
10.1933    3.7503     10.3815    L_PG
12.33      4.7146     9.3844     L_ZTI
11.5061    7.9039     12.0118    L_M3D
12.9942    9.9933     12.1587    L_M12
14.1201    11.9314    12.2757    L_MP3
14.0059    12.738     12.1711    L_PMI
12.2908    14.2672    11.0742    O1
11.5134    7.5632     5.2622     O2
4.123      9.9459     9.2902     O3
6.2392     2.5191     7.437      O4




















































































































































































7.3341     12.1448    9.887      RZYGINF
7.4671     12.185     9.7553
7.5834     12.253     9.6157
7.4607     12.2808    9.5
7.2577     12.3149    9.4768
7.0454     12.2508    9.4795
6.8766     12.2184    9.5276
6.6545     12.1219    9.6173
6.4806     12.0037    9.6753
6.3585     11.9045    9.7596
6.3081     11.8233    9.8058
6.1427     11.5957    9.9383
6.1185     11.5103    9.9565
5.9772     11.4323    9.9962
5.7948     11.3073    9.9916
5.5739     11.2216    9.9897
5.4582     11.127     9.9453
5.3045     11.0881    9.9
5.2        11.0232    9.8597
5.1005     10.9289    9.8691
4.9318     10.7835    9.8774
4.7678     10.711     9.8821
4.6744     10.6277    9.8602
4.578      10.4917    9.8894
4.4681     10.3542    9.9063




















































































