AMNH       21650      phu5stv
7.0056     11.9794    9.9419
6.9768     11.9494    9.7734
6.9366     11.898     9.6172
6.8684     11.8743    9.4715
6.8064     11.8524    9.3314
6.7659     11.8522    9.1571
6.6855     11.8485    9.0479
6.6542     11.9186    8.8961
6.6858     12.0056    8.7865
6.7012     12.119     8.6899
6.7062     12.2417    8.6151
6.7585     12.3729    8.5686
6.8483     12.5654    8.5382
6.9083     12.7549    8.5529
7.0452     12.8704    8.6351
7.1578     13.0376    8.7088














































































































































































13.1895    7.676      11.2751    LTEMFOS
13.2025    7.6701     11.111
13.1807    7.6406     10.9008
13.1703    7.5775     10.7071
13.136     7.565      10.5318
13.1051    7.5224     10.4035
13.0511    7.4649     10.209
13.031     7.4342     10.1247
12.9945    7.41       9.9652
12.933     7.3649     9.834
12.8748    7.3218     9.7096
12.8397    7.2965     9.5933
12.775     7.2458     9.4459
12.7234    7.1834     9.3136
12.696     7.1391     9.1472
12.6691    7.1187     8.9841
12.6634    7.104      8.8108
12.7222    7.077      8.6095
12.7977    7.1092     8.4488
12.9554    7.0987     8.3084
13.1612    7.177      8.213
13.3007    7.2805     8.1952
13.4837    7.3908     8.2123
13.5906    7.4952     8.2574
13.688     7.5742     8.2847















































































































































































7.083      6.9001     10.7906    OP
8.7112     8.5821     10.7718    BA
11.8364    11.9731    10.2365    ST
15.0694    15.8163    10.5993    IV
5.9961     11.2336    9.9112     R_PG
6.678      13.2108    9.3934     R_ZTI
10.3526    13.6495    11.129     R_M3D
11.7111    15.6442    11.1368    R_M12
13.6823    17.1221    11.0116    R_MP3
14.4485    17.3199    10.9855    R_PMI
11.6457    6.139      10.7951    L_PG
13.6904    7.0843     10.3897    L_ZTI
13.5264    10.9882    11.5356    L_M3D
15.2459    12.7226    11.5289    L_M12
16.5407    14.838     11.3192    L_MP3
16.4404    15.4824    11.2577    L_PMI
15.2259    18.0983    11.1766    O1
8.7135     12.7861    5.7638     O2
13.111     6.3082     10.0642    O3
8.0348     4.1361     9.6897     O4




















































































































































































9.654      14.5655    9.9273     RZYGINF
9.4215     14.5726    9.7742
9.236      14.5626    9.6801
9.0544     14.5527    9.6478
8.895      14.5786    9.6482
8.671      14.524     9.7211
8.5144     14.3608    9.7705
8.432      14.2509    9.7875
8.1709     14.0843    9.7936
8.0679     13.9686    9.7897
7.8681     13.8635    9.7764
7.739      13.7655    9.7443
7.5878     13.6662    9.6893
7.398      13.6074    9.6408
7.23       13.5491    9.5813
7.1497     13.4448    9.5619
7.0093     13.3647    9.5374
6.9274     13.3178    9.5087
6.8279     13.2605    9.4956
6.7219     13.1917    9.4102




















































































































































































14.5025    10.2816    10.5784    LZYGINF
14.5655    10.1467    10.524
14.6272    9.9099     10.4719
14.6381    9.7666     10.432
14.6512    9.616      10.416
14.626     9.4574     10.4163
14.677     9.3262     10.4658
14.6259    9.2029     10.5008
14.5762    9.1133     10.5275
14.4687    8.8898     10.5825
14.3178    8.7374     10.5934
14.2066    8.5298     10.6137
14.1224    8.3038     10.6125
14.0851    8.1502     10.6076
14.013     7.985      10.6107
13.9758    7.8593     10.5903
13.9253    7.6955     10.5413
13.864     7.5382     10.5231
13.837     7.4028     10.4872
13.7969    7.2383     10.4711
13.7726    7.1062     10.4094
13.7098    7.0236     10.3747


















































































































































































10.3339    13.6917    11.1006    R-ALV
10.3922    13.9014    11.0556
10.4042    14.0126    11.0202
10.4786    14.1751    11.0325
10.5788    14.3589    11.0393
10.7492    14.6647    11.0103
10.8796    14.7882    11.008
10.9921    14.9062    11.0687
11.1019    15.0684    11.0143
11.2006    15.1971    11.0052
11.3428    15.3421    10.9878
11.4329    15.4867    10.9976
11.5446    15.5781    11.0887
11.6635    15.6601    11.1127
11.866     15.804     11.0551
12.0101    15.8785    11.0172
12.0268    15.9925    11.1391
12.0649    16.1201    11.1166
