UWMA       ZA 72      Phu61stv
10.706     4.2155     11.551
10.6185    4.126      11.2501
10.6276    4.0918     11.1026
10.7046    4.1042     10.9121
10.8464    4.1381     10.7072
11.0453    4.2922     10.5624
11.252     4.411      10.475
11.4331    4.481      10.387
11.5496    4.6217     10.3753
11.6698    4.7314     10.3834
11.7584    4.831      10.403
11.9262    4.9369     10.3914













































































































































































2.8237     2.5822     8.2475     OP
3.8684     3.909      9.242      BA
8.043      8.4584     10.7391    ST
12.5592    13.6646    13.3113    IV
1.2078     7.5273     9.1227     R_PG
1.8126     10.2635    8.9433     R_ZTI
6.6192     10.9199    12.3257    R_M3D
8.2222     13.333     13.5334    R_M12
10.077     15.2185    14.4835    R_MP3
11.8177    15.8733    14.8758    R_PMI
8.3388     1.8233     9.2534     L_PG
10.9473    2.89       9.1729     L_ZTI
10.6373    7.7898     12.4523    L_M3D
13.0311    9.8085     13.7418    L_M12
14.5381    12.0044    14.776     L_MP3
14.8397    13.6461    15.0857    L_PMI
13.9709    16.692     16.1266    O1
4.8765     11.25      3.8115     O2
11.3833    2.9861     8.1501     O3
4.8719     0.171      5.8613     O4




















































































































































































5.1962     12.4349    9.6571     RZYGINF
4.9762     12.3287    9.5856
4.7942     12.3661    9.519
4.645      12.3251    9.511
4.4936     12.2158    9.5158
4.3072     12.0824    9.5066
4.1225     11.9806    9.5277
4.0369     11.8984    9.5359
3.9197     11.7781    9.5614
3.7624     11.6544    9.5784
3.5915     11.5315    9.5891
3.3846     11.4157    9.5913
3.2488     11.4138    9.5721
3.0758     11.3175    9.5411
2.9702     11.2398    9.5021
2.8665     11.1589    9.4665
2.7724     11.0842    9.4072
2.6265     10.9559    9.3231
2.5711     10.8538    9.259
2.4039     10.7156    9.2311
2.2941     10.6068    9.1923
2.1674     10.4919    9.151
2.0103     10.3485    9.1019
1.9113     10.2654    9.065
1.82       10.2042    8.9759















































































































































































12.1483    7.1405     9.9223     LZYGINF
12.2232    6.8302     9.7921
12.3099    6.5484     9.6622
12.3544    6.2393     9.5948
12.2528    5.9712     9.6068
12.1572    5.7486     9.6318
12.0307    5.3844     9.7029
11.9649    5.2574     9.7316
11.8815    5.1341     9.7371
11.7999    4.9226     9.7431
11.6833    4.7585     9.7414
11.5331    4.509      9.7323
11.3841    4.4293     9.7153
