UWMA       ZA 663     Phu87
14.7282    11.0391    13.0579
14.8286    11.0398    13.2073
14.8681    11.1053    13.3302
14.9312    11.0869    13.5191
14.9486    11.0983    13.712
14.8825    11.0524    13.9427
14.7559    11.0089    14.1517
14.5616    10.9929    14.384
14.3816    11.0377    14.4869
14.1492    11.001     14.6562
13.9804    11.0847    14.6761
13.8614    11.1024    14.6966
13.678     11.2058    14.7179
13.5647    11.2588    14.719
13.3962    11.3118    14.7406
13.2053    11.3864    14.7767
13.1753    11.4911    14.7187
12.969     11.6296    14.7599
12.8353    11.7825    14.6996
12.676     11.932     14.6774
12.4854    12.0788    14.6667
12.3845    12.1743    14.465
12.2972    12.2177    14.2498
12.2529    12.2573    14.0186
12.1888    12.282     13.8382
12.1915    12.316     13.6858
12.144     12.2785    13.6093
12.1176    12.2625    13.4966
12.1133    12.2569    13.3586
12.1215    12.2362    13.2344
12.1159    12.2061    13.1086
12.1286    12.1472    12.9732
































































































































































9.6046     16.424     13.9407    RTEMFOS
9.4932     16.4357    13.6904
9.409      16.4512    13.3593
9.2571     16.3763    13.1897
9.2086     16.359     13.0103
9.1191     16.3207    12.8277
9.0571     16.3172    12.6232
8.9485     16.2654    12.4203
8.8745     16.2551    12.1956
8.8146     16.1955    12.0469
8.7286     16.1586    11.8883
8.6646     16.1179    11.7335
8.6523     16.0787    11.4926
8.5855     16.0325    11.3483
8.4795     16.0004    11.1587
8.4159     15.986     11.0092
8.3166     15.9681    10.8327
8.2745     16.0434    10.6777
8.1876     16.2013    10.482
8.1609     16.4437    10.3751
8.1928     16.5885    10.3462
8.2361     16.8344    10.2979
8.3203     16.9931    10.2996
8.381      17.0512    10.3215
8.4164     17.2181    10.3359















































































































































































15.8859    11.1639    13.4583    LTEMFOS
15.8991    11.0949    13.2511
15.8796    10.998     13.0153
15.8643    10.9422    12.8401
15.8553    10.857     12.6614
15.8113    10.778     12.5122
15.8152    10.7159    12.3961
15.8073    10.684     12.1803
15.7595    10.5925    12.034
15.7015    10.5031    11.8535
15.6545    10.4376    11.6788
15.6357    10.3522    11.498
15.5905    10.2774    11.3664
15.5798    10.201     11.2106
15.5743    10.1541    11.0952
15.5616    10.0769    10.9334
15.5458    10.0197    10.8011
15.6199    9.9698     10.5729
15.7459    9.9189     10.4184
15.9589    9.9067     10.2648
16.1647    9.9277     10.1945
16.3235    10.0996    10.1971
16.5274    10.1387    10.1508
16.7123    10.2562    10.1785
16.857     10.3226    10.1899
16.9054    10.4384    10.2356
16.977     10.5298    10.287













































































































































































9.2874     10.0292    12.4162    OP
10.8323    11.6313    12.5702    BA
14.685     15.6411    12.3251    ST
19.6922    20.7811    13.1296    IV
7.9346     14.9674    11.8363    R_PG
8.2849     17.4846    10.7007    R_ZTI
13.9976    18.395     13.5758    R_M3D
15.9066    20.6234    13.9278    R_M12
17.8423    22.4385    14.185     R_MP3
19.3606    23.0853    14.1336    R_PMI
14.2638    8.684      12.1524    L_PG
16.8422    9.1641     11.1899    L_ZTI
17.5741    15.1284    13.6823    L_M3D
19.7271    17.1029    13.8092    L_M12
21.4029    19.077     14.2754    L_MP3
22.0502    20.5394    14.2599    L_PMI
22.1786    22.021     12.8753    O1
11.3225    15.6099    4.8295     O2
16.9213    9.1733     10.4403    O3
8.085      7.3435     9.887      O4




















































































































































































12.4715    18.9864    11.0541    RZYGINF
12.3031    18.8873    10.9837
12.1661    18.8636    10.8811
12.0464    18.8087    10.8194
11.8682    18.8192    10.7063
11.6946    18.8054    10.6882
11.4727    18.8421    10.6832
11.2237    18.8258    10.6504
10.9755    18.7432    10.7281
10.6861    18.6737    10.8531
10.4892    18.5204    10.9321
10.2508    18.4308    11.02
10.0235    18.319     11.0933
9.7824     18.1906    11.1595
9.6053     18.0518    11.1594
9.4068     18.0754    11.1453
9.2061     18.0909    11.0768
9.0749     17.9661    11.0487
8.888      17.8543    10.9876
8.6708     17.7531    10.9081
8.4771     17.6523    10.8585
8.3298     17.5673    10.7539
8.2776     17.5242    10.6841

















































































































































































18.0414    13.3907    11.2764    LZYGINF
17.98      13.197     11.1727
18.0167    12.964     11.0597
18.0099    12.6356    10.9421
18.0143    12.4014    10.9402
17.9429    12.1146    10.9821
17.9027    11.8483    11.0479
17.8902    11.5128    11.1638
17.7861    11.3073    11.2631
17.6716    11.052     11.354
17.512     10.7133    11.4115
17.4163    10.4616    11.4426
17.3966    10.1818    11.4276
17.2879    9.9763     11.3765
17.247     9.7573     11.3402
17.105     9.5541     11.2956
16.9809    9.3499     11.2486
16.8886    9.2425     11.2003
16.8073    9.1439     11.1341



