FSM        16665      Tg41stv
-2.9181    7.4918     11.5547    R_PG
-4.3683    9.3826     10.5947    R_ZTI
-1.281     12.2562    12.312     R_M3D
-1.6419    14.5639    11.7738    R_M12
-1.319     16.4665    11.2195    R_MP3
-0.669     17.63      10.79      R_PMI
4.5092     7.9728     11.307     L_PG
5.7608     9.8076     10.1982    L_ZTI
2.5012     12.3674    12.1721    L_M3D
2.8022     14.7173    11.7555    L_M12
2.3039     16.6932    11.1227    L_MP3
1.524      17.7827    10.7787    L_PMI
1.4848     18.6563    10.4163    O1
-2.1292    10.8092    6.2015     O2
5.7468     9.1587     9.7957     O3
-0.5593    3.7908     9.4247     O4




















































































































































































-2.8514    12.6317    10.4898    RZYGINF
-2.9867    12.4012    10.4059
-3.1782    12.2749    10.3049
-3.4607    12.0893    10.291
-3.6013    11.9095    10.3242
-3.7485    11.6407    10.3725
-3.8679    11.4405    10.3912
-3.9309    11.1877    10.4077
-4.0568    10.8911    10.4088
-4.1078    10.6466    10.4507
-4.1567    10.3922    10.4873
-4.138     10.2208    10.492
-4.129     10.0723    10.5335
-4.0935    9.8872     10.6287
-4.1301    9.7519     10.6449
-4.1896    9.5545     10.6569
-4.2619    9.5101     10.6494
-4.3532    9.3966     10.6082






















































































































































































4.2485     12.7962    10.2027    LZYGINF
4.3436     12.5784    10.0801
4.5504     12.4395    10.0045
4.8865     12.2153    10.0164
5.1217     11.8787    10.0571
5.2332     11.6138    10.0559
5.3909     11.413     10.0498
5.5242     11.2414    10.0638
5.5891     11.0743    10.0738
5.5522     10.9797    10.1139
5.5572     10.7879    10.1605
5.5872     10.5681    10.2107
5.6636     10.3619    10.2223
5.6805     10.1535    10.2533
5.6405     9.9423     10.2762
5.7492     9.7935     10.2239
























































































































































































-1.2672    12.2405    12.3259    R-ALV
-1.4175    12.4843    12.2973
-1.4764    12.9058    12.2372
-1.5237    13.1392    12.1194
-1.5292    13.3132    12.1319
-1.5743    13.558     12.0801
-1.6227    13.8259    12.0217
-1.6498    14.1562    11.9658
-1.6393    14.4109    11.9093
-1.6116    14.6129    11.8581
-1.6153    14.9309    11.8102
-1.5749    15.1885    11.7758
-1.5656    15.4774    11.6977
-1.4748    15.6936    11.6116
-1.431     15.9703    11.5417
-1.3794    16.269     11.4778
-1.3348    16.4021    11.4065
-1.3023    16.4778    11.2487






















































































































































































2.5462     12.4849    12.0844    L-ALV
2.6254     12.6614    12.1188
2.6699     12.9412    12.0351
2.7052     13.2278    12.0324
2.7425     13.514     12.0347
2.7935     13.7451    11.9001
2.8126     13.9525    11.8987
2.8132     14.2304    11.8757
2.7659     14.5158    11.8502
2.7374     14.7608    11.7965
2.7329     15.0023    11.7122
2.6971     15.2267    11.6908
2.689      15.4251    11.5273
2.5984     15.7089    11.4576
2.5144     15.8665    11.3792
2.4545     16.0647    11.3047
2.4129     16.2426    11.2154
2.3905     16.384     11.1937
2.3623     16.5657    11.1469
2.3211     16.6889    11.0839
