FSM        77242      Phu197sf
0.5976     11.8951    16.2773
0.7041     11.8155    16.0124
0.7762     11.7974    15.7149
0.849      11.7386    15.5373
0.9342     11.6602    15.3094
0.9183     11.5935    14.9724














































































































































































3.4674     11.4369    13.6893    LORBIT
3.7272     11.485     13.7443
3.9572     11.505     13.7915
4.2029     11.6492    13.8952
4.3906     11.7408    13.9947
4.6941     11.8866    14.147
4.8156     12.0683    14.332
4.8937     12.2263    14.4731
4.9142     12.336     14.5901
5.0025     12.4379    14.8122
5.0858     12.486     15.0789
5.0266     12.5085    15.4086
4.9788     12.4154    15.803
4.8677     12.3506    16.0434
4.6813     12.2423    16.2075
4.4607     12.1643    16.2894
4.2006     12.0493    16.3471
3.932      11.9328    16.3979
3.5173     11.9163    16.3311
3.1923     11.8616    16.3675
2.8751     11.8748    16.445
2.6833     11.8865    16.4609
2.3166     11.8629    16.4725
2.0986     11.8882    16.2413
2.0426     11.8539    15.9056
1.9691     11.7913    15.4232
1.912      11.7217    15.2393
1.9086     11.6321    14.9816
1.8879     11.534     14.8531
1.9245     11.4245    14.6422










































































































































































-3.0765    13.4005    15.0465    RTEMFOS
-3.1538    13.2965    14.8002
-3.2209    13.2325    14.5937
-3.3001    13.1321    14.3579
-3.3267    13.0497    14.144
-3.3484    12.9531    13.8756
-3.3717    12.8054    13.6508
-3.3919    12.7301    13.4959
-3.4185    12.5988    13.2768
-3.4333    12.4028    12.9029
-3.4216    12.2472    12.6527
-3.4312    12.1803    12.5104
-3.455     12.0469    12.2428
-3.4841    11.9157    12.0278
-3.5812    11.8122    11.676
-3.631     11.8079    11.463
-3.7615    11.9156    11.2175
-3.8642    12.0639    11.0955
-3.9375    12.2597    11.0795
-4.1063    12.481     11.052
-4.1495    12.6572    11.0589
-4.1724    12.8605    11.1301
-4.1734    13.0152    11.1737
-4.2085    13.1531    11.1964
















































































































































































5.7474     13.3163    15.1225    LTEMFOS
5.805      13.2723    14.9725
5.8744     13.1782    14.7815
5.9103     13.1481    14.604
5.9434     13.0489    14.4653
5.9618     12.951     14.2006
5.9876     12.8589    14.0433
6          12.7838    13.7936
6.0362     12.6889    13.5919
6.073      12.5771    13.3957
6.073      12.4246    13.2447
6.0955     12.3786    13.0894
6.0454     12.2874    12.8474
6.0838     12.1497    12.746
6.0943     12.0612    12.6246
6.0942     11.9285    12.5059
6.0613     11.8612    12.2865
6.0939     11.7675    12.121
6.1181     11.7052    11.9314
6.2662     11.6441    11.7414
6.3981     11.6798    11.5938
6.5338     11.8024    11.4541
6.7602     12.0605    11.3403
6.9733     12.4176    11.3139
7.0765     12.6889    11.3312
7.1472     12.8655    11.3567
7.1622     13.1075    11.4303













































































































































































1.6957     6.1346     13.3026    OP
1.4808     8.4667     13.2501    BA
0.7816     14.0789    12.2787    ST
-0.1       21.2251    13.2592    IV
-3.0444    8.4056     12.778     R_PG
-4.9479    10.1879    11.6482    R_ZTI
-1.888     15.3864    14.1066    R_M3D
-2.3222    18.2187    14.2899    R_M12
-2.5674    21.2535    14.4768    R_MP3
-2.2366    22.7801    14.2396    R_PMI
5.9269     9.5373     12.4597    L_PG
