LSZT       R28        Phu173sf
3.8401     9.4934     13.0625
4.0486     9.5884     13.1634
4.254      9.6981     13.2782
4.3541     9.8278     13.3985
4.4889     9.8908     13.5284
4.5104     10.064     13.7427
4.5827     10.149     13.9502
4.6056     10.1961    14.0874
4.6693     10.2201    14.237
4.6614     10.2045    14.4524
4.6205     10.1184    14.649
4.5366     10.0107    14.8764
4.3512     9.826      15.141
3.9886     9.5765     15.4351
3.7227     9.4331     15.4957
3.5433     9.3392     15.5292
3.2578     9.2433     15.5273
2.9862     9.1895     15.5349
2.7994     9.1269     15.5224
2.5101     9.0973     15.4806
2.1287     8.9867     15.5279
1.7187     8.9729     15.5683
1.4198     9.0104     15.2961
1.3226     8.9903     14.8707
1.2599     9.0407     14.49
1.2431     9.0159     14.3875
1.2139     8.9264     14.1315
1.2406     8.9199     14.0613
1.3354     8.8705     13.8207






































































































































































-4.0818    10.4473    14.3411    RTEMFOS
-4.1369    10.3844    13.8761
-4.2021    10.2851    13.7326
-4.2409    10.1928    13.5627
-4.2432    10.1284    13.3525
-4.2585    10.0176    13.0681
-4.2204    9.9448     12.8097
-4.1974    9.8206     12.5563
-4.1948    9.7339     12.3727
-4.1461    9.653      12.0927
-4.1049    9.5142     11.7391
-4.0583    9.3682     11.4314
-4.1038    9.2682     11.0507
-4.1661    9.1984     10.8897
-4.2817    9.2742     10.6354
-4.3817    9.4489     10.4889
-4.4905    9.7417     10.4035
-4.5401    9.9489     10.4127
-4.6122    10.1361    10.4667
-4.6823    10.4126    10.5484
-4.6975    10.5131    10.5867
-4.7733    10.7437    10.6993
-4.8908    10.822     10.6817



























































































