TMP        STS 254a   Ppb10stv






























































































9999       9999       9999       OP
16.4765    15.5265    10.9297    BA
16.6606    19.1496    8.1307     ST
9999       9999       9999       IV
9999       9999       9999       R_PG
11.8737    17.1224    9.2259     R_ZTI
14.6009    19.4379    9.3785     R_M3D
14.0852    20.9804    8.2605     R_M12
14.9389    22.5361    6.9975     R_MP3
15.5635    23.1258    6.4054     R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
18.5788    18.9254    8.9959     L_M3D
19.136     20.7427    7.9826     L_M12
18.7416    22.4028    6.7237     L_MP3
18.0048    22.8795    6.092      L_PMI
17.7839    22.3644    5.3158     O1
18.8851    15.4386    5.79       O2
10.731     15.3324    6.6749     O3
14.2378    12.538     11.7363    O4




















































































































































































13.2432    19.69      8.16       RZYGINF
13.1605    19.5349    8.048
13.0243    19.416     7.9786
12.8569    19.3343    8.0097
12.6318    19.2933    8.1076
12.5146    19.188     8.2104
12.4181    19.0756    8.2891
12.335     18.9499    8.3743
12.2766    18.8084    8.4297
12.2168    18.6771    8.4821
12.1807    18.5424    8.5448
12.1532    18.394     8.6037
12.1202    18.2792    8.6523
12.0695    18.1485    8.7059
12.0324    18.0308    8.7811
12.0121    17.9311    8.8367
11.9479    17.7822    8.8843
11.9128    17.6677    8.9543
11.878     17.401     9.095
11.8397    17.2903    9.1241
11.8234    17.218     9.1548
11.8089    17.0694    9.1271


















































































































































































9999       9999       9999       LZYGINF







































































































































































































14.5674    19.3676    9.3056     R-ALV
14.2672    19.5434    9.2091
14.1168    19.7991    8.999
14.0784    20.0165    8.8563
14.0112    20.1796    8.7594
13.8417    20.4702    8.6959
13.862     20.718     8.5753
14.0367    20.8679    8.44
14.1677    21.2254    7.9564
14.1721    21.3829    7.7433
14.2668    21.5584    7.6049
14.3593    21.6841    7.5102
14.5519    21.7145    7.3546
14.6045    21.7923    7.22
14.6797    21.9251    7.1919
14.7145    22.0727    7.123
