KNM        ER 18925   Too16stv























































































































































9999       9999       9999       LTEMFOS







































































































































































































6.8236     7.7171     12.5282    OP
8.6315     9.687      12.3923    BA
12.6287    14.0061    10.4262    ST
17.403     19.8037    9.7147     IV
5.2404     13.1823    11.5792    R_PG
5.2544     16.5605    8.6919     R_ZTI
11.2283    16.9281    11.9572    R_M3D
13.2977    19.9281    10.9681    R_M12
15.3362    21.9075    10.1554    R_MP3
17.0491    22.3443    9.7931     R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
15.6877    13.6394    12.6048    L_M3D
18.2583    16.2527    11.5091    L_M12
19.7633    18.8776    10.9229    L_MP3
19.917     20.7617    10.0604    L_PMI
19.7362    22.4192    9.6892     O1
12.9331    10.7803    2.8801     O2
4.3935     15.7231    8.1884     O3
8.3293     4.6926     11.2162    O4




















































































































































































10.0214    18.6751    9.41       RZYGINF
9.8357     18.6357    9.329
9.6878     18.5929    9.1436
9.6169     18.5288    9.0631
9.4361     18.4359    8.9693
9.2604     18.3707    8.9043
8.9815     18.2788    8.8404
8.7323     18.2333    8.7869
8.5063     18.1027    8.7853
8.2274     18.0533    8.7772
8.0278     17.9958    8.7788
7.951      17.9444    8.7741
7.589      17.8965    8.8014
7.4371     17.863     8.8103
7.1711     17.7844    8.8907
7.0358     17.7723    8.9101
6.9002     17.7474    8.8856
6.6884     17.6414    8.8841
6.4729     17.5123    8.8898
6.2219     17.3955    8.8672
6.0561     17.2337    8.8188
5.8854     17.0791    8.7629
5.6939     16.9748    8.6993
5.6002     16.9276    8.6461
5.4561     16.789     8.7021
5.3213     16.6501    8.7441
5.1742     16.4777    8.6575













































































































































































9999       9999       9999       LZYGINF










































































