AMNH       169141     Phu6stv
9.0934     8.8615     11.5044






























































































































































11.0871    7.8481     10.3476    LORBIT
11.2247    7.7394     10.3606
11.3787    7.6915     10.4088
11.5442    7.6204     10.4743
11.7034    7.605      10.548
11.8215    7.5983     10.6165
11.9349    7.5787     10.6947
12.0725    7.5514     10.7851
12.1708    7.5651     10.8631
12.2564    7.6032     10.9413
12.328     7.6117     11.0464
12.3924    7.5917     11.1311
12.4967    7.5529     11.247
12.5309    7.6432     11.3888
12.6442    7.5927     11.5312
12.6408    7.617      11.6874
12.629     7.5819     11.7208
12.5432    7.5292     11.9194
12.4817    7.4764     12.051
12.4339    7.4154     12.1458
12.3024    7.3953     12.2854
12.1455    7.3846     12.389
11.9432    7.411      12.4655
11.7683    7.4247     12.6278
11.6432    7.4754     12.6986
11.4491    7.5423     12.7712
11.229     7.55       12.7995
11.0633    7.6008     12.7986
10.9917    7.7254     12.7336
10.7986    7.7233     12.7894
10.6438    7.803      12.7975
10.5139    7.8921     12.7902
10.4537    8.0268     12.7461
10.3417    8.0855     12.7424
10.2327    8.1511     12.7471
10.1309    8.1851     12.7796
9.9862     8.253      12.7114
9.9071     8.3219     12.6071
9.795      8.3521     12.4986
9.7997     8.4165     12.251
9.7476     8.4344     12.0862
9.705      8.4598     11.9401
9.68       8.467      11.8208
9.6646     8.4767     11.7006
9.6555     8.4391     11.5218



























































































































































7.5356     12.2552    11.6768    RTEMFOS
7.4496     12.2716    11.475
7.3873     12.2557    11.2644
7.3956     12.2183    10.9521
7.2913     12.1368    10.7139
7.193      12.047     10.5024
7.1227     11.9805    10.2949
7.1093     11.937     10.2008
7.0619     11.8973    10.1083
7.014      11.854     9.9296
6.9757     11.8331    9.7637
6.851      11.7592    9.5335
6.8397     11.7781    9.4078
6.7781     11.7813    9.25
6.7227     11.8295    9.143
6.6908     11.9585    9.0111
6.6701     12.0844    8.9152
6.6532     12.2243    8.871
6.6994     12.328     8.8491
6.7662     12.4792    8.8461
6.8838     12.6501    8.8764
6.9844     12.752     8.9173
7.0412     12.9116    8.9639

















































































































































































13.4271    7.9156     11.4841    LTEMFOS
13.4474    7.903      11.2681
13.4566    7.862      11.1045
13.4115    7.8257     10.8947
13.344     7.7701     10.7376
13.3177    7.7148     10.6446
13.2887    7.6432     10.4885
13.2424    7.5916     10.3272
13.2182    7.5608     10.2144
13.1959    7.5275     10.0607
13.1539    7.461      9.8983
13.1256    7.3673     9.7575
13.0996    7.3173     9.6431
13.1011    7.3329     9.5371
13.0858    7.2931     9.423
13.0836    7.2503     9.2646
13.1108    7.1949     9.0725
13.1578    7.1475     8.9286
13.2408    7.1608     8.8294
13.4547    7.2167     8.6779
13.6868    7.3721     8.6516
13.8267    7.4689     8.6584
13.904     7.5638     8.6763
13.9672    7.672      8.7312
















































































































































































7.1939     6.61       10.7255    OP
8.6805     8.1904     10.5872    BA
11.795     11.6638    10.245     ST
15.2199    15.6276    10.3011    IV
5.8486     11.0128    10.141     R_PG
6.4746     12.8085    9.514      R_ZTI
10.3103    13.1293    11.0563    R_M3D
11.7473    15.146     11.3931    R_M12
13.7633    16.6248    11.1266    R_MP3
14.542     16.9677    11.0943    R_PMI
11.7245    5.7828     10.1607    L_PG
13.6474    6.521      9.525      L_ZTI
13.768     10.4036    10.9569    L_M3D
15.4708    12.263     11.3333    L_M12
16.7104    14.4143    10.9912    L_MP3
16.6678    15.1533    11.0406    L_PMI
16.1315    17.7805    10.5243    O1
13.1982    8.3131     5.6363     O2
6.0211     12.4627    9.113      O3
7.9427     4.0655     9.3495     O4




















































































































































































9.6592     14.183     9.7475     RZYGINF
9.4697     14.0966    9.6803
9.3703     14.0571    9.6063
9.1855     14.0567    9.5003
8.9378     13.9818    9.4403
8.6793     14.0575    9.4903
8.4543     13.9041    9.5807
8.2295     13.7669    9.643
8.0913     13.5907    9.6762
7.9049     13.4991    9.7226
7.7797     13.4024    9.7631
7.666      13.3235    9.7884
7.5356     13.2173    9.7925
7.3814     13.1648    9.7994
7.1575     13.0404    9.7781
7.0312     12.9805    9.7362
6.8877     12.9126    9.6849
6.7867     12.864     9.653
6.6845     12.784     9.611
6.5289     12.7071    9.5691




















































































































































































14.7588    9.6182     9.6855     LZYGINF
14.7559    9.4933     9.6208
14.8437    9.4295     9.5578
14.8731    9.293      9.4891
14.9058    9.078      9.4905
14.9152    8.9475     9.5209
14.8974    8.8175     9.543
14.7859    8.5961     9.5993
14.6527    8.4381     9.6814
14.393     8.2526     9.7464
14.2097    8.0761     9.7588
14.0931    7.7654     9.8037
14.0248    7.566      9.8134
13.9703    7.4433     9.8185
13.9556    7.315      9.8051
13.9164    7.2033     9.774
13.8379    7.047      9.7472
13.7942    6.9189     9.6921
13.7681    6.8327     9.6405
13.7334    6.7184     9.601
13.5964    6.551      9.5228



















































































































































































10.2502    13.1504    11.004     R-ALV
10.2823    13.4115    11.0264
10.3388    13.5524    11.0853
10.4241    13.8043    11.1193
10.5201    13.9915    11.1939
10.6018    14.1109    11.2616
10.6995    14.1659    11.3628
10.8049    14.313     11.2832
10.9498    14.4625    11.3012
11.0155    14.5321    11.2623
11.1297    14.6528    11.2498
11.2625    14.8205    11.2891
11.4114    14.9704    11.3279
11.5911    15.0897    11.3745
11.7154    15.1189    11.4139
11.8844    15.2872    11.3097
12.0391    15.3983    11.2721
12.1279    15.4949    11.2722
12.2555    15.6359    11.2482
12.423     15.7589    11.2649
12.6147    15.8198    11.2167
12.7314    15.9118    11.1911
12.8435    16.0136    11.1326
12.9887    16.0884    11.1694
13.1549    16.1614    11.2264
13.2817    16.2632    11.2017
13.3772    16.3604    11.1322
13.4747    16.4851    11.0505
13.6088    16.6363    11.0159
13.7467    16.6944    11.0894










































































































































































13.5861    10.3919    10.934     L-ALV
13.707     10.4248    10.9903
13.9064    10.5026    11.038
14.1739    10.5939    11.0606
14.3645    10.6728    11.1622
14.5638    10.8278    11.2007
14.6972    11.0935    11.1637
14.778     11.2072    11.2513
14.8547    11.3243    11.2289
14.926     11.4167    11.2484
15.0826    11.5961    11.2943
15.1851    11.6895    11.2731
15.2841    11.8036    11.248
15.3842    11.987     11.273
15.4575    12.2137    11.2742
15.5253    12.3477    11.2493
15.5819    12.4633    11.2607
15.6461    12.5476    11.2765
15.7355    12.652     11.2712
15.8124    12.7226    11.2485
15.8946    12.8276    11.268
15.9427    13.0218    11.219
15.9276    13.1674    11.125
15.974     13.3369    11.0794
16.0445    13.4221    11.1
16.094     13.5005    11.1403
16.199     13.6513    11.0769
16.2466    13.7665    11.1057
16.336     13.8901    11.106
16.4269    14.071     11.1146
16.4996    14.1442    11.0372
16.6271    14.2765    10.9963
16.6206    14.4245    11.0806
