FMNH       27233      Tg16stv
11.9199    7.9816     13.0341
12.0008    7.9337     13.2308
12.0529    7.9148     13.3575
12.0969    7.9199     13.5388
12.0937    7.8308     13.7309
12.0739    7.7852     13.859
12.0132    7.6872     14.1444
11.9026    7.6262     14.2279
11.6182    7.573      14.2931
11.4899    7.5281     14.3024
11.3733    7.4439     14.3274
11.2179    7.418      14.3372
11.0306    7.4713     14.2995
10.9161    7.5022     14.2775
10.7378    7.5086     14.2754
10.6315    7.5402     14.2403
10.4564    7.6095     14.1874
10.2368    7.7131     14.0986
10.0067    7.8853     14.0385
9.8473     8.1448     14.06
9.7132     8.2856     14.1174
9.6025     8.4172     14.1161
9.5572     8.4912     14.0788
9.4597     8.6151     14.0108
9.4903     8.7933     13.8547
9.5545     8.9272     13.6205
9.5243     8.9976     13.4715
9.5719     9.0593     13.3479
9.6308     9.1094     13.2754
9.6958     9.1316     13.2527



































































































































































7.6307     12.801     14.1923    RTEMFOS
7.5946     12.9095    14.0016
7.5536     12.9784    13.8239
7.5493     13.0114    13.7144
7.5109     13.0474    13.6225
7.4763     13.1002    13.4914
7.4419     13.1854    13.2437
7.3838     13.1713    13.158
7.3657     13.2146    12.9687
7.3347     13.2424    12.7819
7.3337     13.2693    12.6749
7.3176     13.2893    12.5609
7.2847     13.2841    12.4718
7.2889     13.3251    12.2902
7.2853     13.3769    11.9987
7.2325     13.4039    11.7772
7.2075     13.4743    11.5427
7.2064     13.5617    11.4271
7.1936     13.7254    11.2455
7.1924     13.9009    11.161
7.1867     14.0179    11.1174
7.2014     14.1372    11.0815
7.2235     14.2762    11.0724
7.2554     14.423     11.081
7.3076     14.601     11.0927
7.3531     14.8856    11.1022
7.4713     14.9332    11.1863













































































































































































12.7056    7.7337     14.493     LTEMFOS
12.8078    7.7046     14.3921
12.9079    7.6663     14.2008
12.9532    7.6084     14.0575
13.0142    7.5575     13.9351
13.0887    7.5208     13.7721
13.1676    7.4764     13.5903
13.2142    7.4509     13.4621
13.264     7.404      13.2818
13.327     7.3568     13.0827
13.3497    7.3075     12.8942
13.3863    7.2824     12.7383
13.4094    7.2534     12.5828
13.463     7.2154     12.3095
13.5287    7.1527     12.1217
13.5797    7.1078     11.9803
13.701     7.0946     11.8625
13.8603    7.0349     11.7157
14.0385    7.0289     11.64
14.195     7.0572     11.5977
14.3495    7.0618     11.5602
14.591     7.0825     11.5618
14.7414    7.1494     11.5927
14.9314    7.2448     11.6464
15.0205    7.2809     11.6755
15.1213    7.3194     11.705














































































































































































7.5797     6.7101     12.1296    OP
8.9788     8.21       12.5624    BA
12.4323    11.9819    12.8056    ST
16.139     16.2238    13.2239    IV
6.0824     11.1026    12.1038    R_PG
6.6273     13.7462    10.8121    R_ZTI
11.1881    13.7902    14.1426    R_M3D
12.7231    16.0707    13.875     R_M12
14.6451    17.6062    13.6951    R_MP3
16.2783    18.1564    13.6568    R_PMI
12.0436    5.6306     12.9022    L_PG
14.8316    6.0961     11.9047    L_ZTI
14.0206    11.2623    14.5585    L_M3D
16.2318    12.9203    14.4859    L_M12
17.7022    15.0135    14.1591    L_MP3
18.2308    16.5759    13.7463    L_PMI
17.9377    18.7141    13.4267    O1
10.4817    12.43      6.095      O2
14.301     5.5199     11.2723    O3
7.4169     4.6893     9.1994     O4




















































































































































































10.0185    15.2691    11.1084    RZYGINF
10.3137    15.3874    11.0045
10.4257    15.3047    10.9213
10.5144    15.3051    10.7356
10.3042    15.405     10.5419
10.078     15.4765    10.4872
9.7977     15.5701    10.4489
9.5805     15.555     10.543
9.2478     15.4912    10.6517
9.0991     15.4039    10.747
8.8968     15.393     10.8439
8.7428     15.2679    10.8828
8.5336     15.1024    10.8715
8.3562     15.0606    10.8349
8.1525     14.9414    10.7865
8.0451     14.8895    10.7699
7.8266     14.7406    10.7509
7.7096     14.6503    10.7268
7.5578     14.5011    10.7163
7.4105     14.3596    10.7408
7.3096     14.2312    10.7587
7.1713     14.046     10.8107
7.0831     13.8941    10.8707
6.9451     13.7683    10.9018
6.8343     13.6317    10.9465
6.7177     13.5706    10.9302
6.6208     13.5762    10.8776
6.5296     13.6184    10.8044












































































































































































16.2075    9.8549     11.9654    LZYGINF
16.1636    9.6743     11.9072
16.1654    9.4486     11.8011
16.2136    9.2072     11.7641
16.2179    8.9549     11.7827
16.195     8.5916     11.8302
16.154     8.3885     11.8562
16.1676    8.1104     11.8642
16.1458    7.877      11.8348
16.0864    7.7061     11.8095
15.9718    7.4349     11.7875
15.9362    7.302      11.7945
15.8423    7.1471     11.8146
15.7452    6.9985     11.8233
15.5767    6.8782     11.8604
15.4669    6.6845     11.8618
15.3354    6.5396     11.8712
15.2141    6.4102     11.8915
15.0963    6.2535     11.8839
15.0402    6.1696     11.8908
14.9209    6.0549     11.8833



















































































































































































11.175     13.7052    14.1323    R-ALV
11.156     13.9334    14.0556
11.2502    14.2007    14.056
11.3203    14.388     14.0285
11.4217    14.5632    14.0364
11.5379    14.8228    13.9651
11.6978    15.0482    13.961
11.8591    15.3055    13.948
11.9835    15.4729    13.9379
12.1608    15.6996    13.8623
12.3303    15.8403    13.9249
12.649     16.0279    13.7943
12.8626    16.2503    13.7191
13.0442    16.423     13.6877
13.2329    16.5374    13.6964
13.5018    16.7523    13.5616
13.6361    16.8349    13.5325
13.8225    17.022     13.589
13.9882    17.1593    13.6165
14.1638    17.3189    13.6456
14.2973    17.4137    13.675
14.4703    17.5913    13.615
14.6106    17.6471    13.6248

















































































































































































13.9467    11.281     14.6178    L-ALV
14.2549    11.3032    14.5895
14.4962    11.3879    14.5976
14.7982    11.5244    14.5813
15.0096    11.6405    14.5653
15.2249    11.7945    14.6057
15.4443    11.9805    14.5874
15.6626    12.1458    14.5795
15.8333    12.2911    14.5734
16.0454    12.468     14.5198
16.1742    12.6701    14.4503
16.3278    12.9397    14.3838
16.5003    13.144     14.4116
16.6235    13.3005    14.375
16.7195    13.4143    14.354
16.9237    13.7196    14.26
16.9881    13.898     14.2334
17.0829    14.057     14.246
17.2487    14.2593    14.1918
17.4581    14.5068    14.1858
17.5376    14.647     14.1947
17.6717    14.7987    14.165
17.7272    14.9288    14.1581
