UCMVZ      117244     Phu47stv
11.6284    9.9992     18.0096
11.7199    9.8363     17.9403
11.7607    9.7025     17.9166
11.7784    9.5124     17.8844
11.7929    9.3311     17.8457
11.826     9.1751     17.8395
11.9586    9.0376     17.8838
12.1231    8.9107     17.9478
12.2621    8.8395     17.9733
12.4106    8.7521     18.0049
12.5772    8.616      18.0425
12.7801    8.4694     18.0316
12.9707    8.2758     18.0007
13.1238    8.0877     17.9745
13.2238    7.9817     17.924
13.3483    7.8627     17.8856
13.4746    7.7586     17.8262
13.6192    7.7014     17.7654
13.6923    7.6398     17.7095
13.8068    7.5213     17.6521
13.9622    7.4469     17.5764
14.0682    7.4015     17.5212
14.1506    7.3674     17.4643
14.2741    7.3216     17.3925
14.4216    7.257      17.2943
14.5289    7.2104     17.2126
14.7071    7.267      17.1192
14.815     7.1657     16.9585
14.9464    7.1349     16.8415
15.0422    7.1376     16.6616
15.1498    7.0962     16.529
15.23      7.0457     16.3396
15.2875    6.99       16.1858
15.3305    6.9368     16.0346
15.3347    6.84       15.9137
15.3643    6.7721     15.7516
15.3502    6.7155     15.6258












































































































































9.8324     10.5111    14.2709    RORBIT
9.7374     10.7165    14.2784
9.5985     10.9022    14.3015
9.5909     11.0569    14.369
9.5773     11.2085    14.4407
9.5549     11.3701    14.5226
9.5194     11.549     14.6172
9.5343     11.7258    14.7578
9.5625     11.8502    14.8629
9.5813     11.9607    14.9911
9.6147     12.0781    15.1021
9.6591     12.2033    15.3042
9.6701     12.2777    15.4568
9.6799     12.3382    15.6313
9.6929     12.3371    15.8233
9.6654     12.2066    16.113
9.6636     12.0261    16.3709
9.6687     11.937     16.4737
9.7547     11.6656    16.6344
9.7939     11.5084    16.7053
9.832      11.383     16.7539
9.98       11.177     16.7058
10.0749    11.0198    16.7376
10.1252    10.8838    16.7674
10.2069    10.721     16.7782
10.2836    10.6244    16.763
10.3192    10.5402    16.7565
10.4906    10.3874    16.8645
10.8115    10.2593    16.8477
10.8911    10.1346    16.8279
10.9162    10.0858    16.5701
10.9425    9.9781     16.4026
10.9707    9.9838     16.2555
10.9557    9.9074     16.1585
10.9676    9.765      16.0345
11.0017    9.6726     15.9095
11.0011    9.5392     15.7854
10.988     9.4627     15.601
10.9531    9.4087     15.4769
10.8773    9.2921     15.3216
10.8078    9.2097     15.1476
10.7082    9.2523     14.9568
10.6672    9.2976     14.8775





























































































































































12.4935    7.3074     14.1848    LORBIT
12.6574    7.1909     14.2402
12.8203    7.0252     14.3025
12.9409    6.9932     14.3402
13.0598    6.8881     14.3949
13.1625    6.8546     14.4225
13.2541    6.7803     14.4722
13.4046    6.728      14.5795
13.5282    6.7091     14.6525
13.5917    6.6787     14.6884
13.6359    6.6638     14.7283
13.7673    6.6203     14.7984
13.8113    6.6626     14.8568
13.9159    6.7044     14.9613
13.9842    6.7023     15.0268
14.0476    6.7027     15.1078
14.0996    6.7091     15.1669
14.172     6.774      15.3873
14.2508    6.5987     15.6388
14.1451    6.6874     15.8427
14.0519    6.6272     16.0967
13.8899    6.6521     16.3271
13.7824    6.7418     16.391
13.6571    6.8484     16.4504
13.5059    7.0084     16.5252
13.3308    7.0242     16.5994
13.2021    7.1583     16.6521
13.0773    7.2938     16.688
12.9916    7.3757     16.6872
12.8191    7.5316     16.6487
12.809     7.5571     16.6578
12.4151    7.8024     16.6921
12.0919    8.1311     16.6984
12.0359    8.2272     16.4617
11.9861    8.3138     16.3155
11.9228    8.4251     16.1232
11.8541    8.541      15.9569
11.7852    8.5743     15.8653
11.7235    8.6141     15.7449
11.6849    8.6108     15.644
11.6373    8.6039     15.5241
11.5557    8.5643     15.3567
11.5586    8.5285     15.1875
11.564     8.4799     15.1004
11.5556    8.394      14.9839
11.5713    8.3113     14.7773


























































































































































9.9494     13.2884    15.9342    RTEMFOS
9.8367     13.3278    15.7471
9.8038     13.3766    15.4862
9.6848     13.4185    15.3361
9.5737     13.4234    15.2443
9.4575     13.3659    15.0692
9.4064     13.3825    14.8388
9.3716     13.3464    14.667
9.3055     13.328     14.5661
9.2202     13.2898    14.4228
9.2303     13.234     14.1425
9.0881     13.2305    14.0176
9.0423     13.2041    13.9003
9.0168     13.1611    13.722
8.958      13.0956    13.4964
8.9304     12.9962    13.2501
8.8164     13.0059    13.1133
8.7656     13.0041    13.0543
8.7063     12.9913    12.8518
8.603      12.951     12.806
8.5628     12.9028    12.7114
8.5191     12.8646    12.5469
8.4801     12.8377    12.4751
8.4049     12.7935    12.3564
8.3673     12.8022    12.2566
8.3491     12.835     12.1644
8.3191     12.9228    11.9653
8.3306     13.0237    11.8843
8.4135     13.1083    11.8533
8.4685     13.263     11.792
8.5074     13.4558    11.7561
8.6101     13.5308    11.761
8.7072     13.7416    11.7643
8.8526     13.8843    11.8307
8.9186     13.9803    11.8665
9.0236     14.0239    11.9144
9.1208     14.1021    11.9262



































































































































































15.3447    6.7054     15.6272    LTEMFOS
15.3772    6.6343     15.4246
15.3237    6.5065     15.2563
15.334     6.4626     15.1047
15.3123    6.4157     14.9458
15.3095    6.39       14.7899
15.2657    6.3315     14.6138
15.2407    6.2979     14.4161
15.2068    6.2521     14.3016
15.1614    6.1919     14.1501
15.1079    6.1385     13.9938
15.0554    6.0798     13.8079
14.9958    6.0428     13.6919
14.9458    6.004      13.5539
14.9117    5.9893     13.5066
14.8711    5.9459     13.438
14.8319    5.9095     13.3083
14.7774    5.853      13.2341
14.6674    5.7922     12.9969
14.6257    5.7398     12.8744
14.5358    5.6841     12.7255
14.5273    5.6161     12.498
14.4404    5.559      12.3059
14.5504    5.5022     12.0592
14.6035    5.4823     11.9122
14.7579    5.4587     11.8053
14.9093    5.3989     11.6806
15.0569    5.5439     11.7152
15.2684    5.5831     11.7259
15.2863    5.5599     11.7226
15.4348    5.6603     11.7453
15.5575    5.7145     11.7536
15.6769    5.7638     11.7863
15.7835    5.8463     11.8179
15.9096    5.9517     11.8855





































































































































































7.9834     5.9223     16.578     OP
9.6377     7.2815     15.5607    BA
13.9263    10.5038    14.0171    ST
19.6314    14.8529    13.2116    IV
7.0911     10.6954    15.3926    R_PG
7.5261     13.025     13.3863    R_ZTI
13.7178    13.4108    14.9907    R_M3D
15.8896    15.6221    14.3009    R_M12
18.4612    17.0718    13.6903    R_MP3
19.5211    17.3196    13.3403    R_PMI
12.4392    4.0298     15.2358    L_PG
14.5432    3.7356     13.1315    L_ZTI
16.998     9.6023     15.024     L_M3D
19.5123    11.338     14.7408    L_M12
21.8368    13.1679    14.126     L_MP3
22.7645    14.6974    13.3673    L_PMI
23.525     16.743     13.1325    O1
11.6996    5.2142     7.2455     O2
6.8162     12.7585    12.9943    O3
5.6237     3.1468     15.257     O4




















































































































































































11.3635    13.5787    12.2348    RZYGINF
11.175     13.5929    12.1615
11.0082    13.662     12.1043
10.875     13.7198    12.088
10.7166    13.7319    12.1147
10.5139    13.7636    12.1799
10.3316    13.7547    12.2763
10.1954    13.7357    12.4243
9.9128     13.7223    12.637
9.7639     13.6037    12.7678
9.6475     13.5483    12.8573
9.5463     13.5022    12.9327
9.4357     13.4516    12.9888
9.304      13.3751    13.1065
9.1372     13.3478    13.2168
9.0271     13.3433    13.2677
8.85       13.2729    13.3542
8.7129     13.252     13.4134
8.5856     13.2355    13.453
8.4369     13.199     13.4742
8.2344     13.1342    13.5145
8.0673     13.093     13.5363
7.995      13.093     13.5277
7.8067     13.0653    13.5186
7.6617     13.0248    13.5156
7.5612     12.9997    13.4509
7.4219     12.9638    13.4336













































































































































































16.4147    7.8574     12.3579    LZYGINF
16.3288    7.556      12.2439
16.2983    7.3444     12.1452
16.2657    7.1346     12.0223
16.2533    6.8806     11.9756
16.2585    6.7252     11.971
16.2552    6.5509     11.9797
16.2293    6.4609     12.0084
16.2468    6.3326     12.0525
16.1041    6.2138     12.1299
16.0515    6.0501     12.2514
16.0035    5.9071     12.3778
15.7988    5.602      12.6108
15.6239    5.4458     12.7397
15.4942    5.3005     12.8408
15.3439    5.2289     12.9331
15.1742    4.9846     13.0439
15.0709    4.8673     13.0983
15.026     4.6832     13.1205
14.9492    4.5111     13.1339
14.8763    4.3035     13.2241
14.7684    4.1663     13.2421
14.6781    4.0419     13.254
14.5939    3.9367     13.2374
14.5492    3.7839     13.2233
14.5053    3.6966     13.1859














































































































































































13.6446    13.3406    14.928     R-ALV
13.6723    13.5528    14.8976
13.7585    13.7671    14.8505
13.8761    13.96      14.8141
13.9941    14.1421    14.7515
14.1346    14.2884    14.7233
14.3744    14.4622    14.6883
14.6845    14.6198    14.6734
14.8112    14.7517    14.6556
14.9927    14.9112    14.6458
15.112     15.0337    14.6069
15.1985    15.1258    14.5805
15.2825    15.261     14.5364
15.4569    15.4708    14.3759
15.7337    15.5211    14.3908
15.865     15.5711    14.3811
16.01      15.6321    14.3718
16.1388    15.7248    14.3595
16.2686    15.8599    14.2772
16.3536    15.9247    14.2459
16.4585    16.0217    14.1982
16.657     16.0972    14.1427
16.9055    16.1443    14.136
17.0863    16.2351    14.0731
17.2352    16.3275    14.0443
17.4317    16.4835    14.0309
17.5636    16.5642    14.0011
17.6901    16.6125    13.9726
17.7486    16.7056    13.9207
17.8435    16.8414    13.8347
17.9444    16.9058    13.8027
18.1132    17.0004    13.7452
18.2057    17.0856    13.6773
18.4191    17.164     13.526






































































































































































17.0429    9.5646     14.9762    L-ALV
17.3098    9.6129     14.9949
17.5277    9.699      14.9244
17.7128    9.7732     14.8819
17.8677    9.8301     14.8427
17.9663    9.8759     14.8211
18.0795    9.9301     14.7734
18.172     10.0524    14.6965
18.3428    10.233     14.6922
18.3768    10.2805    14.6664
18.4382    10.3181    14.6777
18.6175    10.4119    14.6305
18.7901    10.5077    14.6784
19.0197    10.7278    14.6692
19.2       10.8155    14.6061
