AMNH        169432      phu1adr3
9.9881      14.5688     -17.7124
10.1705     14.6932     -17.6772
10.2638     14.7809     -17.4905
10.3422     14.7963     -17.2882
10.3759     14.8504     -17.0691
10.437      14.9306     -16.7511
10.4634     14.883      -16.5363
10.4749     14.9061     -16.3257
10.4458     14.9207     -16.295



























































































































































12.6375     16.4031     -15.0954    LORBIT
12.7306     16.5348     -15.1621
12.86       16.6223     -15.2019
13.0196     16.7039     -15.1981
13.2085     16.793      -15.274
13.4199     16.9029     -15.3681
13.6389     16.9419     -15.4963
13.8601     16.943      -15.6362
13.9623     16.8719     -15.7436
14.1009     16.8986     -15.8753
14.1889     16.8776     -16.0231
14.2932     16.832      -16.2844
14.3532     16.8336     -16.5225
14.3087     16.891      -16.8016
14.0847     17.0863     -17.0884
13.9641     17.0864     -17.2162
13.8156     17.024      -17.2989
13.6189     17.0768     -17.4062
13.3863     17.0579     -17.5062
13.1858     16.9871     -17.5588
12.9943     16.9779     -17.5995
12.8441     16.8764     -17.5695
12.7379     16.7808     -17.5237
12.5265     16.7043     -17.5571
12.4008     16.6252     -17.5545
12.2923     16.4829     -17.4968
12.147      16.288      -17.5131
12.0776     16.0625     -17.533
11.9752     16.0679     -17.7401
11.8015     16.0146     -17.7537
11.6744     15.9078     -17.7265
11.4933     15.8209     -17.7363
11.3876     15.7566     -17.6424
11.3124     15.6645     -17.4117
11.3333     15.6109     -17.2363
11.3769     15.5106     -16.9843
11.3516     15.4883     -16.7451
11.2764     15.5038     -16.593
11.2854     15.5071     -16.5239
11.2199     15.5262     -16.3508
































































































































































8.135       10.8948     -16.297     RTEMFOS
8.0849      10.9163     -16.1898
8.0519      10.9593     -16.0242
8.0114      11.002      -15.8506
7.9831      11.0195     -15.7551
7.9455      11.0602     -15.6446
7.9186      11.1002     -15.5172
7.8772      11.1324     -15.4218
7.8464      11.1815     -15.3385
7.8202      11.2139     -15.2252
7.7747      11.2561     -15.166
7.7599      11.2672     -14.9943
7.7454      11.3075     -14.8869
7.7227      11.3261     -14.789
7.711       11.3263     -14.7043
7.6873      11.361      -14.5694
7.6707      11.3801     -14.5041
7.641       11.4057     -14.3691
7.616       11.4351     -14.2472
7.586       11.4322     -14.1382
7.5627      11.4685     -14.0119
7.5351      11.472      -13.917
7.5322      11.4494     -13.7907
7.4835      11.4634     -13.6833
7.4687      11.4682     -13.6347
7.4775      11.4184     -13.4973
7.4278      11.4007     -13.3513
7.3998      11.4028     -13.2446
7.4119      11.3662     -13.1382
7.3737      11.3703     -13.0372
7.3772      11.3408     -12.9313
7.3705      11.2766     -12.8585
7.3546      11.1989     -12.7429
7.3122      11.1219     -12.6515
7.2934      11.0375     -12.5698
7.3225      10.9525     -12.524
7.3217      10.8877     -12.5143
7.3411      10.828      -12.5046
7.3321      10.7064     -12.4597
7.3659      10.5735     -12.4632
7.4279      10.4978     -12.5001
7.4529      10.3955     -12.4656
7.5533      10.2619     -12.5238
7.6303      10.1057     -12.545
7.7087      10.046      -12.5855
7.7654      9.9675      -12.6177
7.8457      9.8671      -12.6829
7.9087      9.7944      -12.7336
7.9637      9.7158      -12.8031























































































































































15.6527     16.882      -16.5368    LTEMFOS
15.6931     16.8406     -16.3147
15.6195     16.9619     -16.1927
15.6153     16.972      -16.0378
15.5884     17.0577     -15.9588
15.573      17.0913     -15.7679
15.5601     17.1352     -15.655
15.5233     17.1857     -15.5827
15.5196     17.1996     -15.4542
15.5268     17.2378     -15.3016
15.4719     17.2194     -15.1319
15.4615     17.2841     -15.041
15.435      17.303      -14.947
15.4486     17.3472     -14.825
15.4032     17.3587     -14.721
15.3543     17.4297     -14.6649
15.3505     17.4074     -14.4821
15.314      17.4149     -14.3565
15.2891     17.4676     -14.2116
15.2532     17.5229     -14.1442
15.2487     17.5553     -14.0416
15.2507     17.5755     -13.9548
15.2312     17.6015     -13.8488
15.2        17.6073     -13.7271
15.1919     17.6569     -13.6195
15.2285     17.6677     -13.471
15.2384     17.6805     -13.3838
15.2986     17.6887     -13.2253
15.3416     17.6477     -13.0255
15.3984     17.7547     -12.8763
15.4941     17.7414     -12.7574
15.6601     17.6615     -12.6135
15.8219     17.5965     -12.6052
16.0224     17.5655     -12.6011
16.1642     17.4475     -12.6398
16.2973     17.3577     -12.7077
16.4478     17.1933     -12.7752
16.5699     17.0732     -12.8369


































































































































































16.7283     11.0215     -9.4425     OP
15.3778     12.591      -9.618      BA
10.9392     17.3151     -8.7815     ST
6.3357      22.2982     -9.2478     IV
9999        9999        9999        R_PG
17.8413     18.738      -7.8419     R_ZTI
11.9386     19.1982     -10.4041    R_M3D
10.7894     21.6795     -10.3738    R_M12
8.7022      23.3759     -10.2702    R_MP3
6.9831      24.3637     -9.7608     R_PMI
12.0603     9.5942      -9.0339     L_PG
8.959       10.7022     -7.6209     L_ZTI
8.9021      16.3185     -10.3646    L_M3D
6.5142      17.8575     -10.224     L_M12
4.9355      19.9626     -10.0339    L_MP3
4.2443      21.8735     -9.5348     L_PMI
7.4787      24.0834     -8.9021     O1
5.9121      18.9473     -6.7935     O2
15.7091     18.9716     -3.7566     O3
17.808      8.6965      -5.5735     O4




















































































































































































13.7122     20.1109     -8.1328     RZYGINF
13.9115     20.1167     -8.0415
14.0578     20.1497     -7.9682
14.1447     20.1186     -7.8737
14.3063     20.1202     -7.7983
14.4706     20.1402     -7.7616
14.6133     20.1668     -7.7659
14.7176     20.1436     -7.7652
14.842      20.1274     -7.7544
14.9859     20.0764     -7.7798
15.1853     20.021      -7.8308
15.3183     20.0168     -7.8982
15.4979     19.9287     -7.9834
15.6086     19.8507     -8.0418
15.7512     19.7513     -8.1425
15.8684     19.6592     -8.2035
15.9676     19.6118     -8.2324
16.04       19.5185     -8.228
16.1221     19.4361     -8.2456
16.2403     19.3354     -8.2604
16.3438     19.2786     -8.2649
16.4895     19.1628     -8.2325
16.5675     19.1149     -8.2352
16.6433     19.0956     -8.2389
16.7792     19.0485     -8.2339
16.9001     19.0049     -8.216
16.9831     18.9777     -8.2078
17.0563     18.9164     -8.217
17.1236     18.8853     -8.2062
17.1932     18.8231     -8.1635
17.3137     18.7689     -8.1243
17.4215     18.7332     -8.0814
17.5401     18.7318     -8.0454
17.6529     18.6815     -7.9851
17.6767     18.6336     -7.9818
17.7528     18.5662     -7.914




































































































































































7.9959      14.7878     -7.8575     LZYGINF
7.9973      14.6357     -7.7381
7.9854      14.4569     -7.6077
7.9085      14.3407     -7.5275
7.9794      14.0802     -7.4555
7.9406      13.8434     -7.4578
7.9981      13.6504     -7.4553
8.0163      13.5057     -7.4546
8.0508      13.3821     -7.4778
8.0969      13.2211     -7.5266
8.1413      13.0817     -7.6075
8.1877      12.9761     -7.6329
8.2176      12.9212     -7.659
8.2921      12.8063     -7.7464
8.2985      12.7195     -7.8074
8.3817      12.589      -7.8309
8.4073      12.4682     -7.8711
8.465       12.3687     -7.8832
8.5123      12.226      -7.9011
8.6051      12.1193     -7.9047
8.6782      11.9852     -7.9142
8.6878      11.9123     -7.9237
8.7577      11.7957     -7.8987
8.7923      11.7288     -7.9075
8.8274      11.6217     -7.8899
8.86        11.5223     -7.869
8.8796      11.4544     -7.8497
8.9206      11.3406     -7.817
8.9153      11.2979     -7.8036
8.9653      11.1849     -7.7703
8.9891      11.0994     -7.7372
9.0171      11.0273     -7.7133
8.9985      10.9858     -7.6978
9.0331      10.9589     -7.6843
9.0277      10.8828     -7.6541
9.1164      10.796      -7.5781




































































































































































12.5313     19.4798     -10.2729    R-ALV
12.5106     19.5905     -10.3001
12.4854     19.7122     -10.3534
12.4392     19.8242     -10.3605
12.3994     19.9431     -10.3812
12.3597     20.0496     -10.369
12.3064     20.1452     -10.371
12.2483     20.2198     -10.3416
12.1802     20.3101     -10.3734
12.0797     20.4431     -10.3741
11.991      20.5299     -10.4
11.9128     20.6184     -10.3745
11.8644     20.658      -10.4041
11.8123     20.753      -10.3795
11.7509     20.8076     -10.4161
11.6926     20.8915     -10.4045
