FMNH       101803     Phu59stv
14.2046    7.0453     11.4067
14.3021    7.1449     11.4575
14.4288    7.2074     11.4712
14.547     7.2975     11.5192
14.5906    7.3618     11.5568
14.7324    7.449      11.6131













































































































































































7.3427     5.1314     12.7755    OP
8.8489     6.9588     13.0944    BA
12.1029    11.4133    13.7288    ST
16.3214    16.7778    15.9372    IV
5.6646     9.838      13.0783    R_PG
6.0125     12.5322    12.4116    R_ZTI
10.9773    13.5951    15.2267    R_M3D
12.5552    15.8175    16.1333    R_M12
14.2665    17.8139    16.7737    R_MP3
15.8265    18.3524    17.0063    R_PMI
12.2936    4.7341     12.6894    L_PG
14.8669    5.8633     12.1718    L_ZTI
14.4798    10.6147    15.0227    L_M3D
16.437     12.7494    15.9683    L_M12
18.0071    14.8145    16.5305    L_MP3
18.1606    16.4886    16.6622    L_PMI
18.7489    18.5143    17.1186    O1
8.5958     12.1848    6.8967     O2
15.0038    6.0512     11.4689    O3
6.594      2.936      10.0877    O4




















































































































































































9.7887     14.1514    13.0123    RZYGINF
9.6512     14.0973    12.9266
9.463      14.0847    12.6879
9.2114     14.0139    12.5758
9.113      13.9735    12.5291
8.9889     13.9971    12.4732
8.9388     13.9496    12.4516
8.794      14.0113    12.5182
8.562      13.8818    12.5074
8.3714     13.6999    12.5485
8.2404     13.682     12.5961
8.0702     13.6655    12.6323
8.0073     13.5191    12.6745
7.8267     13.4586    12.69
7.6841     13.3207    12.7293
7.5383     13.234     12.7318
7.4506     13.1023    12.7417
7.3155     12.9787    12.7488
7.1698     12.8892    12.7463
7.013      12.8791    12.737
6.8602     12.9631    12.7289
6.7367     12.8796    12.6706
6.615      12.8155    12.6157
6.4228     12.7051    12.5478
6.2616     12.595     12.5079
6.123      12.5244    12.4599
5.9825     12.4726    12.3798













































































































































































15.5753    9.8543     12.6527    LZYGINF
15.6112    9.5376     12.4157
15.5761    9.3108     12.3269
15.623     8.9991     12.2686
15.6202    8.797      12.2627
15.5181    8.5985     12.2584
15.5173    8.4648     12.2975
15.5091    8.2881     12.3522
15.444     8.0493     12.4033
15.414     7.7952     12.4515
15.311     7.6246     12.457
15.2137    7.4178     12.4672
15.1676    7.2977     12.4683
15.0762    7.0471     12.4487
15.0939    6.8947     12.4148
15.1183    6.738      12.3852
15.1792    6.6023     12.3658
15.1713    6.4335     12.3264
15.0817    6.2038     12.2611
15.0513    6.0536     12.2455
14.9737    5.9774     12.2174
14.8882    5.838      12.1497


















































































































































































11.0436    13.4726    15.2977    R-ALV
10.9892    13.8167    15.1714
11.0275    13.9826    15.282
11.0836    14.1234    15.364
11.1299    14.286     15.4135
11.2199    14.513     15.4792
11.3857    14.6403    15.6131
11.5415    14.7908    15.6422
11.6914    14.9069    15.6923
11.8271    15.0679    15.7588
11.931     15.1858    15.7989
12.0387    15.3601    15.8618
12.0935    15.4615    15.8697
12.1624    15.5951    15.9854
12.3461    15.6722    16.0518
12.504     15.7622    16.0744
12.6109    15.8418    16.1089
12.7601    16.0181    16.1452
12.8882    16.1145    16.1672
13         16.232     16.2627
13.1158    16.3745    16.2832
13.2577    16.4742    16.3854
13.4041    16.5799    16.4056
13.5186    16.7171    16.4468
13.6839    16.8617    16.5899
13.8091    17.0374    16.6781
13.8968    17.1381    16.6919
13.9974    17.4015    16.7017
14.0583    17.5375    16.7042
14.1871    17.6527    16.6973
14.2885    17.7514    16.7366









































































































































































14.5663    10.6358    15.0625    L-ALV
14.9313    10.7002    15.1127
15.1953    10.8952    15.1701
15.3567    11.0174    15.2025
15.4615    11.1276    15.2307
15.586     11.2874    15.2172
15.6769    11.4396    15.3227
15.7233    11.5262    15.3933
15.8488    11.7419    15.525
15.9802    11.9019    15.5543
16.0799    12.0523    15.6217
16.2366    12.2198    15.6978
16.3566    12.339     15.7629
16.4361    12.4974    15.7724
16.4943    12.7785    15.8442
16.5783    12.8997    15.96
16.7159    13.1017    16.0067
16.9569    13.4397    16.1731
17.0376    13.6883    16.1965
17.1213    13.8549    16.2719
17.2752    13.971     16.3081
17.3863    14.0947    16.3616
17.514     14.2167    16.4083
17.6027    14.3108    16.4511
17.7039    14.4095    16.5086
17.8434    14.5367    16.485
17.9386    14.6641    16.4745
18.0214    14.7831    16.4977
18.0601    14.8454    16.4789
