AMNH    169432  phu1adr1
4.8181  21.9542 -11.5383
4.8793  22.017  -11.5518
4.9046  22.109  -11.5854
4.9558  22.2516 -11.6342
5.0054  22.3015 -11.6754
5.0097  22.3875 -11.7244
5.0834  22.509  -11.7807
5.1198  22.591  -11.8221
5.0857  22.6566 -11.8899
5.0948  22.7099 -11.9384
5.1041  22.7867 -11.9996
5.1263  22.9069 -12.0317
5.1607  23.0126 -12.1309
5.1813  23.0989 -12.158
5.2169  23.1889 -12.1718
5.3058  23.322  -12.1822
5.3412  23.3661 -12.1915
5.4114  23.4536 -12.2067
5.584   23.463  -12.218
5.7105  23.5457 -12.2186
5.8025  23.6281 -12.1645
5.8408  23.6556 -12.1322
5.9259  23.6981 -12.0727
6.0438  23.728  -11.9866
6.0925  23.7707 -11.9443
6.2101  23.7532 -11.8342
6.3109  23.7956 -11.8167
6.4188  23.8384 -11.7249
6.4473  23.8647 -11.6937
6.5412  23.9269 -11.659
6.5925  23.9491 -11.6082
6.6638  23.9992 -11.5841
6.7631  24.0368 -11.5538
6.8277  24.1036 -11.5271
6.8647  24.1364 -11.5405
6.9376  24.2188 -11.5135
7.0284  24.2911 -11.503
7.0762  24.3204 -11.4603
7.0902  24.3942 -11.4635
7.1497  24.4992 -11.5033
7.2166  24.5938 -11.5179
7.2408  24.6772 -11.4952
7.3152  24.747  -11.5008
7.3721  24.8255 -11.4578
7.4267  24.8772 -11.4095
7.5264  24.9303 -11.3208
7.6328  24.9426 -11.2278
7.6622  24.9952 -11.1351
7.7364  25.0159 -11.0296
7.761   25.0303 -10.9343
7.8119  25.0248 -10.8531
7.8993  24.9662 -10.7293
7.9155  24.927  -10.561
7.929   24.8983 -10.4659
7.9435  24.7591 -10.262
7.9622  24.6507 -10.1598
7.96    24.5363 -10.0103
7.9738  24.4655 -9.8661
7.9806  24.4046 -9.7658
8.0044  24.3307 -9.662
8.0301  24.2606 -9.505
8.0365  24.1927 -9.3718
8.09    24.1306 -9.2603
8.1354  24.0949 -9.1428
8.1769  24.0517 -8.9926
8.21    24.0329 -8.9336
8.2574  24.0182 -8.8558
8.3327  24.0195 -8.762
8.3998  24.0173 -8.6619
8.4882  24.047  -8.5512
8.5778  24.0521 -8.4683
8.6486  24.097  -8.368
8.7223  24.1275 -8.2688
8.8223  24.1517 -8.1633
8.863   24.1721 -8.1011
8.9157  24.1836 -8.0421
8.983   24.1762 -7.972
9.0384  24.1601 -7.8621
9.0843  24.1434 -7.7463
9.1069  24.1177 -7.6643
9.166   24.0893 -7.5566
9.1809  24.0751 -7.4447
9.1872  24.0342 -7.3501
9.1934  23.8918 -7.2252











































































5.9163  16.4465 -16.2662  SUPORB
5.9109  16.4767 -16.3955
5.9127  16.5181 -16.4291
5.9125  16.5859 -16.521
5.907   16.6259 -16.6418
5.9121  16.6631 -16.7308
5.9128  16.6952 -16.7972
5.9099  16.7519 -16.8867
5.896   16.8326 -16.9838
5.8932  16.8698 -17.0589
5.8825  16.9209 -17.154
5.8928  16.9735 -17.2353
5.8909  17.0423 -17.331
5.9166  17.1247 -17.4458
5.9361  17.1908 -17.5643
5.9501  17.2507 -17.5917
5.9487  17.2864 -17.6397
5.969   17.3552 -17.7125
6.0378  17.5435 -17.8624
6.1101  17.6247 -17.9395
6.1645  17.7261 -18.0154
6.2126  17.8218 -18.0769
6.2666  17.9295 -18.1441
6.3138  18.0108 -18.188
6.4094  18.1221 -18.2522
6.4573  18.1988 -18.2868
6.5306  18.2607 -18.3271
6.5521  18.3291 -18.3429
6.6304  18.4559 -18.3954
6.7145  18.5465 -18.4377
6.7796  18.6226 -18.4746
6.8279  18.7293 -18.4982
6.9398  18.8463 -18.5703
7.0518  18.9938 -18.6159
7.1519  19.1441 -18.6568
7.1994  19.2311 -18.6692
7.2738  19.344  -18.6838
7.3473  19.4577 -18.6823
7.4035  19.579  -18.6739
7.4523  19.6912 -18.6792
7.486   19.805  -18.6734
7.5699  19.9254 -18.6665
7.6155  20.0371 -18.6431
7.661   20.1235 -18.6465
7.7289  20.2548 -18.6384
7.79    20.327  -18.5914
7.8503  20.4391 -18.5705
7.9233  20.5824 -18.5299
7.9789  20.6989 -18.4943
8.011   20.8226 -18.4593
8.1102  20.8928 -18.4326
8.1712  20.9924 -18.4118
8.2997  21.0667 -18.4167
8.4697  21.1471 -18.4818
8.5731  21.2078 -18.5056
8.6808  21.2513 -18.5358
8.732   21.2899 -18.5469
8.9024  21.3901 -18.5916
9.0599  21.4865 -18.6299
9.2429  21.5697 -18.6535
9.4504  21.7085 -18.6714
9.5619  21.7757 -18.6812
9.6948  21.8781 -18.6766
9.8191  22.0051 -18.6564
9.9973  22.129  -18.6423
10.0836 22.2168 -18.6001
10.2457 22.385  -18.5375
10.3426 22.5274 -18.4854
10.7541 22.8017 -18.2785
10.9049 22.8844 -18.2338
11.0043 22.9532 -18.1816
11.1369 23.0649 -18.1245
11.2524 23.1996 -18.0226
11.3726 23.2796 -17.9391
11.4485 23.2885 -17.8707
11.5581 23.3546 -17.7469
11.6935 23.3912 -17.6088
11.8174 23.4317 -17.419
11.9525 23.4341 -17.278
12.0808 23.4606 -17.0658
12.1858 23.447  -16.8886
12.2827 23.4029 -16.6967
12.4128 23.4141 -16.5422
12.5674 23.3673 -16.3188
12.6299 23.2961 -16.2275



















































































































6.5832  19.2709 -14.9518  RORBIT
6.5712  19.174  -14.9713
6.4848  19.0664 -14.9895
6.3632  18.9774 -15.0157
6.2438  18.8608 -15.0368
6.2195  18.729  -15.1049
6.1513  18.6141 -15.15
6.1491  18.5191 -15.2098
6.103   18.4111 -15.2572
6.1368  18.2972 -15.3234
6.1051  18.1337 -15.4945
6.0926  18.0624 -15.5634
6.0862  17.9738 -15.7069
6.1521  17.8829 -15.8262
6.1769  17.8129 -15.9909
6.1309  17.7363 -16.1291
6.1259  17.7116 -16.3112
6.0491  17.7347 -16.4714
5.9344  17.7778 -16.6565
5.9445  17.8941 -16.7979
5.9455  18.0154 -16.9284
5.924   18.1816 -17.0486
5.924   18.3115 -17.1625
5.9473  18.4809 -17.2383
5.9684  18.636  -17.3339
6.0211  18.8022 -17.3754
6.0235  19.007  -17.4543
6.1445  19.1462 -17.4469
6.2442  19.317  -17.4561
6.3747  19.4819 -17.4511
6.4889  19.5946 -17.3982
6.6882  19.7188 -17.3241
6.8099  19.8532 -17.3366
7.0591  19.8353 -17.2549
7.2279  19.9058 -17.2984
7.1347  20.1655 -17.5906
7.2486  20.2666 -17.5767
7.4389  20.4854 -17.5311
7.4701  20.6045 -17.3985
7.5493  20.6387 -17.2347
7.5871  20.6643 -16.9897
7.6255  20.6532 -16.8658
7.6513  20.673  -16.6843
7.7109  20.6539 -16.5226
7.7226  20.6461 -16.3844
7.7158  20.6702 -16.1419


























































































































































9.6632  22.6418 -14.9877  LORBIT
9.7908  22.6501 -15.0233
9.8866  22.7328 -15.0388
9.9649  22.9169 -15.0307
10.1481 22.9705 -15.1054
10.3    23.0571 -15.1598
10.4294 23.1469 -15.2463
10.4534 23.1112 -15.2384
10.5564 23.1704 -15.2972
10.6945 23.1664 -15.3871
10.8494 23.1688 -15.5013
10.9987 23.1535 -15.6521
11.1038 23.1405 -15.7967
11.1597 23.1604 -15.8976
11.2744 23.1778 -16.1721
11.3366 23.1829 -16.4118
11.3034 23.2061 -16.5419
11.1988 23.2583 -16.7377
11.0615 23.2645 -16.8571
10.9056 23.2853 -17.0197
10.8086 23.2742 -17.1076
10.6644 23.2625 -17.1924
10.5626 23.2881 -17.2459
10.4213 23.2449 -17.2953
10.2433 23.1734 -17.3545
10.1239 23.0977 -17.3669
9.9961  23.084  -17.3956
9.8798  22.958  -17.403
9.7697  22.9062 -17.3677
9.6547  22.8084 -17.3538
9.4936  22.6682 -17.3445
9.3308  22.5115 -17.3404
9.2004  22.3846 -17.3577
9.1736  22.1918 -17.3436
9.1636  22.0425 -17.3959
8.9304  22.066  -17.6405
8.8209  21.9539 -17.6524
8.7074  21.845  -17.6509
8.5498  21.7643 -17.6879
8.4238  21.667  -17.5795
8.398   21.6104 -17.4246
8.3086  21.5513 -17.2905
8.3139  21.5268 -17.1877
8.3134  21.5169 -17.0204
8.3495  21.4918 -16.9351
