AMNH       169432     Phu1mam
2.896      15.4758    14.2389
2.887      15.7929    14.3196
2.8507     16.0284    14.2624
2.8308     16.3881    14.2301
2.785      16.601     14.2879
2.7672     16.8786    14.2727
2.7531     17.2533    14.1465
2.6436     17.5233    14.1662
2.6168     17.8366    14.1001
2.5648     18.1172    14.0949
2.5557     18.3995    14.009
2.5792     18.6734    13.9398
2.609      18.9858    13.9652
2.5795     19.0621    14.0059
