KNM        BC 2a      Tbg1stv
10.7576    14.1468    11.6103
10.6479    14.1665    11.4306

































































































































































12.6082    12.3569    10.5627    LORBIT
12.6772    12.1656    10.6006
12.8292    12.052     10.6503
12.9757    11.9621    10.6647
13.135     11.8798    10.6756
13.267     11.8657    10.7227
13.3758    11.8562    10.7456
13.5335    11.8019    10.8034
13.7075    11.8611    10.9226
13.8891    11.8602    11.0532
14.0318    11.9823    11.1977
14.1267    12.0342    11.3023
14.1847    12.128     11.4185
14.2448    12.1992    11.5883
14.3282    12.1732    11.7273
14.3246    12.2455    11.9659
14.3117    12.2842    12.0855
14.2695    12.2512    12.2722
14.1623    12.279     12.3935
14.0751    12.2308    12.5869
13.9445    12.2574    12.729
13.8119    12.2565    12.7877
13.6539    12.2861    12.8853
13.4775    12.3364    12.9472
13.3428    12.4111    12.9338
13.1456    12.4684    12.974
12.8473    12.6837    13.0051
12.742     12.761     13.0438
12.613     12.9007    13.1239
12.4661    13.1274    13.2719
12.2553    13.3559    13.2436
11.9807    13.5518    13.0984
11.9176    13.5877    12.8878
11.958     13.6152    12.6973
11.9064    13.604     12.4341
11.8681    13.5576    12.2264
11.7873    13.5427    12.0592
11.7167    13.5074    11.8925
11.7421    13.4411    11.7408
11.7243    13.3804    11.5799
11.7461    13.2313    11.3282































































































































































10.1726    18.3665    11.9463    RTEMFOS
10.0769    18.3896    11.7422
9.9843     18.3916    11.5782
9.907      18.391     11.3969
9.8627     18.3896    11.2832
9.7376     18.3893    11.0887
9.6644     18.3848    10.9328
9.6111     18.3632    10.7931
9.5852     18.3452    10.6464
9.5213     18.2788    10.4483
9.4535     18.2834    10.3573
9.3854     18.2516    10.2487
9.335      18.2595    10.0697
9.2586     18.2349    9.9232
9.2319     18.2569    9.7707
9.1573     18.2255    9.4626
9.1109     18.2259    9.3138
9.1491     18.318     9.105
9.1875     18.3989    8.9825
9.2934     18.5517    8.9043
9.4063     18.7334    8.8387
9.5413     18.8538    8.8066
9.6293     18.9343    8.7973
9.7228     19.0547    8.8003
9.7533     19.0964    8.8057
9.8171     19.1129    8.8299
9.8595     19.1837    8.8271
9.9211     19.2556    8.8083












































































































































































15.6917    12.5965    12.4145    LTEMFOS
15.7864    12.5685    12.22
15.9011    12.5071    12.0813
15.9535    12.3726    11.9169
15.9808    12.3136    11.7685
16.012     12.2746    11.5353
15.968     12.0851    11.2156
15.9109    11.8591    11.0674
15.914     11.7834    10.9042
15.833     11.6859    10.7573
15.8112    11.5532    10.439
15.8168    11.4891    10.3197
15.8641    11.3827    10.1885
15.8414    11.2577    9.9644
15.8622    11.1696    9.7629
