NME       spec2     Eth2stv
18.4501   15.242    -14.3953  R_M12
19.7153   17.5962   -14.1776  R_MP3
19.756    19.1102   -13.8368  R_PMI
8.1235    11.5302   -13.2391  L_PG
8.1043    14.131    -11.6318  L_ZTI
12.944    15.5628   -14.1931  L_M3D
13.9631   17.9521   -14.2584  L_M12
15.4698   20.025    -14.0982  L_MP3
16.7609   20.7841   -13.7054  L_PMI
19.7359   17.4048   -13.4312  O1
10.1561   16.6886   -11.1804  O2
14.7001   6.0146    -11.5022  O3
8.5299    5.5283    -12.4473  O4




















































































































































































9999      9999      9999      RZYGINF







































































































































































































11.9429   16.4783   -12.1663  LZYGINF
11.7681   16.4526   -12.0694
11.5728   16.4514   -11.9825
11.4113   16.4635   -11.9173
11.1989   16.4506   -11.8627
10.7839   16.438    -11.8286
10.567    16.3473   -11.8492
10.3603   16.1797   -11.8383
10.1437   16.0567   -11.8703
9.8665    15.8935   -11.9092
9.6697    15.7815   -11.941
9.45      15.5829   -12.0149
9.3691    15.5495   -11.982
9.2365    15.5145   -11.9845
9.1434    15.4865   -11.958
9.0703    15.26     -11.9658
8.989     15.0835   -11.9484
8.8242    14.9561   -11.9003
8.7554    14.8606   -11.8924
8.6869    14.7817   -11.8667
8.6195    14.6563   -11.8756
8.5113    14.4578   -11.8986
8.3977    14.3813   -11.8648
8.2105    14.218    -11.7884
8.1595    14.1607   -11.778
8.0851    14.0084   -11.6933














































































































































































16.7679   13.3294   -14.2598  R-ALV
16.9599   13.4173   -14.2553
17.1819   13.6159   -14.2363
17.2778   13.6914   -14.2637
17.6468   13.9871   -14.4346
17.7724   14.1841   -14.4242
17.8778   14.2907   -14.4461
17.9997   14.4899   -14.4194
18.0929   14.6244   -14.4566
18.2531   14.8136   -14.3743
18.3149   14.9075   -14.3913
18.3576   15.0396   -14.3819
18.4029   15.1457   -14.3964
18.4269   15.2688   -14.4277
