NMNH       477327     Prv5stv
-1.4862    9.6631     5.2316
-1.4578    9.7799     5.1985
-1.4467    9.8835     5.1843
-1.3963    10.0254    5.143
-1.3951    10.1214    5.0897
-1.3674    10.2305    5.0182
-1.3464    10.287     4.9925
























































































































































































0.9155     7.8961     5.2853     L-ALV
1.08       8.1349     5.2547
1.1351     8.2222     5.3288
1.1943     8.445      5.2713
1.2379     8.5597     5.2948
1.2969     8.7488     5.3179
1.3121     8.9044     5.3263
1.3402     9.0515     5.2652
1.3571     9.2026     5.2247
1.3289     9.378      5.1942
1.2998     9.6441     5.1058
1.275      9.8197     5.0226
1.2041     10.0062    5.0259
1.1656     10.1737    4.983
1.1158     10.318     4.9464
